Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
100971440;Piso;Piso;Piso de 97 m2 construidos con potencial para actualizar, lo que brinda la oportunidad de personalizarlo según tus preferencias.  En cuanto a la ubicación, la vivienda se encuentra en la zona de Pryconsa, en la misma Vía Complutense de Alcalá de Henares. Todos los servicios públicos, comerciales y educativos están al alcance de tu mano, lo que brinda comodidad en tu día a día. Además, el transporte urbano e interurbano está prácticamente en la misma puerta, y tanto la estación de RENFE como el Casco Histórico se encuentran a tan solo 10 minutos andando.  La vivienda cuenta con una distribución cómoda que incluye cuatro dormitorios, tres de ellos dobles y uno simple. Además, dispone de un baño reformado en 2017 y un aseo de cortesía.  La cocina ha sido ampliada al incorporar parte de la terraza, lo cual ha permitido crear un espacio adicional. También cuenta con una zona de terraza abierta y una despensa, proporcionando un área funcional y versátil. El salón tiene acceso a una segunda terraza con vistas impresionantes hacia la ciudad y las montañas, lo que añade un elemento especial a la vivienda.  La mayoría de los espacios de la vivienda son exteriores (excepto baño y aseo), lo que garantiza una buena entrada de luz natural. La orientación sureste y noroeste contribuye a que la vivienda sea soleada y luminosa durante todo el día. Las ventanas correderas de aluminio y la carpintería interior en sapelly son detalles que aportan calidad y estilo.  En cuanto a las calidades de la vivienda, los suelos son de parquet y gres, lo que proporciona una combinación de elegancia y resistencia. El agua caliente se suministra mediante gas butano, la calefacción es eléctrica y el salón cuenta con aire acondicionado con bomba de frío y calor.  Gracias a su cómoda distribución, esta vivienda ofrece múltiples opciones a la hora de llevar a cabo una reforma, permitiéndote adaptarla a tus necesidades y preferencias personales  Si tienes alguna pregunta adicional o si deseas programar una visita a la propiedad, no dudes en ponerte en contacto con nosotros. Estaremos encantados de asistirte en todo lo que necesites.  Es importante destacar que los metros cuadrados de la vivienda han sido contrastados y verificados de acuerdo con la información proporcionada por el catastro y el registro de la propiedad.  Si estás buscando obtener una hipoteca para la compra de esta vivienda o necesitas vender tu casa actual para adquirir una nueva propiedad, nuestro equipo está disponible para brindarte asesoramiento sin compromiso. Contamos con un departamento financiero especializado que te ayudará a obtener las mejores condiciones para tu hipoteca y te ofrecerá información detallada sobre el proceso de venta de tu vivienda actual.  No dudes en ponerte en contacto con nosotros para realizar cualquier consulta relacionada con tus necesidades financieras o inmobiliarias. Estaremos encantados de atenderte y brindarte la asistencia necesaria para que puedas tomar decisiones informadas y encontrar la solución que mejor se adapte a tus circunstancias.  Recuerda que nuestro objetivo es ayudarte en todo el proceso, proporcionándote la información y el apoyo necesarios para que puedas realizar tus operaciones de forma segura y satisfactoria.  Este anuncio no es vinculante y está sujeto a posibles errores u omisiones. Se presenta a título informativo con el objetivo de proporcionar una descripción general de la propiedad, pero no constituye un contrato vinculante.  En los precios de venta indicados no se incluyen los impuestos legales ni los gastos de escrituración asociados a la compraventa de la vivienda.;919389598;Pryconsa;199990;4;Pryconsa, Alcalá de Henares;Alcalá Inmobiliaria;Profesional;-;Alcalá de Henares;Pryconsa;-;2062;97;2;7;Sí;No;No;Sí;No;No;Sí;No;No
102052095;Piso;Piso;Acogedor piso, situado en una de las mejores zonas, y con mas demanda de Alcalá De Henares.  Para acceder al portal pasamos por un jardín  privado que le da un encanto especial a la finca al estar rodeado de zonas verdes, la situación del inmueble es inmejorable, a escasos 5 minutos a pie de la estación Renfe, escasos 10 minutos a pie al casco histórico de Alcalá de Henares, y escasos 10 minutos a pie de la estación central de autobuses.  Además de estar rodeado de todos los servicios imaginables, colegios Institutos Universidades, ambulatorios, farmacias, estancos, zonas de ocio y El Parque O\'Donnell siendo el parque de referencia en la ciudad etc.. .  La vivienda esta distribuida en 3 habitaciones dos individuales, ambas con armario empotrado,  con espacios generosos y exteriores.  La habitación doble, también con armario empotrado y vistas despejadas.  El salón comedor con salida a una terraza acristalada con cerramiento climalite lo que permite una mejor  climatización del inmueble en cualquier época del año, debido a su tamaño es perfecto para sala de estar y comedor.  La cocina equipada con muebles altos y bajos de alta calidad, con tendedero exterior lo que permite una mejor luminosidad en la estancia.  Tanto si buscas crear tu propio hogar, como si tu intención es invertir en una de las mejores ciudades de Madrid, no dejes de visitar este inmueble.  Los metros de la vivienda están contrastados según catastro/registro.  Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.         .;919389598;San Isidro - Los Almendros;145290;3;San Isidro - Los Almendros, Alcalá de Henares;Alcalá Inmobiliaria;Profesional;-;Alcalá de Henares;San Isidro - Los Almendros;-;2137;68;1;4;No;No;No;Sí;No;No;No;No;No
101616398;Chalet;Chalet;Alcalá Inmobiliaria tiene el gusto de anunciar otro chalet en la Hípica, con unas increíbles vistas al Club Hípico Militar desde el solarium de la buhardilla, donde contemplar las puestas de sol o disfrutar del cielo nocturno. El chalet se encuentra en un inmejorable estado de conservación, y consta de 4 plantas que se distribuyen de la siguiente manera: planta sótano destinada a garaje con capacidad para 3 coches, con un cuarto de lavandería y tendedero, con lavabo, y con ventana. La puerta es autómatica. Esta planta tiene acceso directo al jardín trasero, y en ella se encuentra la caldera de condensación Saunier Duvall, en la planta baja se encuentra la cocina con ventanal tipo mirador, un aseo con ventana, un armario empotrado de desahogo, y el salón con aire acondicionado, con chimenea enmarcada en mármol travertino con cassette y en funcionamiento, y con la salida al maravilloso jardín trasero, jardín de diseño y excelentemente cuidado, con árboles de poca raíz (abeto, ciprés), con un estanque, con riego y goteo automático, con porche, ¡y con salida directa a la piscina! , la planta primera contiene los 3 dormitorios, el principal incorpora baño tipo suite con bañera de hidromasaje y vestidor, cada habitación con su armario empotrado forrado y vestido, otro armario más en el distribuidor, y otro baño completo, la buhardilla está totalmente acabada y da paso al solarium mencionado al principio. Esta planta tiene tomas de agua y desagüe y podría destinarse a otro dormitorio o hasta hacer un apartamento. También tiene aire acondicionado, y un calentador adicional de emergencia. La casa es muy luminosa. Otras características: alarma, videoportero, solado en gres abajo y tarima arriba, carpintería interior en madera maciza sapelly, exterior PVC climalit oscilobatiente, radiadores de aluminio laminados, tiro de la chimenea hasta la buhardilla. 218 metros construidos según catastro y nota simple.  Los metros de la vivienda están contrastados según catastro/registro.  Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.   .;919389598;El Pilar - Bripac;459000;3;El Pilar - Bripac, Alcalá de Henares;Alcalá Inmobiliaria;Profesional;-;Alcalá de Henares;El Pilar - Bripac;-;2106;218;3;-;No;No;Sí;No;Sí;Sí;Sí;No;Sí
100486172;Chalet;Chalet;Chalet adosado de esquina de 300 m² construidos y superficie de parcela de 235 m² ubicado en una exclusiva urbanización privada con piscina en la mejor zona de Alcalá de Henares, Bripac - El Pilar.  La vivienda consta de cuatro plantas, lo que proporciona un amplio espacio para vivir.  En la planta baja, encontrarás recibidor con armario empotrado, cocina muy espaciosa y luminosa, perfecta para los amantes de la gastronomía, aseo de cortesía y un gran salón comedor con chimenea y que cuenta con acceso a un porche trasero y al jardín de 145 m².  El jardín ofrece una combinación de zonas ajardinadas y soladas, brindando un espacio versátil para disfrutar del aire libre, y cuenta con acceso directo a la calle.  En la primera planta, se encuentran cuatro dormitorios y dos baños, uno de ellos en suite, lo que garantiza comodidad y privacidad para todos los miembros de la familia. La distribución de los dormitorios en esta planta permite una organización flexible de las habitaciones, ya sea para destinar una de ellas como estudio, sala de juegos o cualquier otro uso según tus necesidades.  Los cuatro dormitorios disponen de aire acondicionado.  La buhardilla diáfana ofrece un espacio adicional que puede adaptarse a tus preferencias. Con salida a una terraza, dónde podrás disfrutar de buenas vistas panorámicas y aprovechar el espacio al aire libre para relajarte o entretener a tus invitados.  Buhardilla equipada con aire acondicionado.  La planta sótano se divide en dos estancias. Una de ellas se utiliza como garaje con capacidad para 2 o 3 coches, brindando una gran comodidad para estacionamiento. La otra estancia es un segundo salón, lo que te proporciona un espacio extra para actividades familiares o de ocio, y también cuenta con un trastero bajo la escalera para almacenamiento adicional.  En resumen, este chalet adosado de esquina ofrece una distribución espaciosa y funcional en sus cuatro plantas. Con una cocina amplia, un luminoso salón comedor, cuatro dormitorios, buhardilla diáfana con terraza y un sótano con garaje y segundo salón y un jardín con zona ajardinada y solada y acceso directo a la calle, esta casa brinda un ambiente acogedor y versátil para disfrutar en familia.  Los suelos de mármol y parquet se entrelazan armoniosamente, creando un ambiente acogedor y sofisticado en cada rincón, carpintería exterior de aluminio lacado climalite proporcionando un aislamiento térmico y acústico de alta calidad, mosquiteras que te permiten disfrutar de la brisa fresca sin preocuparte por los molestos insectos, la carpintería de roble aporta un toque de calidez y elegancia, enmarcando cada espacio de manera impecable. Cada detalle ha sido cuidadosamente seleccionado para crear un ambiente acogedor y confortable. Para tu comodidad, la vivienda cuenta con una caldera de gas natural que proporciona agua caliente y calefacción eficiente. Los aires acondicionados están estratégicamente ubicados para brindarte un clima perfecto en cualquier época del año.  Además, la orientación sur de la vivienda te permite disfrutar de una iluminación natural excepcional y de agradables vistas panorámicas. Cada día podrás deleitarte con la luz del sol que inunda tus espacios, creando un ambiente luminoso y lleno de energía positiva.  Confía en nosotros para acompañarte en el emocionante proceso de encontrar tu nuevo hogar. Estamos aquí para ayudarte y asesorarte en cada paso del camino. ¡Contáctanos hoy mismo y comienza a convertir tus sueños en realidad!  Descubre el camino hacia tu nuevo hogar con el respaldo de nuestro departamento financiero. Te brindamos todo el apoyo necesario para conseguir las mejores condiciones para tu hipoteca, permitiéndote alcanzar tus metas de manera más accesible y conveniente.  Puedes tener la confianza de que los metros de la vivienda han sido contrastados según catastro/registro, garantizando la precisión y veracidad de la información. Queremos que tengas la.;919389598;El Pilar - Bripac;499000;4;El Pilar - Bripac, Alcalá de Henares;Alcalá Inmobiliaria;Profesional;-;Alcalá de Henares;El Pilar - Bripac;-;1669;299;3;-;No;No;Sí;Sí;Sí;Sí;Sí;No;Sí
100479688;Piso en Avenida Caballería Española;Piso;¡Aprovecha este descuento exclusivo! Disponible solo hasta el 10 de Septiembre. Exclusiva vivienda rehabilitada ubicada en Alcalá de Henares. No cobramos comisiones, en Clikalia somos propietarios.  La vivienda está ubicada en la 8ª planta exterior con ascensor. Dispone de una superficie total de 64 m², distribuidos en salón y comedor, cocina independiente equipada, 3 dormitorios y 1 baño.  Además, cuenta con armarios empotrados en todas las habitaciones, calefacción y balcón. Situado en Alcalá de Henares, en la calle Caballería Española, te permitirá estar cerca de todo lo que necesitas como el Centro Comercial Alcalá Magna, Plaza de Cervantes y de la Universidad de Alcalá. A su vez, está próximo a supermercados, restaurantes, colegios, paradas de autobús y a la estación de Renfe Alcalá de Henares (C2 y C7).  Agenda tu vista presencial, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h. Posibilidad de financiación hasta el 100%. ¡Pregúntanos sin compromiso!;919388464;Avenida Caballería Española;170000;3;Pryconsa, Alcalá de Henares;Clikalia España;Profesional;-;Alcalá de Henares;Pryconsa;180000;2656;64;1;8;Sí;No;No;Sí;No;No;No;No;No
100009744;Piso en Via Complutense;Piso;¡Aprovecha este descuento exclusivo! Disponible solo hasta el 10 de Septiembre. Excelente vivienda rehabilitada situada en Alcalá de Henares, en Madrid. Somos los propietarios de la vivienda ¡NO COBRAMOS COMISIÓN! La vivienda está ubicada en la 6ª planta exterior con ascensor. Dispone de una superficie total de 74 m², distribuidos en salón-comedor, cocina independiente equipada, 3 dormitorios y 1 baño. Además, cuenta con ascensor, cocina amueblada, terraza y calefacción. Este inmueble tiene una ubicación excelente ya que se encuentra a pocos minutos a pie del Centro Comercial Alcalá Magna y de la Plaza Cervantes. A su vez, está próximo a supermercados, restaurantes, paradas de autobús y de la estación de tren Alcalá de Henares (C2 y C7). Algunas de las estancias de esta vivienda han sido reformadas. Contacta para ver los detalles de la rehabilitación y agendar una visita. ¡Posibilidad de financiación hasta el 100%! ¿Te interesa esta vivienda? ¡Llámanos! Clikalia está a tu disposición de lunes a viernes de 9.00h a 20.00h.;919388464;Via Complutense;182000;3;Pryconsa, Alcalá de Henares;Clikalia España;Profesional;-;Alcalá de Henares;Pryconsa;190000;2459;74;1;6;Sí;No;No;Sí;No;No;No;No;No
99970157;Piso en Calle Jovellanos;Piso;¡Aprovecha este descuento exclusivo! Disponible solo hasta el 10 de Septiembre. Excelente vivienda rehabilitada en Alcala de Henares, Madrid. No cobramos comisiones, en Clikalia somos propietarios. La vivienda está ubicada en la 8ª planta exterior con ascensor. Dispone de una superficie total de 59 m², distribuidos en salón- comedor, cocina independiente con terraza, 3 dormitorios y 1 baño.  Además, cuenta con ascensor, cocina amueblada, armarios empotrados, terraza, aire acondicionado y calefacción.  Situado en Alcalá de Henares, en la Calle Jovellanos, te permitirá estar cerca de todo lo que necesitas ya que se encuentra a pocos minutos a pie de la Facultad de Derecho de la Universidad de Alcalá, del Palacete de Laredo y de la Plaza Cervantes. A su vez, está próximo a supermercados, restaurantes, colegios, paradas de autobús y la estación de tren Alcalá de Henares (C2 y C7). Contacta para ver los detalles de la rehabilitación y agendar una visita. ¡Posibilidad de financiación al 100%! ¿Te interesa esta vivienda? ¡Llámanos! Clikalia está a tu disposición de lunes a viernes de 9.00h a 20.00h. Algunas de las estancias de esta vivienda han sido reformadas.;919388464;Calle Jovellanos;145000;3;Pryconsa, Alcalá de Henares;Clikalia España;Profesional;-;Alcalá de Henares;Pryconsa;155000;2458;59;1;8;Sí;No;No;Sí;No;No;Sí;No;No
100792371;Piso;Piso;Alcalá Inmobiliaria pone a la venta una fantástica oportunidad para invertir, o convertirlo en tu hogar.  Este inmueble consta de una superficie construida de 82m² ( según catastro), distribuida en entrada, Baño completo,  salón-comedor, cocina, y 1 habitación doble y 2 sencillas pero de buen tamaño.  Totalmente exterior, con una orientación fabulosa (sur) en la que podrás disfrutar del sol de la mañana en el salón que da luminosidad a toda la casa ya que la comunicación con la cocina es directa.  Este inmueble tiene varias mejoras hechas, como incluir la terraza al salón para darle amplitud. Esto hace que en esta estancia se disfrute de la luz natural todo el día.    También se le añadió el tendedero a la cocina con lo cual nos deja un espacio mayor y bien aprovechado para disfrutar de la cocina.  El baño consta de bañera y pared de pavés, que le da un toque divertido sin tener que poner una mampara.  Calidades de la vivienda: suelos de la casa son de tarima excepto en baño y cocina que son gres, ventanas de PVC blanco y aire acondicionado en salón, puerta de entrada Blindada  Otro punto a su favor es la buena situación  de este inmueble,  a 5 min de la estación de cercanías de Alcalá de henares y con la salida a la N II, todos los servicios a mano, guarderías, colegios, institutos, centros médicos y a pocos minutos del centro de Alcalá.  No lo dudes puede ser tu hogar o una  inversión para un futuro.  Ven a verlo.  ¡Necesitas vender para comprar! , Si es así  te podemos ayudar.    ¡No dejes escapar esta oportunidad! ¡Estudiamos y tramitamos tu financiación sin coste ni compromiso!.    Los metros de la vivienda están contrastados según catastro/registro.  Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.         .;919389598;Chorrillo;133890;3;Chorrillo, Alcalá de Henares;Alcalá Inmobiliaria;Profesional;-;Alcalá de Henares;Chorrillo;-;1633;82;1;5;No;No;No;No;No;No;No;No;No
98954136;Chalet;Chalet;Alcalá Inmobiliaria pone a disposición este espectacular chalet de esquina¡ con 250 m2 construidos según catastro, y parcela delantera de unos 80m2 y traseros de unos 80m2, distribuidos en planta baja primera y buhardilla y garaje en sótano muy amplio con zonas comunes y piscina.  Planta baja tenemos un hall amplio, cocina amplia con office muebles altos y bajos campana, vitro y horno, aseo, salón independiente con chimenea y casset  y a su vez acceso a jardín ( este tiene barbacoa y acceso a piscina) todo solado con tomas de riego, también se puede acceder a la planta sótano desde el interior y exterior  que esta el garaje para mas de dos coches puesto que la rampa que no es alta se puede aprovechar para estacionar.  Planta primera un amplio distribuidor que va a dar a tres dormitorios dobles, el principal con vestidor y baño completo con hidromasaje y acceso a una terraza.  Buhardilla diáfana totalmente acabada y techos en madera ¡   Memoria de calidades calefacción de gas natural, puertas en roble, ventanas oscilobatientes con rotura de puente térmico en PVC y climalit de gran grosor, suelos en gres y tarima.  Para entrar a vivir además la vivienda cuenta con piscina, 2 parques infantiles, acceso a nacional II en 3 minutos, cerca colegios, institutos, farmacias, centros de salud, hospital, comercios, bien comunicado con autobús urbano y continental.  Ven  a verlo  Los metros de la vivienda están contrastados según catastro/registro. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.;919389598;El Pilar - Bripac;470000;3;El Pilar - Bripac, Alcalá de Henares;Alcalá Inmobiliaria;Profesional;-;Alcalá de Henares;El Pilar - Bripac;-;1880;250;3;-;No;No;Sí;Sí;Sí;Sí;Sí;No;No
101793196;Chalet pareado en Padre Emilio de Miguel Concha;Chalet;Chalet de esquina con una amplia parcela en Garena, aprovecha la ocasión de vivir en una zona privilegiada en Alcalá de Henares al lado del Corte Inglés y la Renfe, con todos los servicios cerca, centro de salud, colegios, guardería, farmacia, supermercado y con acceso directo a la NII. La vivienda se distribuye en 4 plantas, semisótano con bodega, cuarto de planchado, baño completo y garaje. Planta baja con cocina muy amplia, salón comedor con acceso directo al porche y la parcela y un aseo. Planta primera con 3 dormitorios, uno de ellos enorme con baño en suite y un baño fuera para dar servicio a las otras 2 habitaciones. Y la buhardilla separada en 2 ambientes, salón y despacho de trabajo y un solarium. La vivienda se encuentra en perfectas condiciones de mantenimiento y es ideal para que puedas crear tu hogar, con 160m2 de parcela libre podrás tener espacio de juego para los niños o para las fiestas y barbacoas de los mayores. Ven a verla sin compromiso y disfruta la experiencia de poder vivir en este lugar tan deseado por todos. Alcalá de Henares es una ciudad española perteneciente a la Comunidad de Madrid. Su término municipal se extiende sobre la comarca natural de La Campiña, aunque parte de este se extiende sobre La Alcarria. Tiene una población de 196 888 habitantes (INE 2022), y una superficie de 87,99 km².3 La comarca de Alcalá, que hace las funciones de su área metropolitana, agrupa a cerca de 800 000 habitantes y una superficie de 1421 km². Está situada en la cuenca del río Henares, al este de la provincia. Sus distancias respecto a otras ciudades son 27 km de Guadalajara y 31 km de Madrid.4 Es el tercer municipio más poblado de la Comunidad de Madrid —tras la ciudad de Madrid y Móstoles— y el 31.° de España. La Administración Local se ha acogido a la Ley de Grandes Ciudades.5 A su vez, Alcalá de Henares es cabeza del partido judicial de su mismo nombre y sede episcopal de la Diócesis Complutense. Fue cabeza de su Comunidad de Villa y Tierra. Su nombre significa castillo sobre el río Henares, por cuya razón aparece en el escudo un castillo sobre ondas de agua que simulan el río Henares. Su fundación se remonta a la época celtíbera (Ikesankom Kombouto o Iplacea), pero será con la llegada de los romanos cuando se formará una ciudad notable llamada Complutum. Por la ciudad han pasado varias culturas, de las cuales tres llegaron a convivir simultáneamente. Fue declarada Ciudad Patrimonio Mundial por la Unesco en 1998. Gracias al recinto histórico y el rectorado de la Universidad, es una de las nueve ciudades de España que la Unesco ha clasificado como únicas. Es famosa por su Universidad, construida gracias al cardenal Cisneros el 13 de abril de 1499, pero tras languidecer durante el siglo xviii, mediante la Real Orden de la reina regente de 29 de octubre de 1836, se decretó su supresión en Alcalá y traslado a Madrid, donde pasó a denominarse Universidad Central. Surgió con su estatus actual en 1977, al producirse el fenómeno de descentralización universitaria y constituirse como universidad propia, lo que la convirtió una vez más en ciudad universitaria. El lema o eslogan Ciudad del saber se está divulgando como identificativo de la ciudad. Las razones expuestas por el ayuntamiento para tal título son: se trata de una ciudad de tres culturas donde convive un espíritu de conocimiento en la Universidad. Hasta hace unos veinte años albergó la sede central del Instituto Cervantes, ahora el edificio del Colegio del Rey es la sede de honor de la asociación de la lengua española.6 *Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual. *Honorarios no incluidos en el precio, 2,5% + iva del precio de venta. *Gastos e impuestos no incluidos. Impuesto de Transmisiones Patrimoniales y Actos Jurídicos Documentados:  En la Comunidad de Madrid 6% con carácter general.;919386241;Padre Emilio de Miguel Concha;450000;3;La Garena, Alcalá de Henares;KELLER WILLIAMS UNIX;Profesional;-;Alcalá de Henares;La Garena;499900;1907;236;4;-;No;No;No;Sí;Sí;Sí;Sí;Sí;Sí
