Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
101705055;Piso en Calle del Duque de Alba;Piso;DIZA consultores les presenta vivienda reformada en edificio histórico.  En pleno centro de Madrid, se encuentra esta propiedad a estrenar con una superficie de 124 metros cuadrados distribuidos en amplio salón comedor con 2 amplios balcones exteriores y chimenea original de principios de siglo XX, contiguo a este espacio se encuentra la cocina amueblada y equipada con electrodomésticos de alta gama. En el proceso de reforma y diseño, se ha buscado la comodidad de los elementos modernos que conviven con elementos históricos originales del edificio. En la zona de descanso, cuenta con 3 habitaciones, 2 baños, siendo el principal en suite.  La vivienda esta equipada con calefacción individual de gas natural y aire acondicionado graduable por estancias. Convertimos Sueños en Hogares.;919382699;Calle del Duque de Alba;675000;3;Lavapiés-Embajadores, Madrid;DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid;Profesional;Lavapiés-Embajadores;Madrid;Centro;700000;5444;124;2;1;Sí;No;No;No;No;No;Sí;No;No
102200705;Piso en Calle de la Villa;Piso;Gilmar consulting inmobiliario presenta para sus clientes de la zona centro de la capital, una maravillosa oportunidad de adquirir un precioso apartamento exterior con acceso desde planta baja pero con altura de segundo que da a la calle Segovia.  Presentamos para nuestros clientes de la zona centro de Madrid un espectacular apartamento reformado en la calle de la villa. Esta propiedad cuenta con una singularidad que lo hace verdaderamente especial: ¡se accede a él como planta baja, pero da a la calle con una altura de segunda planta! Disfruta de lo mejor de ambos mundos con este increíble apartamento. Al ingresar, sentirás la comodidad y facilidad de acceso que solo la planta baja puede ofrecer. Sin embargo, una vez dentro, te sorprenderás con las vistas panorámicas y la sensación de estar en un segundo piso. Imagina despertar cada mañana con una vista elevada de la calle, mientras disfrutas de la tranquilidad y privacidad que solo una posición más alta puede brindar. Este apartamento único te ofrece una experiencia de vida sin igual en el corazón de Madrid. Además, hemos llevado a cabo una exhaustiva reforma para asegurarnos de que cada rincón de este apartamento esté a la altura de tus expectativas modernas. Con acabados de alta calidad y detalles cuidadosamente seleccionados, este espacio se ha transformado en un hogar contemporáneo y acogedor. No pierdas la oportunidad de ser el dueño de esta joya inmobiliaria. Contáctanos ahora para más información y para agendar una visita. ¡Te garantizamos que te enamorarás de este apartamento que desafía lo convencional en la zona centro de Madrid! Piso en Palacio de 45 m2, 1 dormitorio, 1baño, exterior.;919383829;Calle de la Villa;319000;1;Palacio, Madrid;Gilmar Centro;Profesional;Palacio;Madrid;Centro;330000;7089;45;1;2;Sí;No;No;No;No;No;Sí;No;No
100762638;Piso en Calle estudios;Piso;Consulting inmobiliario Gilmar, presenta un hermoso dúplex exterior en la calle Estudios, en el corazón del distrito centro de Madrid. Este encantador dúplex cuenta con dos amplias habitaciones que brindarán comodidad y privacidad a sus residentes. La meticulosa decoración ha sido cuidadosamente seleccionada para crear un ambiente moderno y acogedor en cada rincón de esta vivienda. Al ingresar a la parte del salón, serán recibidos por unas impresionantes vigas vistas de madera, que añaden un toque de calidez y carácter a este espacio. Aquí podrán relajarse y disfrutar de momentos inolvidables con familia y amigos. Además, el dúplex cuenta con dos baños completos, lo que garantiza comodidad y conveniencia para todos los ocupantes. Asimismo, se incluye un vestidor para satisfacer las necesidades de almacenamiento de los más exigentes. La cocina, completamente equipada y con un diseño exquisito, les permitirá desplegar sus habilidades culinarias y deleitar a sus seres queridos con deliciosas creaciones. El salón adyacente se convertirá en el lugar perfecto para compartir comidas y disfrutar de momentos especiales. Pero eso no es todo, esta vivienda está ubicada en una de las fincas más hermosas de todo el distrito centro de Madrid. Imaginen vivir en un entorno rodeado de encanto y belleza arquitectónica, donde cada día se respira la historia y el glamour de la ciudad. No pierdan la oportunidad de hacer de este dúplex su nuevo hogar. ¡Llámenos hoy mismo para concertar una visita y descubrir personalmente esta maravillosa propiedad en la calle Estudios! Oficina Centro (Chueca - Justicia, Malasaña - Universidad, Palacio, Sol, Huertas - Cortes, Paseo Florida - Avda. Valladolid).;919383829;Calle estudios;660000;2;Palacio, Madrid;Gilmar Centro;Profesional;Palacio;Madrid;Centro;-;3607;183;2;1;Sí;No;No;No;No;No;Sí;No;No
100367054;Piso en Calle de Augusto Figueroa;Piso;Consulting inmobiliario Gilmar, presenta para sus clientes del distrito centro impresionante vivienda exterior en pleno centro de Chueca, con balcones a la calle Augusto Figueroa y en edificio de estética clásica característica del Madrid de principios del S. XX. Se trata de un inmueble cuya configuración actual se distribuye en 2 estancias en la parte exterior de la vivienda, cada una con su balcón de forja típico de este tipo de edificios, que consiste en un amplio salón y un dormitorio y en la zona más interior de la vivienda dispone de dos dormitorios más, un gran salón con cocina americana con un ventanal al patio y dos cuartos de baño completos. Al ser el último piso del edificio la parte de la vivienda que se encuentra hacia el interior es tanto o más luminosa que la exterior. El edificio está impecable, tanto la fachada como las zonas comunes están mantenidas con mimo y cuenta con ascensor nuevo. Chueca es, desde hace años, uno de los barrios de moda del centro de la capital. La Calle Fuencarral, se ha convertido en la médula espinal del ocio madrileño. Como otras muchas zonas céntricas de Madrid el barrio de Chueca tiene bastante ambiente alternativo y vida nocturna. Algunos cronistas improvisados han llegado a compararlo con el Camden Town de Londres, el East Village de Nueva York, el BarrIo Alto de Lisboa, la Baixa do Porto de Oporto o el Kreuzberg en Berlín. Es sin duda, una oportunidad única de vivir o invertir en una de las mejores zonas del centro de Madrid. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Oficina Centro (Chueca - Justicia, Malasaña - Universidad, Palacio, Sol, Huertas - Cortes, Paseo Florida - Avda. Valladolid).;919383829;Calle de Augusto Figueroa;695000;3;Chueca-Justicia, Madrid;Gilmar Centro;Profesional;Chueca-Justicia;Madrid;Centro;-;5148;135;2;4;Sí;No;No;No;No;No;No;No;No
100688663;Piso en Calle Huertas;Piso;"Gilmar Consulting inmobiliario vende magnifica casa señorial de finales del siglo XIX, La propiedad consta de 258 metros cuadrados a reformar, distribuidos en diferentes estancias, que por tamaño y composición tienen muchas posibilidades. En la actualidad cuenta con cuatro dormitorios y dos baños, cocina independiente, varias salas estar que conforman un conjunto ecléctico lleno de luminosidad, el gran hall representa la magnificencia de la finca y de todas sus estancias, todo ello en una altura de techos de mas de 4 metros no sin dejar de señalar que la misma también cuenta con dos trasteros dentro de la misma vivienda. Con posibilidad de segregar real podríamos decir que es un activo realmente interesante para un inversor El nombre de la zona de Cortes se debe a que dentro de este barrio se encuentra el Congreso de los Diputados, cámara baja de las Cortes Generales de España. El sobrenombre, más popular entre la población, se debe a las huertas del prado"" que había en el siglo XVII en el actual paseo del Prado, que también dan nombre a la principal calle del barrio: la calle de las Huertas. A cinco minutos del Museo Nacional del Prado, en pleno centro histórico de Madrid.    El barrio de Las Letras es uno de los que más oferta gastronómica y de locales de ocio tiene de la capital. La vivienda se encuentra ubicada, próxima a la Plaza de Santa Ana, (reconocida por su gran número de restaurantes, cafeterías y bares de tapas, que cubren con sus terrazas la mayor parte de su superficie). En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 40 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir. Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Oficina Centro (Chueca - Justicia, Malasaña - Universidad, Palacio, Sol, Huertas - Cortes, Paseo Florida - Avda. Valladolid).""";919383829;Calle HUERTAS;1300000;4;Huertas-Cortes, Madrid;Gilmar Centro;Profesional;Huertas-Cortes;Madrid;Centro;-;5039;258;2;1;Sí;No;No;No;No;No;Sí;Sí;No
101469418;Piso en Calle Gran Vía;Piso;Gilmar Consulting Inmobiliario, presenta para sus clientes de la zona centro de Madrid, una magnífica oportunidad de adquirir un fantástico inmueble completamente exterior en pleno corazón de Gran Vía. Se trata de una vivienda/oficina de más de 300m2 completamente exterior. Dentro de un edificio con uso mixto (oficinas y viviendas) encontramos este particular activo susceptible a un cambio de uso y segregación. La Gran Vía es una de las principales calles de la ciudad española de Madrid. Comienza en la calle de Alcalá y termina en la plaza de España. Es un importante hito en la ciudad desde su construcción a principios de siglo xx visto desde el punto de vista comercial, turístico y de ocio. En este último aspecto es famosa por sus cines, si bien en los últimos años algunos de ellos han cerrado y otros se han reconvertido al teatro musical, por lo que el tramo comprendido entre la plaza del Callao y la de España se conoce como el Broadway madrileño. El tramo comprendido entre la red de San Luis y la plaza del Callao alberga en la actualidad numerosas tiendas de cadenas internacionales de moda. En la actualidad el tráfico rodado está permitido, aunque en diciembre de 2016 y 2017 llevó a cabo temporalmente la peatonalización de varios de los carriles de tráfico. 1 A finales de marzo de 2018, el Ayuntamiento de Madrid comenzó la peatonalización de un carril de cada sentido en un plan de ampliación de aceras y remodelación de algunas plazas de los alrededores de la calle, así como la creación de una zona de prioridad residencial. Es sin duda, una oportunidad única de vivir en una de las mejores zonas del centro de Madrid. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir. Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Oficina Centro (Chueca - Justicia, Malasaña - Universidad, Palacio, Sol, Huertas - Cortes, Paseo Florida - Avda. Valladolid).;919383829;Calle Gran Vía;2250000;4;Sol, Madrid;Gilmar Centro;Profesional;Sol;Madrid;Centro;-;7305;308;2;1;Sí;No;No;No;No;No;No;No;No
101184519;Piso en Calle Mayor;Piso;Luminoso piso exterior en calle Mayor Engel & Völkers presenta esta luminosa vivienda exterior, ubicado en pleno corazón del centro de Madrid, a pocos metros de la Plaza Mayor, del mercado de San Miguel y de la Puerta del Sol. La vivienda tiene 133 m2 construidos según catastro, ubicada en una primera planta de una finca típica de la zona, dispone de ascensor. La ITE es favorable. Al ingresar a la vivienda nos encontramos con un amplio salón comedor con 2 balcones a una de las calles principales del distrito Sol. Actualmente la vivienda tiene 3 dormitorios, dos de ellos con balcón a la calle y uno hacia un patio interior, dispone de dos baños. La calefacción es eléctrica y aire acondicionado por Split. La vivienda es bastante luminosa al ser prácticamente exterior, la mayoría de los muros son tabiques lo que da la posibilidad de adaptarlo a tus requerimientos de distribución y espacio. Una excelente ocasión de compra para una familia que desea vivir en el pleno Centro de Madrid o para aquellas personas que desean invertir en un inmueble con alta rentabilidad con alquiler a corta y larga estancia. La propiedad se encuentra en el distrito Centro, situada a pocos metros de la emblemática Plaza Mayor. Cuenta con una ubicación inmejorable en el centro de Madrid, donde se puede disfrutar de todo tipo de oferta de ocio como teatros, bares, restaurantes, oferta comercial y tiendas. Una gran parte del barrio está incluido dentro del Área de Prioridad Residencial, se traduce en un entorno peatonal y el tráfico está limitado a transporte público y residentes. También está ubicado junto al gran complejo de Canalejas, levantado sobre siete históricos edificios del Barrio y que alberga el primer Hotel Four Seasons de España, una galería comercial y 22 viviendas de lujo, lo que dota al barrio de un carácter más exclusivo. Esta propiedad única se encuentra ubicada muy cerca a la estación de metro Sol y la estación de tren de cercanías de corta distancia. Las líneas de autobús clave son accesibles a pocos minutos andando desde la vivienda.;919386811;Calle Mayor;752248;3;Sol, Madrid;Engel & Völkers Madrid;Profesional;Sol;Madrid;Centro;-;5699;132;2;1;Sí;No;No;No;No;No;Sí;No;No
101299128;Piso;Piso;PROMORA MADRID vende piso reformado de 382m2 construidos. 3 habitaciones, 4 baños, portero y garaje en finca. Enlace a visita virtual: Cuenta con más de 300m2 construidos de los cuales de vivienda son 192 comprendidos en amplio hall de entrada, salón comedor con cuatro balcones a la calle, aseo de cortesía y cocina integrada equipada con electrodomésticos de alta gama. Tres dormitorios en suite y el principal con vestidor  Tiene dos entradas directamente desde el ascensor a la vivienda, una a la zona de estar y la otra a la de servicio. Gimnasio portero y garaje en finca. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS. Si los barrios de Salamanca, Chamberí o los Jerónimos tienen ese aire señorial y elegante, Justicia lo mantiene pero con toque cosmopolita. Callejear por Barquillo, Argensola, Almirante, o Conde de Xiquena nos hará descubrir boutiques con interiorismos innovadores, talleres de diseñadores, galerías de arte para creadores emergentes, restaurantes, vinotecas, terrazas y clubes de moda. Sin duda, es el área más chic de Madrid, con una emocionante actividad urbanita. Sin olvidar Chueca, el núcleo gay de la capital, donde se halla el mercado de San Antón: un espacio gastronómico trendy, abierto y desenfadado.    Como Frank Gehry ha dicho en más de una ocasión, la arquitectura define el espíritu de un territorio, y en el barrio de Justicia no faltan los edificios emblemáticos. Desde el modernismo empalagoso del Palacio de Longoria, hasta el clasicismo del Museo Romántico o la iglesia de Las Salesas, pasando por construcciones más contemporáneas como la nueva sede del Colegio de Arquitectos de Madrid. Además de contar con piscina, gimnasio y parking, recomendamos visitar su jardín interior donde recientemente se ha abierto el restaurante Bosco de Lobos.   Por si esto fuera poco, a partir de mayo una parte del barrio se incluirá en el Área de Prioridad Residencial, es decir, su entorno será peatonal y el tráfico estará limitado a residentes y transporte público.;914310431;barrio Chueca-Justicia;2600000;3;Chueca-Justicia, Madrid;Promora Madrid;Profesional;Chueca-Justicia;Madrid;Centro;-;6806;382;4;4;Sí;No;No;No;Sí;Sí;Sí;Sí;No
99628126;Piso en Calle de Puñonrostro, 6;Piso;Gilmar Consulting Inmobiliario presenta un emocionante anuncio de una magnífica oportunidad en la mejor zona de Palacio. Esta espaciosa vivienda de segunda planta, ubicada en la calle Puñonrostro, cuenta con una superficie de 118m2 y ofrece un gran potencial para ser reformada a su gusto. Entre las características principales de esta vivienda, destacan sus tres dormitorios, ideales para acomodar a una familia o aprovechar el espacio adicional para oficina en casa. Además, la propiedad cuenta con dos balcones que se abren a la calle, lo que le brinda la posibilidad de disfrutar de la vida urbana desde la comodidad de su hogar. La ubicación de esta vivienda es inmejorable, ya que se encuentra en la codiciada zona de Palacio. Rodeada de encanto histórico, restaurantes y comercios, esta es una oportunidad única para vivir en el corazón de la ciudad. Aunque la propiedad requiere reformas, esto le brinda la libertad de diseñar y personalizar el espacio según sus necesidades y preferencias. ¡Imagínese el potencial que tiene esta vivienda una vez renovada! No deje pasar esta oportunidad de adquirir una vivienda en una de las mejores zonas de Palacio. Para obtener más información o concertar una visita, no dude en ponerse en contacto con nosotros. ¡Estaremos encantados de ayudarle a hacer realidad su sueño de tener un hogar perfecto en esta vibrante ubicación! En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir. Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Oficina Centro (Chueca - Justicia, Malasaña - Universidad, Palacio, Sol, Huertas - Cortes, Paseo Florida - Avda. Valladolid).;919383829;Calle de Puñonrostro, 6;540000;3;Palacio, Madrid;Gilmar Centro;Profesional;Palacio;Madrid;Centro;-;4576;118;1;2;Sí;No;No;No;No;No;No;Sí;No
101584299;Piso en Calle de las Huertas, 25;Piso;Gilmar Consulting Inmobiliario, presenta para sus clientes de la zona centro, la oportunidad de adquirir una fantástica inversión en pleno barrio de las letras. Apartamento chic de dos dormitorios y un baño completamente reformado de 83 m². El edificio en el que se encuentra el apartamento ha sido completamente reformado en 2006 y se considera un lujo en la zona. Además, se incluye un trastero y existe la posibilidad de adquirir un garaje en la calle Lope de Vega. Esta propiedad ha sido cuidadosamente diseñada para combinar el carácter y la esencia del piso con materiales de alta calidad. Ofrece a los potenciales compradores la oportunidad de vivir en una ubicación privilegiada, inmersos en el encanto histórico y cultural del Barrio de las Letras. El Barrio de las Letras es un lugar emblemático en la ciudad, conocido por su rica historia literaria y su ambiente cultural. Residieron allí destacados escritores del siglo XVII, como Lope de Vega, cuya casa se ha convertido en un museo que exhibe obras de arte de la época y cuenta con un huerto en el patio. Hoy en día, el Barrio de las Letras ofrece una amplia gama de actividades culturales. El Teatro Español es un lugar destacado donde se representan obras clásicas y contemporáneas. También se pueden encontrar espectáculos de flamenco en los tablaos de la zona, que a menudo ofrecen cenas junto con las actuaciones. La plaza de Santa Ana es un punto de encuentro popular en el barrio, con sus animadas terrazas de cafeterías y cervecerías. Las calles adoquinadas que rodean la plaza están llenas de elegantes bistrós, boutiques y tiendas de moda. Es un lugar ideal para disfrutar de la gastronomía local y explorar las tiendas con encanto. Es sin duda, una oportunidad única de vivir en una de las mejores zonas del centro de Madrid. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Oficina Centro (Chueca - Justicia, Malasaña - Universidad, Palacio, Sol, Huertas - Cortes, Paseo Florida - Avda. Valladolid).;919383829;Calle de las Huertas, 25;593000;2;Huertas-Cortes, Madrid;Gilmar Centro;Profesional;Huertas-Cortes;Madrid;Centro;-;7232;82;2;2;No;No;No;No;No;No;No;No;No
