Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
102252223;Casa independiente;Chalet;GILMAR Consulting Inmobiliario Madrid, Conde Orgaz, comercializa en la mejor zona de Coronales/Corralejos, junto al parque Juan Carlos I, este singular INDEPENDIENTE de 307 metros construidos sobre una parcela de más de 400 m2., con una vivienda y un apartamento independiente, dentro de la misma construcción. La espectacular vivienda cuenta con diversas áreas diferenciadas, así como grandes dimensiones en todas sus estancias, se distribuye en 4 plantas, la planta principal se accede desde un porche de entrada a un hall, aseo de invitados, gabanero, cocina con zona de office y acceso a comedor de verano y salón comedor con chimenea y 5 amplios ventanales. En la primera planta contamos con 4 dormitorios y 2 baños, (el dormitorio principal en suite). La buhardilla tiene 2 zonas, una zona de dormitorio, y otra sala principal polivalente.  En la planta semisótano, además del garaje, hay un apartamento completo con salón, cocina, baño completo y dormitorio, todo con ventanas y luz natural, a esta planta se puede acceder tanto desde la escalera interior de la vivienda, como desde el jardín, por una entrada individual. Hay que recalcar el frondoso jardín, con gran vegetación, piscina privada, pozo, fuentes decorativas, zona de barbacoa y porche, etc…Es sin duda, una oportunidad para vivir en la una zona residencial lujosa por excelencia de Madrid. Además se encuentra estratégicamente ubicado en una de las principales zonas de expansión/lujo/prime de Madrid capital. Un emplazamiento residencial de excepción, a escasos metros de las emblemáticas áreas de influencia del aeropuerto e IFEMA. La comunicación es inmejorable, en sus proximidades se pueden encontrar, centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc.), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc.), club deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc.), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Dallington School, Nuestra Señora santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc.), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc.), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Valley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra, etc.), sedes empresariales (VODAFONE, Banco Popular, ABC, EL PAIS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc.), hoteles (Melia, Hilton, Barceló, Confortel, IBIS, etc.), recintos feriales-IFEMA, etc. Con salida directa a M-30 y M-40, y a 5 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles.;919381222;barrio Campo de las Naciones-Corralejos;1260000;5;Campo de las Naciones-Corralejos, Madrid;gilmar conde orgaz-campo de las naciones;Profesional;Campo de las Naciones-Corralejos;Madrid;Barajas;-;4104;307;4;-;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
100750954;Piso;Piso;Gilmar Consulting Inmobiliario comercializa en Alameda de Osuna, junto al metro y a 10 minutos del Colegio Alameda, esta amplia vivienda de cuatro dormitorios con dos cuartos de baño. Se trata de una vivienda reformada íntegramente en la que encontramos un hall de entrada, un amplio salón, gran cocina equipada y tres dormitorios espaciosos, el principal con baño en suite. Dispone de aire acondicionado. Con zonas comunes muy agradables, grandes jardines y zona de juegos infantiles, además dispone de servicio de conserjería. Dispone de plaza de garaje opcional en 20.000 euros. Se encuentra estratégicamente ubicado en una de las zonas más demandadas de Madrid.  La comunicación GILMAR Consulting Inmobiliario Madrid, Conde Orgaz-Campo de las Naciones, comercializa en es inmejorable, en sus proximidades se pueden encontrar, centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc.), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc.), club deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc.), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Darlington School, Nuestra Señora Santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc.), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc.), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Valley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra, etc.), sedes empresariales (VODAFONE, Banco Popular, ABC, EL PAIS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc.), hoteles (Melia, Hilton, Barceló, Confortel, IBIS, etc.), recintos feriales-IFEMA, etc. Con salida directa a M-30 y M-40, y a 5 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas. Una oportunidad para vivir en una de las zonas residenciales consolidadas mejor comunicadas y más demandadas últimamente de Madrid. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles.;919381222;barrio Alameda de Osuna;370000;4;Alameda de Osuna, Madrid;gilmar conde orgaz-campo de las naciones;Profesional;Alameda de Osuna;Madrid;Barajas;-;2803;132;2;bj;Sí;No;No;No;Sí;No;Sí;No;Sí
101541620;Casa independiente;Chalet;QUARTIERS Expertos Inmobiliarios. Agents Immobiliers Français. Real Estate Services. ADEMÁS DE LA PROPIEDAD QUE LE PRESENTAMOS A CONTINUACIÓN, EN QUARTIERSINMOBILIARIA. COM PODRA CONSULTAR OTRAS PROPIEDADES NO PUBLICADAS EN IDEALISTA.  Quartiers presenta EN EXCLUSIVA este magnífico chalet independiente, de estilo moderno y líneas rectas, construido sobre una estupenda parcela ajardinada de 322 m2, con piscina privada. Se ha distribuido en estancias amplias y luminosas, con grandes ventanales al exterior y un diseño contemporáneo. La zona de recibo tiene un concepto abierto, y acoge un gran salón, el comedor (en diferente altura) y una cocina integrada que se aísla del comedor a través de unas grandes correderas de cristal. Desde esta zona se accede a una amplísima terraza con vistas al jardín y la piscina. La planta primera está dedicada a la zona de noche, aunque también hay una zona de estar.  PLANTA PRINCIPAL: Hall de entrada, moderna cocina semi-abierta, aseo de cortesía, terraza exterior con vistas a la piscina.  PLANTA PRIMERA: Salón o cuarto de estar, 3 dormitorios y 3 baños (uno de ellos en suite) PLANTA SEMISÓTANO: Sala de cine, gimnasio, cuarto de estudio, zona de lavandería.  2 plazas de garaje. CALIDADES: Calefacción de gas natural por suelo radiante, aire acondicionado. Paredes lisas, carpintería interior lacada en blanco. Placas solares, ascensor, piscina salina.;919384037;barrio Timón;1190000;4;Timón, Madrid;Quartiers Expertos Inmobiliarios. Conde Orgaz/La Moraleja;Profesional;Timón;Madrid;Barajas;-;4958;240;3;-;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
98857406;Chalet pareado;Chalet;Casa en venta muy cercana al Parque del Capricho. CASA PAREADA DE CUATRO PLANTAS, MUY LUMINOSA EN ALAMEDA DE OSUNA. Amplio chalet de esquina, en urbanización rodeada de jardines junto al parque de El Capricho y a pocos minutos del parque Juan Carlos I. La vivienda con orientación Noroeste- Sureste está distribuida en cuatro plantas. En la planta principal, encontramos una amplia cocina con puerta de servicio y ventana a patio inglés con ventilación exterior, pero cubierto con una claraboya. Frente a la cocina, hay un dormitorio y un aseo, ideal para despacho profesional o como zona de servicio. En esta misma planta tenemos un luminoso salón-comedor con chimenea y amplios ventanales, con salida a una terraza de unos 30 m² que conecta con la gran zona ajardinada común, muy cuidada. En la segunda planta, organizados alrededor de un amplio distribuidor, encontramos 4 espaciosos dormitorios con grandes armarios empotrados y Aire Acondicionado. Además de dos baños con ventana, el principal en suite. Sobre esta planta, una espectacular terraza azotea que abarca la planta de la casa, con vistas despejadas a jardines. Ideal para zona de hamacas con jacuzzi y espacio de sofás con pérgola para relax. En la planta sótano, hay en la actualidad un sexto dormitorio con amplias ventanas con luz natural y baño completo con rejilla de ventilación exterior, además de un cuarto tipo trastero - herramientas. Desde esta planta se accede al garaje con capacidad para dos coches, motos y bicis. Además de a una amplia y práctica despensa. Posibilidad de piscina de verano a 250 metros, Club de tenis Alameda de Osuna o Club Brezo Osuna. Piscina cubierta en Spacio Capricho, también a esa distancia. El Barrio de la Alameda de Osuna es un barrio privilegiado, lugar perfecto para quien busque naturaleza dentro de la ciudad. Sin zona de estacionamiento SER. Podrás organizar tu vida caminando pocos pasos y en un radio de 500 metros encontrará: Colegios (públicos, concertados y privados), centros de salud (público y privado), farmacias, galería de alimentación y súper (Mercadona, Día, Eroski, El Corte Inglés, Campo de las Naciones, Hipercor), escuela municipal de música, gimnasio privado con spa, polideportivo municipal con piscina, biblioteca, 2 centros culturales, 2 clubes de tenis, fisioterapeuta, logopeda, restaurantes variados, parque Juan Carlos I o el Jardín Histórico El Capricho. También en ese radio de cercanía, rápidos accesos a N-II, M-40, M-11, M-14, M-12. Paradas de metro Capricho y Alameda de Osuna (L5), paradas de autobuses EMT (105, 112, 115, 151), Nocturno, N4 desde Cibeles, a la Autónoma, 827, y al Ramón y Cajal, 166. Buses directos al Aeropuerto Internacional Adolfo Suárez -Madrid Barajas: a T1, T2 y T3, el 101, y a T4, el 827). Próxima ampliación para 2024 de la Línea 5 (verde) conectando con el Aeropuerto y con la línea L8 (rosa) de metro. A pocos minutos en coche de la prestigiosa Clínica Universitaria de Navarra, el Recinto Ferial IFEMA MADRID, que acoge multitud de ferias, salones, congresos y exposiciones, además de su zona empresarial (Endesa, Johnson & Johnson, Coca - Cola... y también grupo Anaya, Vocento, 3M, L´Oréal). También están en las inmediaciones el Centro Comercial Plenilunio, el Club de Golf Olivar de la Hinojosa, Leroy Merlin y el estadio Wanda Metropolitano. Ideal para familias numerosas. ¿Te imaginas vivir aquí?;919383565;barrio Alameda de Osuna;870000;6;Alameda de Osuna, Madrid;aProperties Real Estate Madrid;Profesional;Alameda de Osuna;Madrid;Barajas;-;2969;293;4;-;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
96518281;Piso en Avenida de Logroño;Piso;VOhome propiedades Barajas vende magnífico Ático Dúplex en la Avenida de Logroño. La vivienda de 180 m² útiles, muy luminosa y está distribuida   En planta baja encontramos un amplio recibidor, salón con salida a la terraza, baño completo con bañera y aseo ambos sanitarios colgantes marca Roca, cocina amueblada con electrodomésticos marca Haier, Bosch, campana italiana Elica, placa de inducción, horno, microondas, frigorífico, lavadora, lavavajillas y encimera de Silestone. Escalera de caracol que nos permiten acceder a la planta Ático con una terraza de 93 m², equipada con cerramiento y toldo a través de mando a distancia, césped artificial. Puerta de seguridad, videoportero, alarma instalada, ventanas climalit oscilobatientes, persianas eléctricas, paredes lisas, suelos cerámicos. Aire acondicionado Split de bomba de calor y frío en todas las estancias con programación independiente por wifi, toldos automáticos. 'Te financiamos tu vivienda hasta el 100% del valor de compraventa. Tipo de interés fijo: desde 2.25 % Tipo de interés variable: desde Er+0.25 % Para más información, llamar al teléfono gratuito ' A tan sólo un minuto del metro de Barajas (línea 8). El inmueble está ubicado en una zona comercial con todos los servicios. El distrito de Barajas es una zona ideal para vivir en total tranquilidad con amplias calles es una zona residencial con mucha calma. Dispone de todos los servicios necesarios: colegios, bibliotecas, farmacias, centro de salud, deportivos, sociales y culturales, supermercados y tiendas. Rodeados de grandes parques y espacios abiertos como el campo de golf El Olivar, Parque Juan Carlos I, Jardín el Capricho y el IFEMA. Además, se encuentra muy cerca del aeropuerto Adolfo Suárez, siendo éste el primer aeropuerto español, quinto en Europa y vigésimo cuarto del mundo en tráfico de pasajeros. Es también el primer aeropuerto español en cuanto a carga aérea y operaciones. Está ubicado el noreste de Madrid, limita al norte con el término municipal de Alcobendas, al este con la avenida de Logroño y la carretera de Alcobendas a Barajas, al sur con la calle de Ariadna y al oeste con el camino de Valdecarros, el camino del Palo y el Camino Viejo de Alcobendas a Barajas. El barrio cuenta con comunicación en metro Barajas L8 y varios autobuses 105,115, 211, 212, N4, SE al Hospital Ramón y Cajal. Rápido acceso a la M-11 el cual permite estar en plaza Castilla en menos de 10 minutos. *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales/ Notaría - Gestoría / Registro / Intermediación inmobiliaria y/o Financiera). Puede contactar con nosotros en nuestra oficina de: Avda. de Logroño 146 Local Teléfono: Horario de L V de 09:30h a 14:00h / 17:00h a 20:30h o sábados de 10:00h a 14:00h. Para ver más viviendas, visita nuestra página web.;919387683;Avenida de Logroño;510000;3;Casco Histórico de Barajas, Madrid;VOhome propiedades Barajas;Profesional;Casco Histórico de Barajas;Madrid;Barajas;-;2833;180;2;3;Sí;No;No;Sí;No;No;Sí;No;No
102233399;Piso en Calle Bergantín;Piso;"VOhome propiedades ofrece en venta, exclusivo piso de 93 m2, de 3 habitaciones, en pleno corazón de la Alameda de Osuna. La vivienda se distribuye en un hall de entrada que da paso a un amplio salón comedor con acceso a una acogedora terraza. La cocina está completamente equipada con todos los electrodomésticos y la incorporación de la terraza tendedero, convirtiéndolo en un espacio cómodo, amplio, funcional y con abundante sitio para el almacenaje Destacamos que es un piso es totalmente exterior con orientación Sureste y vistas despejadas, muy luminoso y acogedor.  La zona de dormitorios se compone de 3 habitaciones, todas con armarios empotrados, forrados y vestidos (el principal con doble armario y acceso al maletero). Dispone de un baño completo con plato de ducha y ventana.  En las últimas actualizaciones de la vivienda, entre el 2017 y 2018, se hizo el baño, se realizaron cambios de fontanería, electricidad, suelos de tarima, alisamiento de paredes, cambio de puertas por lacadas en blanco, ventanas climalit oscilobatientes, doble cristal. La vivienda dispone de aire acondicionado en todas sus estancias. Persianas manuales, excepto la del salón que es motorizada Los gastos de comunidad 140€/mes aprox. (incluida calefacción y agua).  Te financiamos tu vivienda hasta el 100% del valor de compraventa. Tipo de interés fijo: desde 2.15 % Tipo de interés variable: desde Er+0.45 % Para más información, llamar al teléfono gratuito "" El inmueble se encuentra en una urbanización cerrada, rodeado de cuidadas zonas ajardinadas, en un emplazamiento inmejorable, cerca de los principales servicios, del centro de salud y tiendas a pie de calle, farmacias, supermercados, cafeterías, colegios, bancos y a tres minutos andando del metro Alameda de Osuna (L5) y en autobús con las principales líneas que conectan con el Intercambiador de la Avenida de América, Canillejas, Aeropuerto y Hospital Ramón y Cajal: 105,115 y 112 y el Bus Nocturno N4.  Fácil acceso a las principales vías de comunicación de Madrid, como la M40, M11, M45, que comunican con el Aeropuerto Adolfo Suarez de Barajas y con IFEMA y en una zona cercana a uno de los principales parques de Madrid: el Parque EL Capricho y Juan Carlos I, el más grande la capital, con 160 hectáreas de zonas verdes y preciosos jardines. Muy cerca del Centro deportivo Municipal de Barajas e innumerables jardines. La Alameda de Osuna es un barrio perteneciente al Distrito de Barajas, es una zona exclusiva y residencial, no solo famosa por sus parques, jardines y zonas verdes, sino por el acceso a servicios principales tales como: Centro de Salud, farmacias, colegios e institutos de gran prestigio, por lo cual es actualmente una de las zonas más caprichosas de la Comunidad de Madrid *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales/ Notaría - Gestoría / Registro / Intermediación inmobiliaria y/o Financiera). Puede contactar con nosotros en nuestra oficina de: Avda. de Cantabria 39 Teléfono:  Horario de L – V de 09:30h a 14:00h / 17:00h a 20:30h y sábados de 10:00h a 14:00h. Para ver más viviendas, visita nuestra página web.""";919381654;Calle Bergantín;357000;3;Alameda de Osuna, Madrid;vohome alameda de osuna;Profesional;Alameda de Osuna;Madrid;Barajas;-;3839;93;1;4;Sí;No;No;Sí;No;No;Sí;No;No
99953218;Piso en Calle del Galeón;Piso;"VOhome propiedades Alameda de Osuna vende exclusivo piso de 110 m2, con 4 habitaciones, en pleno corazón de la Alameda. La vivienda se distribuye en un hall de entrada que da paso a un lado a un aseo de cortesía con ventana. La cocina está completamente reformada y ampliada con parte de la terraza tendedero.  El salón comedor es un espacio amplio, muy cuadrado y luminoso con la terraza incorporada y cuenta con aproximadamente 25m2. La vivienda cuenta con doble orientación Norte/ Sur, lo cual aporta luz durante todo el día y permite la ventilación cruzada.  La zona de dormitorios se compone de 4 habitaciones amplias y exteriores y un baño completo con plato de ducha. El inmueble se encuentra en una urbanización cerrada perimetralmente y con servicios centrales de calefacción y agua caliente, cuarto para bicicletas. Rodeado de cuidadas zonas ajardinadas y con vistas despejadas. Totalmente exterior. Te financiamos tu vivienda hasta el 100% del valor de compraventa. Tipo de interés fijo: desde 2.15 % Tipo de interés variable: desde Er+0.45 % Para más información, llamar al teléfono gratuito "". El emplazamiento es inmejorable, cerca de todos los servicios, autobuses de la EMT a diversos destinos, vías de comunicación, farmacias y supermercados. Cerca del centro de salud A menos de cinco minutos andando del metro Alameda de Osuna (L5) y a varias líneas de autobús urbano como el 101, 151, 115, 112 y el Búho N4.  *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales/ Notaría - Gestoría / Registro / Intermediación inmobiliaria y/o Financiera). Puede contactar con nosotros en nuestra oficina de: Avda. de Cantabria 39 Teléfono:  Horario de L – V de 09:30h a 14:00h / 17:00h a 20:30h y sábados de 10:00h a 14:00h. Para ver más viviendas, visita nuestra página web.""";919381654;Calle del Galeón;395000;4;Alameda de Osuna, Madrid;vohome alameda de osuna;Profesional;Alameda de Osuna;Madrid;Barajas;-;3591;110;2;2;Sí;No;No;No;No;No;No;No;No
100125155;Piso en Calle de Nuestra Señora de Araceli;Piso;VOhome propiedades Barajas vende piso en la zona del Casco histórico Barajas. Se trata de un excelente piso de 78 m² construidos que consta de tres dormitorios, tiene un baño completo con bañera y un aseo, salón-comedor, cocina equipada, amplio trastero y en las zonas comunes tiene piscina. Suelos nobles de mármol, ventanas climalit, persianas, calefacción central, aire acondicionado Split en toda la vivienda. 'Te financiamos tu vivienda hasta el 100% del valor de compraventa. Tipo de interés fijo: desde 2.25 % Tipo de interés variable: desde Er+0.25 % Para más información, llamar al teléfono gratuito ' A tan sólo siete minutos del metro de Barajas (línea 8). El inmueble está ubicado en una zona comercial con todos los servicios. El distrito de Barajas es una zona ideal para vivir en total tranquilidad con amplias calles, es una zona residencial con mucha calma. Dispone de todos los servicios necesarios: colegios, bibliotecas, farmacias, centro de salud, deportivos, sociales y culturales, supermercados y tiendas. Rodeados de grandes parques y espacios abiertos como el campo de golf El Olivar, Parque Juan Carlos I, Jardín el Capricho y el IFEMA. Además, se encuentra muy cerca del aeropuerto Adolfo Suárez, siendo éste el primer aeropuerto español, quinto en Europa y vigésimo cuarto del mundo en tráfico de pasajeros. Es también el primer aeropuerto español en cuanto a carga aérea y operaciones. Está ubicado al noreste de Madrid, limita al norte con el término municipal de Alcobendas, al este con la avenida de Logroño y la carretera de Alcobendas a Barajas, al sur con la calle de Ariadna y al oeste con el camino de Valdecarros, el camino del Palo y el Camino Viejo de Alcobendas a Barajas. El barrio cuenta con comunicación en metro Barajas L8 y varios autobuses 105,115, 211, 212, N4, SE al Hospital Ramón y Cajal. Rápido acceso a la M-11 el cual permite estar en plaza Castilla en menos de 10 minutos. *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales/ Notaría - Gestoría / Registro / Intermediación inmobiliaria y/o Financiera). Puede contactar con nosotros en nuestra oficina de: Avda. de Logroño 146 Local Teléfono:  Horario de L V de 09:30h a 14:00h / 17:00h a 20:30h o sábados de 10:00h a 14:00h. Para ver más viviendas, visita nuestra página web.;919387683;Calle de Nuestra Señora de Araceli;275000;3;Casco Histórico de Barajas, Madrid;VOhome propiedades Barajas;Profesional;Casco Histórico de Barajas;Madrid;Barajas;-;3526;78;2;bj;No;No;Sí;No;No;No;Sí;Sí;No
101636277;Piso en Plaza Mayor de Barajas;Piso;VOhome propiedades Barajas vende piso luminoso en la Plaza Mayor de Barajas. La amplia vivienda dispone de 100 m² distribuidos en recibidor, cocina con office y terraza tendedero, un baño con bañera, aseo, tres dormitorios con armarios empotrados y amplio salón comedor. El piso tiene doble orientación por lo que obtiene mucha luz natural y ventilación cruzada. Suelos de parquet, calefacción por caldera a gas natural, puertas de madera, aire acondicionado split en salón y dormitorio principal. A tan sólo siete minutos del metro de Barajas (línea 8). 'Te financiamos tu vivienda hasta el 100% del valor de compraventa. Tipo de interés fijo: desde 2.25 % Tipo de interés variable: desde Er+0.25 % Para más información, llamar al teléfono gratuito ' El inmueble está ubicado en una zona comercial con todos los servicios. El distrito de Barajas es una zona ideal para vivir en total tranquilidad con amplias calles, es una zona residencial con mucha calma. Dispone de todos los servicios necesarios: colegios, bibliotecas, farmacias, centro de salud, deportivos, sociales y culturales, supermercados y tiendas. Rodeados de grandes parques y espacios abiertos como el campo de golf El Olivar, Parque Juan Carlos I, Jardín el Capricho y el IFEMA. Además, se encuentra muy cerca del aeropuerto Adolfo Suárez, siendo éste el primer aeropuerto español, quinto en Europa y vigésimo cuarto del mundo en tráfico de pasajeros. Es también el primer aeropuerto español en cuanto a carga aérea y operaciones. Está ubicado al noreste de Madrid, limita al norte con el término municipal de Alcobendas, al este con la avenida de Logroño y la carretera de Alcobendas a Barajas, al sur con la calle de Ariadna y al oeste con el camino de Valdecarros, el camino del Palo y el Camino Viejo de Alcobendas a Barajas. El barrio cuenta con comunicación en metro Barajas L8 y varios autobuses 105, 115, 211, 212, 166 y N4.  Rápido acceso a la M-11 el cual permite estar en plaza Castilla en menos de 10 minutos. * En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales/ Notaría - Gestoría / Registro / Intermediación inmobiliaria y/o Financiera). Puede contactar con nosotros en nuestra oficina de: Avda. de Logroño 146 Local Teléfono: Horario de L V de 09:30h a 14:00h / 17:00h a 20:30h o sábados de 10:00h a 14:00h. Para ver más viviendas, visita nuestra página web.;919387683;Plaza Mayor de Barajas;330000;3;Casco Histórico de Barajas, Madrid;VOhome propiedades Barajas;Profesional;Casco Histórico de Barajas;Madrid;Barajas;-;3300;100;2;2;No;No;No;No;No;No;Sí;No;No
101769018;Piso en Calle de las Alas;Piso;VOhome propiedades Barajas vende piso en zona Timón. Le presentamos esta vivienda situada en pleno barrio de Timón. Está ubicada en la entreplanta del edificio, el cual dispone de ascensor, accesibilidad para personas con movilidad reducida, portero automático y toda la vivienda se orienta hacia el Noroeste. Tiene un amplio salón, 2 dormitorios, el principal con armario empotrado y baño en suite, ambos dormitorios con bomba de calor y frio instalados en el año 2022. Cocina independiente con tendedero cubierto. Puerta de entrada a la vivienda blindada, suelos de tarima, calefacción y agua caliente por caldera a gas natural y ventanas climalit con doble cristal. Esta vivienda es parte de una urbanización que ofrece piscina con césped natural, parque infantil y salón de reuniones. Dispone de plaza de garaje y trastero (incluidos en el precio). Además, este inmueble se encuentra en una zona de revalorización, junto a la Av. de Logroño y del metro de Barajas (L8). Ponemos a su disposición nuestro departamento financiero, que, sin ningún compromiso, les guiará en el proceso hipotecario para poder financiar su vivienda hasta el 100% del valor de compraventa (Según perfil). Tipo de interés fijo: desde 2.25 % Tipo de interés variable: desde Er+0.25 % El distrito de Barajas es una zona ideal para vivir en total tranquilidad, con amplias calles es una zona residencial con mucha calma. El barrio cuenta con comunicación en metro Barajas L8 y varios autobuses 105,115, 211, 212, N4, SE al Hospital Ramón y Cajal. Dispone de todos los servicios necesarios: colegios, bibliotecas, farmacias, centro de salud, centros deportivos, centros sociales y centros culturales, supermercados y tiendas. Rodeados de grandes parques y espacios abiertos como el campo de golf El Olivar, Parque Juan Carlos I, Jardín el Capricho y el IFEMA. También alberga una gran variedad patrimonial. Cabe destacar la hermosa ermita de Nuestra Señora de la Soledad del siglo XVII, la iglesia de San Pedro de Antioquía, actual parroquia de San Pedro Apóstol y la Plaza Mayor fundada entre los siglos XVI - XVII con sus galerías y pilares de la época. Además, se encuentra muy cerca del aeropuerto Adolfo Suárez, siendo éste el primer aeropuerto español, quinto en Europa y vigésimo cuarto del mundo en tráfico de pasajeros. Es también el primer aeropuerto español en cuanto a carga aérea y operaciones. Rápido acceso a la M-11 el cual permite estar en plaza Castilla en menos de 10 minutos. * En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales/ Notaría - Gestoría / Registro / Intermediación inmobiliaria y/o Financiera). Puede contactar con nosotros en nuestra oficina de: Avda. de Logroño 146 Local Teléfono:  horario de L V de 09:30h a 14:00h / 17:00h a 20:00h o sábados de 10:00h a 14:00h. Para ver más viviendas, visita nuestra página web.;919387683;Calle de las Alas;310000;2;Timón, Madrid;VOhome propiedades Barajas;Profesional;Timón;Madrid;Barajas;-;3690;84;2;bj;Sí;No;Sí;No;Sí;Sí;Sí;Sí;Sí
