Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
39940313;Piso en Calle de Lagasca;Piso;Promora Madrid vende en planta sótano piso para reformar de 194 metros en Barrio Salamanca (Castellana). Hall de entrada, sala, 3 habitaciones, 2 baños y cocina. Visita virtual de la vivienda: Piso para reformar en planta sótano ubicado en un magnífico edificio en pleno Barrio de Salamanca. Se distribuye en un hall de entrada, cuatro amplias salas con ventanas exteriores y a un coqueto patio interior. Dos cuartos de baño y una pequeña cocina. Por su situación es una excelente oportunidad como inversión. La distribución nos permite realizar una estupenda reforma. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS. Sin duda, el distrito selecto por excelencia de Madrid. Pasear por las calles del barrio de Salamanca es contemplar los edificios más elegantes y codiciados de la capital: construcciones históricas de portales señoriales e interiores amplios y altos. Concebido en las últimas décadas del siglo XIX por D. José de Salamanca y Mayol, Marqués de Salamanca, este ensanche de la ciudad conserva intacto su aire aristocrático, que podemos ver en palacetes como el de la Embajada de Italia, por ejemplo. En este epicentro del lujo se localiza la conocida “Milla de Oro”: un área comercial donde tienen su sede marcas prestigiosas como Dior, Chanel, Prada o Tiffany y Promora. Tiendas como Gallery, BD o Vitra y restaurantes como Ramsés o No, responden a los gustos de un life style moderno y sofisticado. Hablamos de una zona dinámica y segura, de grandes aceras, con un parking casi ilimitado y con una interesante vida nocturna: Nxt Club, Déjate Besar o Le Boutique Club. No faltan las galerías de arte y los espacios dedicados a la cultura como la Fundación March o el museo Lázaro Galdiano. Sin olvidar sus árboles frondosos y la cercanía al parque del Retiro, el gran pulmón verde del centro de Madrid.;914310431;Calle de Lagasca;600000;4;Castellana, Madrid;Promora Madrid;Profesional;Castellana;Madrid;Barrio de Salamanca;-;3093;194;2;bj;Sí;No;No;No;No;No;Sí;No;No
100546624;Piso en Calle de Villanueva s/n;Piso;DIZA Consultores les presenta vivienda en edificio muy exclusivo con seguridad 24 horas, en el corazón de Recoletos, a un paso del Parque del Retiro. En un enclave único, cerca de una de las calles principales del barrio de Salamanca, en un edificio representativo se encuentra este piso con una superficie total de 161 metros construidos. Se trata de un piso donde se han cuidado todos los detalles, convirtiéndolo en un trofeo en la mejor zona de Madrid. La zona de día es muy amplia, con salón comedor con vistas despejadas. Este comunica por el pasillo a la cocina. La zona de descanso se compone de tres dormitorios dobles, dos exteriores y con baño en suite. Además cuenta con un tercer cuarto de baño.  La vivienda posee todo lo necesario para sentirse cómodo en todo momento: calefacción por suelo radiante, aire acondicionado por conductos, iluminación indirecta por LED y ventanas con aislamiento térmico y acústico. El Barrio Salamanca se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. Estaremos encantados de atenderle. DIZA Consultores Inmobiliarios Inmobiliaria de lujo en Madrid ubicada en el Barrio de Salamanca especializada en comprar, vender y alquilar pisos en Madrid Convertimos Sueños en Hogares.;919382699;Calle de Villanueva s/n;2300000;3;Recoletos, Madrid;DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid;Profesional;Recoletos;Madrid;Barrio de Salamanca;-;14286;161;2;3;Sí;No;No;No;No;No;Sí;No;No
100826383;Piso en Calle del Conde de Peñalver;Piso;Barrio de Salamanca, magnífica y espaciosa vivienda para actualizar que está formada por la unión de dos pisos.  De este modo se podría devolver a su estado de origen ( dos casas independientes) o mantenerlas unidas para disfrutar de una gran amplitud. GILMAR SALAMANCA  Este distinguido barrio residencial se ha convertido en una de las más importantes zonas comerciales de la ciudad y uno de los barrios de mayor nivel de vida de Europa con la mayor zona de compras de lujo de Madrid en torno a las calles Serrano, Claudio Coello y Ortega y Gasset. Destaca también por sus señoriales fachadas, que convierten a Madrid en una de las capitales más europeas en cuanto a arquitectura clásica y vanguardista. El barrio de Salamanca es sin duda, una de las zonas residenciales más elegantes y prestigiosas del continente europeo. Aloja uno de los principales equipamientos deportivos de la ciudad, el Wizink Center inaugurado en 2005 sobre el antiguo Palacio de los Deportes. Asimismo, acoge a diversas instituciones como la Real Casa de la Moneda o Fábrica Nacional de Moneda y Timbre. El barrio es atravesado diagonalmente por la calle de Alcalá que, junto a calles como Jorge Juan, Goya o Hermosilla, le dan un carácter eminentemente comercial. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 39 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir. Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal.;919381590;Calle del Conde de Peñalver;1100000;5;Lista, Madrid;Gilmar Barrio de Salamanca;Profesional;Lista;Madrid;Barrio de Salamanca;-;5914;186;2;2;Sí;No;No;No;No;No;No;No;No
101141483;Piso en Calle de Castelló;Piso;En el Barrio de Salamanca, nos encontramos esta magnífica y espaciosa vivienda con muchísima luz en todas sus estancias por encontrarse en una quinta planta alta y además en chaflán. La casa cuenta con una reforma muy reciente donde todas sus dependencias dan al exterior. Cabe destacar además que cuenta con una terraza a la que se accede desde dos de sus habitaciones de quince metros cuadrados útiles. GILMAR SALAMANCA  Este distinguido barrio residencial se ha convertido en una de las más importantes zonas comerciales de la ciudad y uno de los barrios de mayor nivel de vida de Europa con la mayor zona de compras de lujo de Madrid en torno a las calles Serrano, Claudio Coello y Ortega y Gasset. Destaca también por sus señoriales fachadas, que convierten a Madrid en una de las capitales más europeas en cuanto a arquitectura clásica y vanguardista. El barrio de Salamanca es sin duda, una de las zonas residenciales más elegantes y prestigiosas del continente europeo. Aloja uno de los principales equipamientos deportivos de la ciudad, el Wizink Center inaugurado en 2005 sobre el antiguo Palacio de los Deportes. Asimismo, acoge a diversas instituciones como la Real Casa de la Moneda o Fábrica Nacional de Moneda y Timbre. El barrio es atravesado diagonalmente por la calle de Alcalá que, junto a calles como Jorge Juan, Goya o Hermosilla, le dan un carácter eminentemente comercial. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 39 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir. Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal.;919381590;Calle de Castelló;1350000;3;Castellana, Madrid;Gilmar Barrio de Salamanca;Profesional;Castellana;Madrid;Barrio de Salamanca;-;7988;169;2;5;Sí;No;No;Sí;No;No;No;No;No
101589046;Piso;Piso;PROMORA MADRID vende piso en barrio de Salamanca zona Recoletos, 402 m², cuatro dormitorios, tres baños, dos de ellos en suite y dormitorio de servicio con baño completo. Amplio salón comedor, despacho, sala de estar, family room, y espectacular terraza de 100 m². Visita virtual de la vivienda: Son muchos los detalles que convierten a este activo en una vivienda única, su localización inmejorable en pleno barrio de Recoletos, la amplitud de sus estancias, la altura de sus techos, pero sobre todo por la espectacular terraza privada de 100 m² con abundante vegetación.  La vivienda ha sido recientemente actualizada y se encuentra lista para entrar a vivir. Ya desde la misma entrada se percibe el tipo de vivienda que vamos a visitar, un amplísimo hall recibidor que divide perfectamente las zonas de día y de noche. Junto al hall recibidor tenemos un dormitorio de invitados. A mano derecha según entramos tenemos un family room exterior, un salón con chimenea y un comedor anexo.  Un pasillo distribuidor nos conduce a la zona de descanso. Aseo de cortesía al inicio de dicho pasillo, a continuación, encontramos la cocina y el dormitorio de servicio con baño completo, zona de lavandería y entrada de servicio independiente. Por último, la zona de descanso formada por dos dormitorios dobles con baño completo en suite y vestidor. Estos dos dormitorios tienen acceso a la espectacular terraza ajardinada. Otro dormitorio con baño externo y una sala de estar, completan esta zona de la vivienda. Portal señorial con portero físico y entrada de servicio independiente. La vivienda dispone de un trastero de buen tamaño en el mismo edificio. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS. Sin duda, el distrito selecto por excelencia de Madrid. Pasear por las calles del barrio de Salamanca es contemplar los edificios más elegantes y codiciados de la capital: construcciones históricas de portales señoriales e interiores amplios y altos. Concebido en las últimas décadas del siglo XIX por D. José de Salamanca y Mayol, Marqués de Salamanca, este ensanche de la ciudad conserva intacto su aire aristocrático, que podemos ver en palacetes como el de la Embajada de Italia, por ejemplo. En este epicentro del lujo se localiza la conocida “Milla de Oro”: un área comercial donde tienen su sede marcas prestigiosas como Dior, Chanel, Prada o Tiffany y Promora. Tiendas como Gallery, BD o Vitra y restaurantes como Ramsés o No, responden a los gustos de un life style moderno y sofisticado. Hablamos de una zona dinámica y segura, de grandes aceras, con un parking casi ilimitado y con una interesante vida nocturna: Nxt Club, Déjate Besar o Le Boutique Club. No faltan las galerías de arte y los espacios dedicados a la cultura como la Fundación March o el museo Lázaro Galdiano. Sin olvidar sus árboles frondosos y la cercanía al parque del Retiro, el gran pulmón verde del centro de Madrid.;914310431;barrio Recoletos;3700000;5;Recoletos, Madrid;Promora Madrid;Profesional;Recoletos;Madrid;Barrio de Salamanca;-;9204;402;5;1;Sí;No;No;Sí;No;No;Sí;Sí;No
101100791;Piso en Calle de Castelló;Piso;Planta alta muy luminosa y con vistas en el Barrio de Salamanca, muy próximo a calle Goya y al Parque del Retiro.  Vivienda de 102 metros en perfecto estado de conservación.  Distribuida en salón independiente, 3 dormitorios, uno de ellos en suite, 2 baños y cocina completamente equipada. Muy buenas calidades. Servicio individual de calefacción, aire acondicionado con bomba de calor.  Buena finca con portero físico. Ideal localización. GILMAR SALAMANCA  Este distinguido barrio residencial se ha convertido en una de las más importantes zonas comerciales de la ciudad y uno de los barrios de mayor nivel de vida de Europa con la mayor zona de compras de lujo de Madrid en torno a las calles Serrano, Claudio Coello y Ortega y Gasset.    Destaca también por sus señoriales fachadas, que convierten a Madrid en una de las capitales más europeas en cuanto a arquitectura clásica y vanguardista. El barrio de Salamanca es sin duda, una de las zonas residenciales más elegantes y prestigiosas del continente europeo.   Aloja uno de los principales equipamientos deportivos de la ciudad, el Wizink Center inaugurado en 2005 sobre el antiguo Palacio de los Deportes. Asimismo, acoge a diversas instituciones como la Real Casa de la Moneda o Fábrica Nacional de Moneda y Timbre.    El barrio es atravesado diagonalmente por la calle de Alcalá que, junto a calles como Jorge Juan, Goya o Hermosilla, le dan un carácter eminentemente comercial. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 39 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal.;919381590;Calle de Castelló;1195000;3;Recoletos, Madrid;Gilmar Barrio de Salamanca;Profesional;Recoletos;Madrid;Barrio de Salamanca;1290000;11716;102;2;4;Sí;No;No;No;No;No;No;No;No
97740848;Ático;Ático;PROMORA MADRID vende ático dúplex a estrenar, reformado por el estudio Ochotorena Arquitectos, de 688 m², terrazas que suman 180 m², 4 dormitorios en suite, apartamento de servicio independiente con baño completo, amplios salones, cocina, british bar, comedor, trastero y dos plazas de garaje en finca. Enlace Tour Virtual: Espectacular ático dúplex a un paso de la calle Serrano, recientemente reformado por el prestigioso estudio de arquitectura e interiorismo de Iker Ochotorena.  Se encuentra en la octava planta de un moderno edificio situado en la zona prime por antonomasia de la capital, la zona de Castellana en el barrio de Salamanca. Son muchos los detalles que convierten esta vivienda en una oportunidad única de vivir en un inmueble VIP, la amplitud de sus estancias, la calidad de los materiales empleados en su reforma, el aprovechamiento de los espacios perfectamente bien concebidos e integrados entre sí, donde se han cuidado al máximo todos los detalles para conseguir un concepto de vivienda exclusiva, elegante y confortable a partes iguales. Toda la vivienda ocupa las dos últimas plantas del edificio. A la planta principal se accede por un hall recibidor que da paso directamente al salón, amplio y muy luminoso gracias a los imponentes ventanales de suelo a techo, que dan acceso a la terraza con orientación Sur. En esta misma planta se encuentran un despacho, un dormitorio de invitados con baño completo en suite, el comedor, el espectacular salón, el british bar y la cocina con comedor anexo. En la misma cocina se encuentra la entrada de servicio con ascensor independiente y que conecta con el dormitorio de servicio totalmente separado de la vivienda. Por unas escaleras de estilo mediterráneo, subimos a la zona de descanso, en el desembarco de esta escalera tenemos el acceso a la segunda terraza también con orientación sur.  La zona de descanso está formada por tres dormitorios muy amplios, con baño en suite y numerosos armarios. Destaca por encima del resto, el imponente dormitorio principal, con un enorme vestidor y un elegante baño desde el que se accede a otra terraza con jacuzzi. El precio incluye un trastero y dos plazas de garaje en la misma finca. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS. Sin duda, el distrito selecto por excelencia de Madrid. Pasear por las calles del barrio de Salamanca es contemplar los edificios más elegantes y codiciados de la capital: construcciones históricas de portales señoriales e interiores amplios y altos. Concebido en las últimas décadas del siglo XIX por D. José de Salamanca y Mayol, Marqués de Salamanca, este ensanche de la ciudad conserva intacto su aire aristocrático, que podemos ver en palacetes como el de la Embajada de Italia, por ejemplo. En este epicentro del lujo se localiza la conocida “Milla de Oro”: un área comercial donde tienen su sede marcas prestigiosas como Dior, Chanel, Prada o Tiffany y Promora. Tiendas como Gallery, BD o Vitra y restaurantes como Ramsés o No, responden a los gustos de un life style moderno y sofisticado. Hablamos de una zona dinámica y segura, de grandes aceras, con un parking casi ilimitado y con una interesante vida nocturna: Nxt Club, Déjate Besar o Le Boutique Club. No faltan las galerías de arte y los espacios dedicados a la cultura como la Fundación March o el museo Lázaro Galdiano. Sin olvidar sus árboles frondosos y la cercanía al parque del Retiro, el gran pulmón verde del centro de Madrid.;914310431;barrio Castellana;6950000;5;Castellana, Madrid;Promora Madrid;Profesional;Castellana;Madrid;Barrio de Salamanca;-;10102;688;6;7;Sí;No;No;Sí;Sí;Sí;Sí;Sí;No
96157390;Piso en Calle de Recoletos s/n;Piso;"Única Inmobiliaria Jorge Juan vende piso junto a la Plaza de la Independencia y  el Parque del Retiro, en el prestigioso Barrio Salamanca. Situado en una finca clásica con moderno portal y cuidada escalera. Se distribuye en recibidor, salón con dos grandes ventanales al exterior, sala de estar y zona de trabajo, gran comedor, tres dormitorios, dos baños y un aseo. Gran cocina independiente equipada con electrodomésticos de alta gama.  Inmejorable ubicación en el Barrio Salamanca, elegante y selecto, es uno es uno de los barrios de mayor nivel de vida de Europa, representativa y señorial zona de la capital, de calles anchas y elegantes edificios donde se pueden encontrar las tiendas más exclusivas de la ciudad. Destaca su tranquilidad, magnífica arquitectura y la variedad de servicios, sus edificios gozan de especial interés gracias a su calidad arquitectónica y la belleza de sus fachadas. Aquí se localiza la Milla de Oro"", exclusiva área comercial donde están concentradas las tiendas de las marcas de lujo más prestigiosas: Chanel, Dior, Prada, Tiffany. No faltan las galerías de arte y los espacios dedicados a la cultura como la Fundación March o el Museo Lázaro Galdiano, sin olvidar la cercanía al Parque del Retiro, el gran pulmón verde del centro de Madrid. En Única Inmobiliaria, empresa de servicios personalizados con experiencia de más de 19 años y conocimiento profundo del sector en las zonas más exclusivas de Madrid, contamos con un dinámico equipo de profesionales con formación superior y experiencia en el asesoramiento personal. Nuestra larga trayectoria profesional nos permite ofrecer una excelente gestión y encontrar soluciones a las necesidades de cada cliente con el objetivo de conseguir su satisfacción y confianza. En Única Inmobiliaria cada cliente es “Único”. DISPONEMOS DE MÁS INMUEBLES EN ESTA ZONA QUE NO SE PUBLICAN EN IDEALISTA POR EXPRESO DESEO DE LOS PROPIETARIOS. PARA VERLOS PINCHE EN EL LOGO DE UNICA O ENTRE EN NUESTRA WEB unicainmobiliaria. com.""";919384180;Calle de Recoletos s/n;2600000;4;Recoletos, Madrid;Única Consultoría Inmobiliaria;Profesional;Recoletos;Madrid;Barrio de Salamanca;-;10526;247;3;1;Sí;No;No;No;No;No;Sí;No;No
102243704;Piso en Calle de Núñez de Balboa;Piso;"Única Inmobiliaria presenta fantástico piso recién reformado por el prestigioso arquitecto Tristán Domecq en la conocida calle de Núñez de Balboa, en pleno barrio de SALAMANCA, la mejor zona de Recoletos, junto al Parque del Retiro. La propiedad tiene una superficie construida de 116 m², cuenta con gran salón – comedor, muy luminoso, espaciosa cocina independiente diseñada a medida, con una encimera de piedra Arabescato (mármol blanco), dos dormitorios, el principal con baño en suite, y otro baño más.  El área de descanso está compuesta por dos dormitorios con armarios empotrados, luces led incorporadas, diseñados ad hoc para la vivienda lo que permite el aprovechamiento máximo de los espacios.  Baños de diseño con acabados de lujo: lavabos de piedra emperador oscuro pulido, suelos y rodapié elaborados en piedra Campaspero y el revestimiento alicatado en zonas de duchas en azulejos Nais que aporta una sutileza al área.  En cuanto la climatización, la vivienda posee aire acondicionado canalizado y calefacción individual (suelo radiante) en todas sus estancias. El inmueble se ubica en un precioso edificio rehabilitado integralmente en el 2011, de fachada clásica, buen portal con paso de carruajes, ascensor adaptado para personas con movilidad reducida y portero físico. Posibilidad de adquirir plazas de garaje en el mismo edificio por 40.000€. Además de ello la finca cuenta con ITE favorable del año 2022.  Este magnífico piso se encuentra en la prestigiosa área de Recoletos, conocida como la zona Prime"" de la ciudad, caracterizada por su elegancia y sofisticación. Además, al encontrarse en una ubicación privilegiada, tendrás acceso a una amplia gama de servicios y comodidades a tu alcance. Podrás disfrutar de paseos por el Parque del Retiro, visitar museos y galerías de arte, y deleitarte con la gastronomía de alta calidad en los restaurantes de la zona.  Recoletos ofrece un estilo de vida moderno y sofisticado, sinónimo de distinción. En Única Inmobiliaria, empresa de servicios personalizados con experiencia de más de 19 años y conocimiento profundo del sector en las zonas más exclusivas de Madrid, contamos con un dinámico equipo de profesionales con formación superior y experiencia en el asesoramiento personal. Nuestra larga trayectoria profesional nos permite ofrecer una excelente gestión y encontrar soluciones a las necesidades de cada cliente con el objetivo de conseguir su satisfacción y confianza. En Única Inmobiliaria cada cliente es “Único”. DISPONEMOS DE MÁS INMUEBLES EN ESTA ZONA QUE NO SE PUBLICAN EN IDEALISTA POR EXPRESO DESEO DE LOS PROPIETARIOS. PARA VERLOS PINCHE EN EL LOGO DE UNICA O ENTRE EN NUESTRA WEB unicainmobiliaria. com.""";919384180;Calle de Núñez de Balboa;1300000;2;Recoletos, Madrid;Única Consultoría Inmobiliaria;Profesional;Recoletos;Madrid;Barrio de Salamanca;-;11207;116;2;2;Sí;No;No;No;No;No;Sí;No;No
101322140;Piso en Don Ramón de la Cruz;Piso;Vivienda ubicada en una preciosa finca clásica, en el emblemático barrio de Salamanca.  El piso es exterior y dispone de 128 m2 distribuidos en una zona de día, con dos amplios salones y un bonito mirador dónde se puede ubicar un despacho. La cocina es independiente y está totalmente equipada.  La zona de noche se compone de 3 dormitorios con armarios empotrados y dos baños. El piso dispone de techos altos, calefacción central y aire acondicionado por conductos. La finca cuenta con ascensor. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y Eixample, Zona Alta, Poblenou y Diagonal Mar en Barcelona. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.;919381850;Don Ramón de la Cruz;849000;3;Goya, Madrid;Walter Haus Madrid;Profesional;Goya;Madrid;Barrio de Salamanca;-;6633;128;2;3;Sí;No;No;No;No;No;Sí;No;No
