Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
102160562;Ático en Avenida de los Poblados;Ático;Gilmar Madrid-Rio ( ) Ubicado en la zona Abrantes – Urbanizaciones se vende espectacular ático muy luminoso y con vistas despejadas. El ático está reformado y actualmente cuenta con 2 dormitorios con armarios empotrados y 2 baños, el salón comunica con la cocina creando un espacio integrado de salón, comedor y cocina, también encontramos el acceso a la terraza de unos 20 m². La urbanización en la que está situado en una de las mejores urbanizaciones de la zona que cuenta con unas cuidadas zonas comunes con piscina, amplios jardines, parque infantil, amplio gimnasio y vigilancia 24h.  La vivienda dispone de 109 m² construidos, la superficie útil aproximada son 80 m², también cuenta con una plaza de garaje y trastero. Las puertas de paso son de madera de roble barnizada y las puertas de los armarios lucen a juego. La puerta de entrada es blindada y Las ventanas son abatibles de aluminio lacado con cristales de tipo climalit. El piso disfruta de luz natural todo el día y vistas hacia Madrid. Dispone de agua caliente y calefacción individual por gas natural con caldera estanca. La finca es del año 2001 y dispone de total acceso para personas de movilidad reducida sin obstáculos arquitectónicos y cuenta con portero físico 24h. A solo unos metros del Parque Emperatriz Maria de Austria, la zona cuenta con todo tipo de servicios para compras y ocio, colegios e institutos, centros culturales, centro de salud y unas excelentes comunicaciones tanto por transporte público, con metro a unos minutos (línea 11, metro San Francisco) y varias líneas de autobús cercanas, también tiene muy fácil el acceso a la M-40, A-4, M-30 y A-42. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 Clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontrarás 4.000 oportunidades más.;919387042;Avenida de los Poblados;360000;2;Abrantes, Madrid;Gilmar Madrid Río;Profesional;Abrantes;Madrid;Carabanchel;-;3303;109;2;10;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
102010630;Piso en Avenida del Manzanares;Piso;Gilmar Madrid-Río ( ), vende vivienda señorial en la mejor zona de Avenida del Manzanares.  Tiene una superficie de 81 m2 según catastro distribuidos en hall, salón-comedor, cocina independiente con terraza incorporada, dos dormitorios amplios (de origen tres) y un baño completo. Nos encontramos en una 8º planta, con excelente luminosidad y tranquilidad.  La cocina independiente, cuenta con todas las comodidades.  El salón, dispone de un amplio espacio tanto de zona de estar como de comedor. La vivienda se encuentra totalmente reformada para entrar a vivir, paredes lisas, suelo de tarima de cerezo, puertas lacadas, carpintería exterior de climalit en blanco, calefacción por gas natural, aire acondicionado. Todas las instalaciones de la finca se encuentran en un estado de conservación excelente, el portal en plena reforma estética. La vivienda se ubica en una zona totalmente consolidada y privilegiada de Madrid. Cuenta con todos los servicios necesarios (ambulatorio, colegios, supermercados.. . ), a 2 minutos andando del metro Marqués de Vadillo y el Puente de Toledo. Madrid Río es un enorme enclave lúdico y cultural paralelo al río Manzanares con monumentos históricos e instalaciones de ocio y cultura al lado del cauce del río. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 Clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontrarás 4.000 oportunidades más.;919387042;Avenida del Manzanares;360000;2;Comillas, Madrid;Gilmar Madrid Río;Profesional;Comillas;Madrid;Carabanchel;-;4444;81;1;8;Sí;No;No;No;No;No;Sí;No;No
102264321;Piso en Avenida de la Emperatriz Isabel;Piso;No cobramos al comprador. Piso en venta en el barrio de San Isidro. a tan sólo 2 minutos a pie de Madrid Rio, a menos de 3 minutos a pie del metro Marqués de Vadillo (línea 5) perteneciente al distrito de Carabanchel.  La orientación del piso es noroeste y la calle tiene una entrada directa desde el metro y la M-30. La finca se localiza en la tercera planta del edificio construido en 1977, con ITE favorable y cuenta con ascensor.  La vivienda dispone de 77 metros cuadrados distribuidos en: -3 dormitorios -1 baño -salón  -cocina -terraza Otras características: Está para entrar a vivir, zona tranquila, amueblado a conveniencia, Sobre zona y transporte: El barrio de San Isidro, perteneciente al distrito de Carabanchel, situado en el sur de Madrid capital, limita al norte con el río Manzanares y el Puente de Toledo, con fácil acceso a la autopista M-30. El barrio cuenta con varias zonas verdes, de entre los más grandes el Parque de Madrid Río y el Parque de San Isidro, donde se celebra cada año la feria de San Isidro. La zona está rodeada de todo tipo de servicios, restaurantes, grandes supermercados y a tan solo 15 minutos del centro de Madrid en metro. 西亚房产为您服务‼️ 想买房 想贷款 想投资 或者想卖房的朋友们 欢迎大家联系我们讲叙您的需求 我们为您量身打造一个方案帮您实现✔ 添加我们微信号: Bafre2004 关注更多房源  ¿NECESITA HIPOTECA? No dude en contactar con nosotros:   FINANCIACIÓN HASTA EL 100 % Contamos con un departamento financiero propio ¿VENDE SU INMUEBLE? Con oficinas en Madrid y Pekín, BAFRE cuenta con una importante cartera de clientes e inversores internacionales, sobre todo asiáticos. Coordinamos viajes constantes de clientes chinos a Madrid, y les ayudamos en la gestión para obtener el Visado Oro de residencia. Más de doce años de experiencia en el sector. Valoramos gratuitamente su inmueble y ofrecemos servicios de asesoramiento jurídico y fiscal, además de disponer de un departamento postventa.  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. ).;919380325;Avenida de la Emperatriz Isabel;275000;3;San Isidro, Madrid;Bafre Inmobiliaria;Profesional;San Isidro;Madrid;Carabanchel;-;3571;77;1;3;Sí;No;No;Sí;No;No;Sí;No;No
101468939;Piso en Travesía Trifón Pedrero;Piso;VIVIENDA DE 4 DORMITORIOS Y 2 BAÑOS PRÓXIMA A MADRID RÍO. La vivienda cuenta con una excelente distribución, desde el recibidor accedemos al salón comedor independiente con una superficie aprox. de 24 m2, cocina amplia con acceso a una terraza. El pasillo nos da acceso a 3 dormitorios amplios y un cuarto de baño.  El cuarto dormitorio de esta vivienda era el dormitorio se servicio que actualmente que actualmente se puede mantener como tal o darle finalidad de despacho, dormitorio de visitas o ampliar espacio a la cocina.  La vivienda necesita actualización teniendo distintas posibilidades de mejora como integra cocina con recibidor y salón consiguiendo espacios mas diáfanos. La ultima ITE corresponde al 2021 siendo Favorable.  La finca cuenta con conserje y tiene resuelta la accesibilidad para personas con movilidad reducida. La calefacción es central. La finca dispone de plaza de garaje siendo en esta caso opcional al precio por un valor de 25.000 €. Sobre zona y transporte: Comillas es uno de los barrios que componen el distrito de Carabanchel, en el sur de Madrid. Sus límites son, por el norte, el río Manzanares, por el este, el puente de Praga y el paseo de Santa María de la Cabeza, en el extremo sur, la plaza de Fernández Ladreda (también conocida como la plaza Elíptica), y, por el oeste, la calle de Antonio Leyva. Entre la calle de Antonio Leyva y la calle de Baleares hay un pequeño parque que da nombre al barrio. La transitada calle de Antonio López, paralela al río Manzanares, cuenta con distintos comercios minoristas, bares y restaurantes. En el extremo noroeste se encuentra la glorieta del Marqués de Vadillo, situada enfrente del Puente de Toledo y en la que se ubican agradables bares que ponen terrazas en el buen tiempo. El barrio cuenta con una buena comunicación de autobuses y metro (Marqués de Vadillo y Plaza Elíptica), y está situado al lado de la autopista M-30 y de la autovía A-42 que une Madrid con Toledo. No cobramos al comprador. 西亚房产为您服务‼️ 想买房 想贷款 想投资 或者想卖房的朋友们 欢迎大家联系我们讲叙您的需求 我们为您量身打造一个方案帮您实现✔ 添加我们微信号: Bafre2004 关注更多房源  ¿NECESITA HIPOTECA? No dude en contactar con nosotros:   FINANCIACIÓN HASTA EL 100 % Contamos con un departamento financiero propio ¿VENDE SU INMUEBLE? Con oficinas en Madrid y Pekín, BAFRE cuenta con una importante cartera de clientes e inversores internacionales, sobre todo asiáticos. Coordinamos viajes constantes de clientes chinos a Madrid, y les ayudamos en la gestión para obtener el Visado Oro de residencia. Más de doce años de experiencia en el sector. Valoramos gratuitamente su inmueble y ofrecemos servicios de asesoramiento jurídico y fiscal, además de disponer de un departamento postventa.  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual.).;919380325;Travesía Trifón Pedrero;335000;4;Comillas, Madrid;Bafre Inmobiliaria;Profesional;Comillas;Madrid;Carabanchel;-;2279;147;2;2;Sí;No;No;No;Sí;No;No;No;No
102065964;Piso en Calle de Matilde Hernandez;Piso;Estupendo piso en venta en plena calle de Matilde Hernández. La vivienda se encuentra reformada y se localiza en la segunda planta del edificio. Se trata de un piso exterior con 89 m2 construidos de vivienda, orientación sur, muy luminoso, amueblado, recién pintado, calefacción individual, 70 m2 distribuidos en recibidor, salón comedor con mirador y persiana eléctrica con mando a distancia, cocina amueblada y equipada con electrodomésticos, dos baños Completos (uno en suite), dormitorio principal con persiana eléctrica con mando a distancia en mirador y armario empotrado y dormitorio secundario. Preinstalación de aire acondicionado. Dispone de dos ascensores con acceso directo a la plaza de garaje y trastero. Situado en urbanización cerrada con amplias zonas comunes que incluye Gimnasio, Piscina, Pista de Pádel, Parque Infantil con suelo técnico, zonas Chill Out con Sofás tipo Ratán, bancos corridos que se pueden reservar para fiestas privadas y bancos de madera para descansar.  Conserje, video portero y cámaras de seguridad repartidas por toda la urbanización.  El portal de acceso está decorado con mármol blanco, espejo mural y rampa de acceso sin barreras arquitectónicas. Vivienda accesible. Edificio en buen estado. Año 2008. Próxima ITE 2039. Sobre la zona y transporte: El piso está situado en la zona más moderna y vanguardista de Carabanchel, en pleno auge y transformación debido al gran número de galerías, talleres de artistas, salas de ensayo y academias de pintura, a los que se han sumado restaurantes y salas de exposiciones. Bien comunicado con líneas de metro 5 y 6 (Oporto), y autobuses 34, 35,  55, 81, 484, 486, N16, N26. Está a 20 minutos de la Puerta del Sol, cerca de Madrid Río, el Palacio  de Vistalegre, con muchos supermercados por la zona así como colegios,  centros de salud y todo tipo de comercios. Muy bien comunicada, farmacias, bares, restaurantes de comida española e internacional, gran variedad de tiendas, eventos en Vistalegre, etc.;919380325;Calle de Matilde Hernandez;349000;2;San Isidro, Madrid;Bafre Inmobiliaria;Profesional;San Isidro;Madrid;Carabanchel;-;3061;114;2;2;Sí;No;Sí;No;Sí;Sí;No;Sí;Sí
101631571;Piso en Calle del General Ricardos;Piso;Look and Find vende piso exterior en General Ricardos, entre los metros de Oporto y Urgel. Totalmente reformado con primeras calidades. Actualmente tiene dos dormitorios aunque disponía de tres originalmente, el tercer dormitorio se ha añadido al salón con lo que ahora éste suma 27 m2. La cocina es independiente y se entrega amueblada y equipada con electrodomésticos nuevos de primeras marcas. Gastos de comunidad de 100 € que incluyen calefacción central.  Finca con ascensor. Honorarios de la agencia INCLUIDOS en el precio de venta.;915546888;Calle del General Ricardos;265000;3;San Isidro, Madrid;Look & Find Ríos Rosas;Profesional;San Isidro;Madrid;Carabanchel;-;2477;107;1;1;Sí;No;No;Sí;No;No;Sí;No;No
97659976;Dúplex en Calle de Monseñor Oscar Romero;Duplex;"MB GESTION INMOBILIARIA VENDE ESTUPENDO PISO DÚPLEX DE 4 DORMITORIOS EN ZONA DE VISTA ALEGRE! Piso DÚPLEX DE 135m2 útiles distribuido del siguiente modo:  PLANTA BAJA: Hall recibidor de entrada, SALÓN COMEDOR INDEPENDIENTE, cocina amueblada con acceso a cuarto de caldera acristalado, 2 DORMITORIOS y cuarto de baño completo con bañera. PLANTA PRIMERA: 2 DORMITORIOS, cuarto de baño completo con bañera. La vivienda cuenta con muy buenos acabados como suelos de gres, AIRE ACONDICIONADO situado en el salón comedor, CALEFACCIÓN INDIVIDUAL DE GAS NATURAL, caldera mixta cambiada hace 5 años, pintura gotelét, CARPINTERÍA EXTERIOR DE ALUMINIO, moldura de escayola decorativa, ARMARIOS EMPOTRADOS, muy luminoso, VIDEO-PORTERO.. . La Urbanización dispone de zonas ajardinadas. La vivienda se encuentra situada en zona estratégica y cuenta con muchos servicios a sus alrededores, como paradas de autobuses conectados con (34- Cibeles), (35-Latina), (L-5 y L-6 Oporto), muy próximo a boca de metro Carabanchel, buena conexión con acceso a M-30, M-40, M-45 y R-5, COLEGIOS, INSTITUTOS, Centros de formación, Jardines de los Palacios de Vista Alegre, Gimnasio, Complejos deportivos, Conservatorios de Danza, Centro de Salud.. . NO DUDES EN VISITARLO! Precio: 244.900 Euros 91 607 61 01 - 699 90 61 89 MB GESTIÓN INMOBILIARIA Su satisfacción, nuestro compromiso"".""";919384517;Calle de Monseñor Oscar Romero;244900;4;Vista Alegre, Madrid;MB Gestión Inmobiliaria;Profesional;Vista Alegre;Madrid;Carabanchel;-;1560;157;2;-;No;No;No;No;No;No;Sí;No;Sí
101306199;Piso en Paseo de Santa María de la Cabeza;Piso;Clikalia pone a la venta este inmueble exterior de 106 m2 en reforma. Se sitúa en la 4ª planta con ascensor, en el Paseo Santa María de la Cabeza, en Comillas. La vivienda está siendo completamente reformada y se representa por imágenes hiperrealistas sujetas a posibles modificaciones al estar el proyecto en fase de ejecución y obra, al igual que el plano de la vivienda. Somos los propietarios de la vivienda ¡NO COBRAMOS COMISIÓN! El inmueble consta de 3 habitaciones con armarios empotrados, salón-comedor, cocina independiente equipada y 2 baños. La vivienda cuenta además con terraza, aire acondicionado y calefacción. Este inmueble tiene una ubicación excelente ya que se encuentra a pocos minutos a pie del Parque de Comillas y del Centro Comercial Plaza Río 2. A su vez, está próximo a paradas de autobús y metro como Marqués de Vadillo (L5). ¿Conoces nuestro paseo virtual? Visita y descubre el inmueble cómodamente y en exclusiva donde y cuando tú quieras gracias a la mejor tecnología del mercado. Conéctate desde casa acompañado en todo el proceso por uno de nuestros agentes o ven a nuestras oficinas para descubrir en primera persona los materiales y acabados. Contacta para ver los detalles de la reforma y agendar una visita. ¡Posibilidad de financiación hasta el 100%! ¿Te interesa esta vivienda? ¡Llámanos! Clikalia está a tu disposición de lunes a viernes de 9.00h a 20.00h.;919388464;Paseo de Santa María de la Cabeza;330000;3;Comillas, Madrid;Clikalia España;Profesional;Comillas;Madrid;Carabanchel;-;3235;102;2;4;Sí;No;No;Sí;No;No;Sí;No;No
101739621;Piso en Calle del Halcón;Piso;Reserva AHORA esta amplia y moderna vivienda de 104 m² y comienza a vivir en ella SIN necesidad de reforma.  Clikalia gestiona la venta de este piso en excelente estado, situado en Madrid. Cuenta con una superficie total de 104 m² distribuidos en 3 habitaciones, salón-comedor, cocina abierta equipada y 2 baños. Principales características:  - Exterior - Cocina amueblada - Armarios empotrados - Aire acondicionado por conductos Mitsubishi de alta eficiencia - Trastero - Accesibilidad para personas con movilidad reducida Situada en el conocido barrio de Vista Alegre, en la Calle Halcón, la vivienda cuenta con excelentes comunicaciones y está muy cerca de lugares de interés general el Hospital Central de la Defensa Gomez Ulla y el Parque Cerro Almodóvar. A su vez, está próximo a paradas de autobús y a la estación de metro Vista Alegre (L5). Agenda tu visita AHORA y descubre cómo es por dentro tu nueva casa.  Te acompañamos durante todo el proceso, haciéndonos cargo de los trámites necesarios, llevándote de la mano hasta la firma para que no tengas que preocuparte por absolutamente nada.  Y te financiamos hasta el 100% de la compra si lo necesitas. Pregúntanos sin compromiso de lunes a viernes de 9.00h a 20.00h.  Información relevante:  * Este inmueble no es propiedad del grupo CLIKALIA, la venta se hace por encargo del propietario en su comercialización.  * La aceptación de la oferta podrá tener un tiempo superior a las 72 horas por necesidades y particularidades de la propiedad.  *Las peculiaridades del contrato entre propiedad y vendedor podrán variar por voluntad de estos, partiendo de las condiciones y términos establecidos como si el piso fuere de CLIKALIA.  ¿Tienes una vivienda en propiedad y quieres venderla?  En Clikalia gestionamos la venta de tu casa. Asumimos el 100% de los trámites, sin costes adicionales y con sólo un único pago.;919388464;Calle del Halcón;225000;3;Vista Alegre, Madrid;Clikalia España;Profesional;Vista Alegre;Madrid;Carabanchel;-;2163;104;2;bj;No;No;No;No;No;No;Sí;Sí;No
101302727;Piso en Calle de Antonio Moreno, 16;Piso;***CASAVO VENDE VIVIENDA*** Casavo te ofrece esta vivienda RECIEN REFORMADA. La vivienda está completamente reformada, consta de tres dormitorios y un baño, un salón super amplio y un hall con un gran armario empotrado y maletero y un cocina con una terraza-tendedero, en el que hay una toma para poder conectar la lavadora ahí si se quiere. Es exterior a la Calle Rodriguez Vega y a un patio pero al ser la última planta es muy luminoso, por esto y por tener orientación Este-Oeste, lo que le da además de hacer de esta vivienda una vivienda muy luminosa, también bien ventilada y con corriente por su ventilación cruzada. Ahora mismo la calefacción es eléctrica a elección de los propietarios actuales, pero hay acometida en la vivienda con lo cual si se quiere poner calefacción por gas no habría problema. La cocina se vende con los electrodomésticos, Frigorífico e Inducción son nuevos. El suelo es laminado pero debajo se mantiene el parquet, lo que hace que la eficiencia energética sea mucho mayor debido a la madera que separa a la vivienda del forjado, también la pintura que se utilizó hace de aislante acústico. Las puertas están lacadas en blanco y el suelo en todo gris haciendo un contraste muy acertado. Paredes lisas. Las luces leds se conectan a WIFI se pueden conectar con Alexa o Siri, cambiar de colores... Hay una terraza comunitaria en la azotea, con unas preciosas vistas que puedes subir a tomar el aire o a leer, escuchar música. Las fotografías muestran el estado actual de la vivienda, así como dos propuestas de cómo quedaría la vivienda tras una reforma integral. En la primera se presenta un plano con cocina independiente y en la segundo una cocina abierta integrada en el salón. Abrantes es uno de los siete barrios que componen el distrito de Carabanchel. Su nombre coincide con la vía principal del barrio, la avenida de Abrantes. Limita, al norte, en la Avenida de Oporto, con el barrio de Opañel, al sur, en la avenida de los Poblados, con el barrio de Buenavista, al oeste, en el Camino Viejo de Leganés, con el barrio de Puerta Bonita, y al este, en la Carretera de Toledo, con el distrito de Usera.+ Está a una manzana del centro de instalaciones deportivas San Vicente de Paul y muy cerca del parque emperatriz María de Austria.  SOBRE NOSOTROS CASAVO es la plataforma tecnológica para vender y comprar casas de forma sencilla. Digitalizamos el proceso de compraventa y nos ocupamos de las partes más complejas, liberándote de trámites y papeleos. Así puedes centrarte en disfrutar del cambio. Llámanos ( ) y te ayudaremos a encontrar la casa de tus sueños. Busques lo que busques, puedes confiar en nosotros: nos tienes a tu lado. Entra en nuestra web y descubre todos nuestros pisos en venta:.;919386317;Calle de Antonio Moreno, 16;170000;3;Abrantes, Madrid;Casavo;Profesional;Abrantes;Madrid;Carabanchel;175000;2024;84;1;5;No;No;No;No;No;No;Sí;No;No
