Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
100975582;Piso en Calle de Almagro;Piso;"ALMAGRO: Calle Almagro, en uno de los MEJORES EDIFICIOS de esta emblemática calle, con PASO de CARRUAJES y 2 plazas de GARAJE dentro del mismo edificio con acceso directo. El piso de 320m2, está distribuido de la siguiente manera: Hall de entrada que distribuye en salón, de la zona de dormitorios. Salón en 2 ambientes con CHIMENEA TERRAZA corrida frontal. Dormitorio principal exterior, con vestidor y baño completo. Aseo de Cortesía. Comedor Cocina con electrodomésticos GAGGENAU, isla, comedor de diario. Dormitorio de servicio con baño. 4 dormitorios principales (a demás del dormitorio principal) para cama individual y mesa de estudio. 1 baño completo. El A/A es de frio con bomba de calor El piso cuenta con calefacción central. En Jaime Valcarce Consulting Inmobiliario, comercializamos esta propiedad en EXCLUSIVA. DISPONEMOS DE UNA GRAN OFERTA DE PROPIEDADES EN EXCLUSIVA, QUE NO ESTÁN PUBLICADAS EN PORTALES INMOBILIARIOS. CONSULTE NUESTRA PÁGINA WEB JAIME VALCARCE"".""";919384471;Calle de Almagro;2350000;6;Almagro, Madrid;Jaime Valcarce Consulting Inmobiliario;Profesional;Almagro;Madrid;Chamberí;2495000;7344;320;5;3;Sí;No;No;Sí;Sí;Sí;Sí;Sí;No
100986308;Piso en Hilarion Eslava;Piso;Fantástico inmueble en una de las calles mas demandadas de Gaztambide, finca representativa con amplio portal adaptado para minusválidos y portero físico. tres letras por planta, nada mas. Magnifico piso exterior reformado, con posibilidad de SEGREGACION que dispone de dos entradas, una de servicio, en la que cuenta con escalera y ascensor. Con posibilidad de hasta 4 plazas de garaje OPCIONALES a 25 m. del portal en la misma calle.  Accedemos a la vivienda por un amplio hall con ventana que proporciona luz natural a la entrada. A la derecha encontramos una pared acristalada que da paso al comedor en el que existe una despensa. Este comedor forma parte del espacio abierto a la cocina, es de Santos y con electrodomésticos Smeg. Todo panelado y oculto con gran gusto y selección.  Cuenta con isla en uno de los lados y dos ventanales de suelo a techo oscilobatientes. Tras la cocina pasamos a la zona de servicio que cuenta con un baño completo con plato de ducha, un cuarto de zona de aguas con fregadero y habitación de servicio con ventana a amplísimo patio de manzana.  De frente al hall encontramos la primera habitación, amplia que hace el uso de despacho actualmente. A través del pasillo a la izquierda tenemos un amplio baño completo con plato de ducha de 1.20 m y calentador de toallas. En frente a este, la segunda habitación con armario empotrado y ventana a patio. Seguido, el acceso a la habitación principal con amplísima ventana, baño en suite completo con plato de ducha de 1.20 m. La habitación cuenta con un amplio vestidor. Justo en frente por el pasillo contamos con 6 m de armarios empotrados en el pasillo que proporcionan una gran capacidad de almacenaje.  Ya de frente, el amplio salón exterior, luminoso con dos ambientes diferenciados y con gran ventanal a la calle. Además, tiene una terraza de unos 6 m2. Al final del pasillo, un baño completo con bañera y plato de ducha de 1.20 m. Tras el, dos amplias habitaciones, una al exterior y otra a patio que totalizan las 6 habitaciones del inmueble.  Toda la casa con suelos de madera, pantalla para proyector en el salón con instalación realizada, tomas de Ethernet en todas las habitaciones, Instalación eléctrica trifásica en todo el inmueble, ventanas de doble acristalamiento con rotura, puente térmico y calefacción central de uso individual. POSIBILIDAD DE PLAZA DE GARAJE (dispone de 4) en finca de en frente. Trastero de 5 m2 en sótano. La zona donde se encuentra el inmueble esta muy bien comunicada con todo tipo de transportes, salida a las principales vías de carreteras. Con parques y zonas verdes próximas como el parque del oste y rodeada de servicios y hospitales.  Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y Barcelona. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.;919385736;Hilarion Eslava;1399000;6;Gaztambide, Madrid;Walter Haus Madrid;Profesional;Gaztambide;Madrid;Chamberí;1499000;4858;288;4;4;Sí;No;No;Sí;Sí;No;No;Sí;No
92553830;Ático;Ático;PROMORA MADRID vende ático-dúplex de 335 metros en Almagro. Salón, 3 terrazas, una de ellas con piscina privada, 2 dormitorios, 3 baños, aseo de cortesía, sala de estar, cocina completamente amueblada y equipada y trastero. Posibilidad de plaza de garaje. Enlace Tour Virtual: Ubicada en el corazón de Almagro, este ático dúplex consta de una superficie de 335 m² construidos. Consta de 2 dormitorios dobles con amplios armarios, 2 baños completos, uno de ellos en suite, más uno de cortesía. Las habitaciones y el salón tienen grandes ventanales a la calle. La cocina está completamente equipada con electrodomésticos de alta gama. Las tres terrazas incorporadas en el inmueble cuentan con una piscina privada. El piso tiene un trastero y existe la posibilidad de obtener dos plazas de garaje robotizadas. El edificio se encuentra en una de las mejores zonas de la ciudad, con restaurantes de moda, edificios emblemáticos, museos, hoteles de cinco estrellas y salas de cine, instalaciones deportivas y varios comercios. Ubicación inmejorable. Todo a escasos pasos del Paseo de la Castellana. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS. Dicen sus vecinos que Chamberí es uno de los barrios más castizos de Madrid. Y nos les falta razón, aunque también es unos de los más elegantes. Un paseo por sus calles nos hace disfrutar de hermosísimos arbolados, de plazas acogedoras como la de Olavide y de edificios emblemáticos como el Hospital de Maudes, la Casa de las Flores o los palacetes del conocido “Triángulo de Oro”: un área donde se instaló a finales del siglo XIX y principios del XX gran parte de la aristocracia madrileña y que va desde el paseo de la Castellana hasta a las calles Génova, Almagro y Miguel Ángel. Hablamos de un barrio muy abierto donde se mezclan sin prejuicio restaurantes sofisticados (Sergi Arola Gastro, La Caña o Atelier Belge) con tabernas populares. Hablamos de un barrio poblado de galerías de arte (Astarté, Elvira González, Marlborough), de salas de exposiciones como la del Canal de Isabel II (construida dentro de una inmensa cisterna), o de museos como el de Sorolla o el de la antigua estación de Metro de Chamberí. Sin dejar de lado la diversión nocturna en clubes y locales. Por nombrar solo algunos: la mítica Sala Clamores, el Moma Fifty Six o el ya clásico Club Fortuny.;914310431;barrio Almagro;2300000;2;Almagro, Madrid;Promora Madrid;Profesional;Almagro;Madrid;Chamberí;-;6866;335;3;5;Sí;No;Sí;No;Sí;Sí;Sí;Sí;No
99366108;Piso en Calle del Monte Esquinza;Piso;DIZA consultores les presenta vivienda de obra nueva en edificio clásico.  En una de las calles con mas encanto del barrio Almagro, se encuentra este edificio clásico, que ha sido rehabilitado desde cero, cuidando y respetando sus elementos originales que le aportan identidad propia. En la 4ª planta, encontramos esta vivienda con una superficie de 127 metros cuadrados construidos, distribuidos en salón comedor con 2 balcones exteriores, cocina amueblada y equipada con electrodomésticos de primeras marcas y aseo de visitas. En la zona de descanso, cuenta con 2 dormitorios teniendo el master room baño en suite y walking closet. La propiedad esta acondicionada para aunar en un mismo espacio la practicidad, comodidad y el lujo. La domótica se encargará de que la seguridad, la climatización o la luz, siempre sea de nuestro agrado.  Su ubicación es también otro punto destacable, al encontrarse a escasos metros de las vias principales de la capital y del mejor ocio.  Convertimos Sueños en Hogares.;919382699;Calle del Monte Esquinza;1400000;2;Almagro, Madrid;DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid;Profesional;Almagro;Madrid;Chamberí;-;11024;127;2;4;Sí;No;No;No;No;No;Sí;Sí;No
99366109;Ático en Calle del Monte Esquinza;Ático;DIZA consultores les presenta ático de lujo en edificio clásico.  En una de las calles con mas encanto del barrio Almagro, se encuentra este edificio clásico, que ha sido rehabilitado desde cero, cuidando y respetando sus elementos originales que le aportan identidad propia. En la 5ºplanta, encontramos este ático de lujo, con una superficie de 216 metros cuadrados construidos y 39 metros de terraza exterior, salón comedor con acceso a terraza, cocina amueblada y equipada con electrodomésticos de primeras marcas y aseo de visitas. En la zona de descanso, cuenta con 3 dormitorios y 2 baños, teniendo el master room baño en suite y walking closet. La propiedad esta acondicionada para aunar en un mismo espacio la practicidad, comodidad y el lujo. La domótica se encargará de que la seguridad, la climatización o la luz, siempre sea de nuestro agrado.  Su ubicación es también otro punto destacable, al encontrarse a escasos metros de las vias principales de la capital y del mejor ocio.  Convertimos Sueños en Hogares.;919382699;Calle del Monte Esquinza;2700000;3;Almagro, Madrid;DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid;Profesional;Almagro;Madrid;Chamberí;-;13500;200;3;5;Sí;No;No;No;No;No;Sí;Sí;No
99366035;Dúplex en Calle del Monte Esquinza;Duplex;DIZA Consultores les presenta penthouse dúplex de lujo en edificio clásico.  En una de las calles con mas encanto del barrio Almagro, se encuentra este edificio clásico, que ha sido rehabilitado desde cero, cuidando y respetando sus elementos originales que le aportan identidad propia. En la 5ºplanta, encontramos este ático dúplex de lujo, con una superficie de 216 metros cuadrados construidos y 73 metros de terraza exterior, salón comedor con acceso a terraza, cocina amueblada y equipada con electrodomésticos de primeras marcas. En la zona de descanso, cuenta con 3 dormitorios y 2 baños, teniendo el master room baño en suite y walking closet. La propiedad esta acondicionada para aunar en un mismo espacio la practicidad, comodidad y el lujo. La domótica se encargará de que la seguridad, la climatización o la luz, siempre sea de nuestro agrado.  Su ubicación es también otro punto destacable, al encontrarse a escasos metros de las vías principales de la capital y del mejor ocio.  Convertimos Sueños en Hogares.;919382699;Calle del Monte Esquinza;2900000;3;Almagro, Madrid;DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid;Profesional;Almagro;Madrid;Chamberí;-;13426;216;2;6;Sí;No;No;No;No;No;Sí;Sí;No
101863713;Piso en Paseo de San Francisco de Sales;Piso;DIZA Consultores se complace en presentarles esta excepcional vivienda reformada con 5 habitaciones y una plaza de garaje, ofreciendo vistas impresionantes al skyline de Madrid. Ubicada en la planta 14 de un edificio en la codiciada zona de Chamberí, esta propiedad brinda una oportunidad única para aquellos que buscan un hogar elegante y exclusivo con panorámicas impresionantes de la ciudad. Con una superficie de 194 metros cuadrados, esta vivienda espaciosa se presenta como el lugar perfecto para disfrutar de comodidad y amplitud. Sus 5 habitaciones ofrecen espacio más que suficiente para acomodar a una familia numerosa o adaptar una de ellas a tus necesidades personales, como un espacio de trabajo o estudio. Además, cuenta con 3 baños que garantizan privacidad y comodidad tanto para los residentes como para sus invitados. Estos baños han sido diseñados con acabados modernos y elegantes, añadiendo un toque de sofisticación al conjunto. Una de las grandes ventajas de esta propiedad es la plaza de garaje incluida en el mismo edificio. Esto te brinda la comodidad y la tranquilidad de contar con un espacio seguro y protegido para estacionar tu vehículo, sin tener que preocuparte por buscar aparcamiento en la zona. Al ser totalmente exterior, esta vivienda goza de una luminosidad envidiable en todas sus estancias, creando un ambiente cálido y acogedor. No pierdas la oportunidad de adquirir esta vivienda excepcional con vistas impresionantes. Ponte en contacto con nosotros hoy mismo para obtener más información o concertar una visita. DIZA Consultores Inmobiliarios Agencia inmobiliaria de lujo en Madrid especializada en la compra, venta y alquiler de propiedades en las áreas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos sueños en hogares.;919382699;Paseo de San Francisco de Sales;1395000;5;Vallehermoso, Madrid;DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid;Profesional;Vallehermoso;Madrid;Chamberí;-;7191;194;3;14;Sí;No;No;Sí;Sí;Sí;Sí;No;Sí
98898224;Piso en Calle de José Abascal;Piso;Ana Bareño de GV | ALMAGRO comercializa el siguiente inmueble: Magnifico piso de 596 metros cuadrados en Almagro. Vivienda llena de luz natural con altos techos y numerosos balcones a dos calles ya que se encuentra situada en un edificio de esquina. Amplísimas estancias tanto en la zona de recibo como en el área privada y de servicio. Dispone de dos estupendas terrazas y dos plazas de garaje con acceso directo. Ideal para reformar, ya que su último uso ha sido de oficina, y convertir en una exclusiva propiedad elegante y bien comunicada del centro de Madrid. Distribución Vestíbulo. Hall de entrada. Salón enorme con chimenea. Comedor. Biblioteca. Cuarto de estar. Cuarto de dormir con dos vestidores y cuarto de baño en suite. Dos cuartos de dormir. Dos cuartos de dormir con vestidor. Dos cuartos de baño. Cuarto de plancha. Cocina. Despensa. Cuarto de lavado. Dos habitaciones de servicio. Cuarto de baño de servicio. Dos plazas de garaje. Trastero. Un porcentaje importante de nuestros inmuebles no aparecen publicados en idealista por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.;609577220;Calle de José Abascal;3500000;7;Almagro, Madrid;GV | Real Estate;Profesional;Almagro;Madrid;Chamberí;-;5872;596;4;7;Sí;No;No;Sí;Sí;Sí;Sí;Sí;No
99896431;Piso en Calle de José Abascal;Piso;Gilmar Consulting Inmobiliario presenta para sus clientes este maravilloso piso exterior a reformar en pleno barrio de Almagro. Cuenta con 412m2 según catastro divididos en hall de entrada, salón comedor dividido en tres estancias, cocina independiente con zona de servicio y lavadero, seis dormitorios y tres cuartos de baño. Infinitas posibilidades de reforma. Calefacción central incluida en los gastos de comunidad.  Aire acondicionado en splits.  Excelente finca señorial, muy cuidada, con conserje. Incluido en el precio tiene plaza de garaje amplísima y trastero. Es sin duda, una oportunidad única invertir en una de las mejores zonas del centro de Madrid. Almagro es un barrio elegante que destaca por sus mansiones señoriales, embajadas y galerías de arte. También es conocido por albergar la antigua casa del pintor Joaquín Sorolla, transformada en un museo en su honor. Andén Cero es una estación de metro en desuso que se ha restaurado con su aspecto de 1923 como museo del transporte. Cerca está la plaza de Chamberí, bordeada de bares y cafeterías con terraza. El panorama gastronómico incluye restaurantes exclusivos de cocina española, italiana y japonesa En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir. Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal.;919387058;Calle de José Abascal;2636000;6;Almagro, Madrid;Gilmar Chamberi - Argüelles;Profesional;Almagro;Madrid;Chamberí;-;6398;412;3;6;Sí;No;No;No;Sí;Sí;Sí;Sí;No
100443345;Piso en Calle de Santa Engracia;Piso;Gilmar Consulting Inmobiliario presenta para sus clientes este maravilloso piso en esquina con una reforma de lujo. Cuenta con 215m2 según catastro divididos en hall de entrada, salón comedor copletamente exterior con grandes ventanales apartando mucha luz a la vivienda, aseo de cortesía, dormitorio principal con baño en suite y vestidor en esquina, segundo dormitorio con baño en suite lleno de armarios empotrados con muchísimo espacio de almacenaje, tercer dormitorio con baño en suite como zona de servicio, cocina completamente equipada con elecvtrodomésticos de última generación. Calefacción por aerotermia, con un ahorro del sesenta por ciento.  La finca cuenta con calefacción central individualizada por si se prefiriese esta opción.  Aire acondicionado. Excelente finca señorial, muy cuidada, con conserje. Es sin duda, una oportunidad única de invertir en una de las mejores zonas del centro de Madrid. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir. Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal.;919387058;Calle de Santa Engracia;1590000;3;Trafalgar, Madrid;Gilmar Chamberi - Argüelles;Profesional;Trafalgar;Madrid;Chamberí;-;7395;215;3;5;Sí;No;No;No;No;No;Sí;Sí;No
