Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
96491475;Piso en Calle de Arturo Soria;Piso;Espectacular piso con vistas en Arturo Soria Engel & Völkers nos presenta éste fabuloso piso con espectáculares vistas de todo Madrid situado en la planta diecinueve en la torre de Arturo Soria. Accediendo a la vivienda, nos encontramos con un amplio recibidor, a la derecha de éste tenemos una gran cocina con office, un baño completo y una terraza- tendedero. Desde el hall de entrada también damos paso a un gran salón-comedor todo acristalado con unas impresionantes vistas de todo Madrid con la mejor orientación este-sur, desde el amanecer hasta el atardecer, la terraza ha sido cerrada ampliando todavía más si cabe el fabuloso salón convirtiéndola en una agradable sala de estar pudiéndose recuperar facilmente el uso de la terraza. Al lado izquierdo damos paso a la zona de descanso compuesta por cuatro amplios dormitorios todos ellos con luz natural y dos baños, el principal con baño en suite. La propiedad cuenta con vigilancia 24h una plaza de garaje más otra exterior y trastero. También tiene una gran piscina mancomunada y en los bajos del edificio tenemos un fabuloso gimnasio y un supermercado. Arturo Soria está considerado como uno de los distritos más selectos de Madrid. Estratégicamente ubicado muy cerca del centro urbano y próximo a todo tipo de servicios necesarios. Arturo Soria está considerado como uno de los enclaves más deseados por quienes quieren disfrutar de un entorno tranquilo sin renunciar a la cercanía del centro de una gran ciudad.  En esta zona se encuentran ubicadas varias embajadas y algunos de los mejores centros educativos nacionales e internacionales de Madrid, (Lycée Français, Numont, Ramon y Cajal, International School of Madrid, la escuela de negocios ESIC, etc. ). En sus alrededores podemos encontrar centros comerciales, centros deportivos, parques, jardines y excelentes restaurantes, garantizando una amplia oferta de servicios y de ocio de alta calidad. Todo ello a unos minutos del centro de Madrid, de sus ejes comerciales y de su inmejorable oferta cultural. Arturo Soria dispone también de unas perfectas comunicaciones al encontrarse cerca de las principales vías de circunvalación de Madrid (M30 y M40) y del aeropuerto (a través de la M11 y A2). Igualmente posee excelentes conexiones a la red de transporte público (líneas de metro y de autobús).;919386811;Calle de Arturo Soria;990000;4;Costillares, Madrid;Engel & Völkers Madrid;Profesional;Costillares;Madrid;Ciudad Lineal;1080000;4737;209;3;19;Sí;No;Sí;No;Sí;Sí;Sí;Sí;No
101892911;Dúplex;Duplex;Gilmar Consulting Inmobiliario le presenta esta magnifica vivienda unifamiliar Triplex en urbanización a 5 min de Arturo Soria. La vivienda cuenta en la primera planta con un recibidor, gran salón, cocina independiente y aseo de cortesía. En la segunda planta 3 dormitorios y un baño completo, y en la tercera planta una gran terraza, dormitorio principal y baño en suite. La vivienda esta reformada con altas calidades, estilo y diseño, gran luminosidad, para entrar a vivir, además tiene una plaza de garaje exterior y un trastero con gran capacidad, todo ello en una zona tranquila y privilegiada, rodeada de espacios verdes. El Barrio Ciudad Lineal a un paso de Arturo Soria es uno de los más prestigiosos y lujosos de Madrid con una estupenda localización próxima al centro urbano y a todos los servicios, por lo que es perfecto para disfrutar de la tranquilidad sin renunciar a la cercanía de una gran ciudad.  Este entorno privilegiado es sede de múltiples embajadas y algunos de los mejores centros educativos nacionales e internacionales tanto privados como públicos con una amplia oferta (Colegio Arturo Soria, Liceo Francés [Lycee Francais], Centro Bilingüe Concertado Nuestra Señora del Buen Consejo, Colegio San José del Parque (Maristas), Colegio Ramón y Cajal, Colegio Nuestra Señora de Santa María, Colegio Parque Conde Orgaz, International School of Madrid, Escuela de negocios ESIC, Colegio Stella Maris, Colegio Mater Inmaculada, Colegio Brains, etc. ).  La cobertura hospitalaria es un factor añadido de la zona (Nuestra Señora de América, la Clínica Belén, Hospital Ramón y Cajal, Hospital de la Paz y la M. D Anderson). En sus inmediaciones encontramos el recinto Ferial IFEMA, el Centro Comercial Arturo Soria Plaza, Palacio de Hielo, Hipercor, Corte Inglés, y Centro Comercial Gran Vía de Hortaleza. Además disponemos de centros deportivos como Club de natación, Club de tenis Chamartín, Clubs de golf como el “Golf Olivar de la Hinojosa” y preciosos parques de los cuales destacamos Juan Carlos I y Juan Pablo II. La cercanía al metro Arturo Soria-Línea 4 y a diversas líneas de autobús como 9, 11, 70, 122 o N3 nos garantizan un rápido acceso al centro. La incorporación a las autovías M30, M40, M11 y NII es inmediata. La proximidad al Aeropuerto Internacional Adolfo Suarez Madrid Barajas y a la Estación de Chamartín es un valor añadido. Descubra el privilegio de vivir en Madrid, con el lujo de un entorno tranquilo.;919382490;barrio Quintana;615000;4;Quintana, Madrid;Gilmar Avenida de América;Profesional;Quintana;Madrid;Ciudad Lineal;659000;3555;173;3;1;No;No;No;Sí;Sí;Sí;Sí;Sí;Sí
101835188;Piso en Calle de Joaquín Arroyo;Piso;DIZA Consultores les presenta luminoso piso en urbanización privada con jardín y piscina en la mejor zona de Arturo Soria. En la primera planta de un edificio familiar construido a finales del siglo XX, encontramos este luminoso piso de 145 metros cuadrados. Se distribuye en recibidor, salón-comedor con cocina totalmente equipada, dos dormitorios y dos baños, siendo todos en suite. Desde toda la vivienda se puede disfrutar de una agradable vista ajardinada. La cocina está completamente equipada con electrodomésticos de gama alta y se encuentra abierta y diferenciada de la zona de estar. Todas las estancias tienen ventana, por lo que se trata de una vivienda muy luminosa. El edificio tiene portero. La calefacción y aire acondicionado es por conductos de ventilación. La urbanización donde se encuentra la vivienda es muy tranquila y familiar. Consta únicamente de nueve vecinos que comparten un cuidado jardín, la piscina y el gimnasio.  En el precio se incluye una plaza de garaje y un trastero de acceso directo.  Situado en la zona residencial de Arturo Soria, se trata una de las zonas más exclusivas y tranquilas de Madrid, rodeado de embajadas, zonas verdes y colegios. Estaremos encantados de atenderle. DIZA Consultores Inmobiliarios Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.;919382699;Calle de Joaquín Arroyo;680000;2;Costillares, Madrid;DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid;Profesional;Costillares;Madrid;Ciudad Lineal;-;4690;145;2;1;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
100735966;Piso;Piso;Precioso piso reformado en su totalidad con magníficas calidades en urbanización cerrada, muy tranquila con 16 vecinos, piscina, pista de baloncesto y zonas ajardinadas. El piso que destaca por la amplitud de sus espacios abiertos y a la vez individualizados se distribuye de la siguiente manera: hall de entrada que da paso al salón-comedor con grandes ventanales que dan a la zona verde de la urbanización, zona de estar y despacho. La cocina es abierta al salón. En la zona de dormitorios, el dormitorio principal en suite y comunicado con el despacho, otros tres dormitorios muy amplios que comparten un cuarto de baño. A esta vivienda le pertenece una buhardilla reformada en el ático de la finca, actualmente es un despacho con cuarto de baño, pero puede ser un dormitorio o lo que se necesite, tiene una zona cerrada de trastero. El piso dispone de dos plazas de garaje.;919387625;barrio Atalaya;1175000;5;Atalaya, Madrid;SUMA Inmobiliaria;Profesional;Atalaya;Madrid;Ciudad Lineal;-;4352;270;3;3;Sí;No;Sí;No;Sí;Sí;Sí;Sí;Sí
100708598;Piso;Piso;Suma inmobiliaria le ofrece este exclusivo piso en la zona de Arturo soria, que de origen tenía 6 dormitorios, en urbanización cerrada con conserje, zonas ajardinadas y piscina. El piso se distribuye en hall de entrada que da paso al gran salón de casi 50 metros, cocina muy grande con zona de office, dormitorio de servicio con cuarto de baño y amplio tendedero. En la zona de los dormitorios, dos amplios dormitorios que comparten un cuarto de baño, dormitorio principal enorme ampliado con una habitación que ahora es un vestidor y salida a una pequeña terraza, con cuarto de baño. Unido pero con entrada independiente hay un apartamento que ahora está distribuido en despacho diáfano con cuarto de baño. Este apartamento es una finca registral independiente.;919387625;barrio Colina;1150000;5;Colina, Madrid;SUMA Inmobiliaria;Profesional;Colina;Madrid;Ciudad Lineal;-;4356;264;4;2;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
100646563;Dúplex;Duplex;Ático dúplex con terraza en planta superior, en Arturo Soria, la zona más residencial del Norte de Madrid. Su distribución en planta baja, cuenta con un amplio salón comedor, una cocina con terraza tendedero, amueblada, 2 amplios dormitorios uno de ellos con baño en suite, un cuarto de servicio con un baño y un aseo de cortesía. En la planta superior, a la que se accede por una cómoda escalera, encontramos 4 dormitorios y 2 baños con un amplio distribuidor. Armarios empotrados en todos los dormitorios. Calefacción por hilo radiante por gas natural. Aire acondicionado por conductos en toda la casa, con programador en cada planta. Edificio del año 1995, en urbanización cerrada, con cuidados jardines, piscina, parque infantil y pista de squash y baloncesto. La vivienda cuenta además con 3 amplias Plazas de garaje y un trastero. Portal de lujo. Exclusiva urbanización con pocos vecinos, muy bien ubicada y tranquila. Arturo Soria es una zona residencial del norte de Madrid que incluye todo tipo de servicios a su alcance. Excelente ubicación, con rápido acceso a la M30 y A1 y A 2 Autobuses en la puerta de distintas líneas: 9, 70, 29, y metro cercano línea 4, parada Pinar de Chamartín.;919386723;barrio Costillares;1145000;6;Costillares, Madrid;Gilmar Arturo Soria;Profesional;Costillares;Madrid;Ciudad Lineal;-;4321;265;4;3;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
100908137;Piso;Piso;Piso en Costillares de 149 m2, 4 dormitorios, 2 baños, cocina, terraza incorporada a la vivienda, exterior, muy luminoso, orientación norte y salón independiente CARACTERÍSTICAS: Plaza de garaje opcional  Calefacción: Central Contador Individual Ascensor Trastero Piscina Tenis-Padel Portero seguridad 24 h Estado de conservación: muy buena. Comercializa GILMAR CONSULTING INMOBILIARIO-ARTURO SORIA (Telf. ) la mejor opción para vender su vivienda. El Barrio de Arturo Soria es uno de los más prestigiosos y lujosos de Madrid con una estupenda localización próxima al centro urbano y a todos los servicios, por lo que es perfecto para disfrutar de la tranquilidad sin renunciar a la cercanía de una gran ciudad.  Este entorno privilegiado es sede de múltiples embajadas y algunos de los mejores centros educativos nacionales e internacionales tanto privados como públicos con una amplia oferta (Colegio Arturo Soria, Liceo Francés [Lycee Francais], Centro Bilingüe Concertado Nuestra Señora del Buen Consejo, Colegio San José del Parque (Maristas), Colegio Ramón y Cajal, Colegio Nuestra Señora de Santa María, Colegio Parque Conde Orgaz, International School of Madrid, Escuela de negocios ESIC, Colegio Stella Maris, Colegio Mater Inmaculada, Colegio Brains, etc. ).  La cobertura hospitalaria es un factor añadido de la zona (Nuestra Señora de América, la Clínica Belén, Hospital Ramón y Cajal, Hospital de la Paz y la M. D Anderson). En sus inmediaciones encontramos el recinto Ferial IFEMA, el Centro Comercial Arturo Soria Plaza, Palacio de Hielo, Hipercor, Corte Inglés, y Centro Comercial Gran Vía de Hortaleza. Además disponemos de centros deportivos como Club de natación, Club de tenis Chamartín, Clubs de golf como el “Golf Olivar de la Hinojosa” y preciosos parques de los cuales destacamos Juan Carlos I y Juan Pablo II. La cercanía al metro Arturo Soria-Línea 4 y a diversas líneas de autobús como 9, 11, 70, 122 o N3 nos garantizan un rápido acceso al centro. La incorporación a las autovías M30, M40, M11 y NII es inmediata. La proximidad al Aeropuerto Internacional Adolfo Suarez Madrid Barajas y a la Estación de Chamartín es un valor añadido. Una oportunidad única para vivir en uno de los enclaves residenciales más privilegiados de Madrid.;919386723;barrio Costillares;695000;4;Costillares, Madrid;Gilmar Arturo Soria;Profesional;Costillares;Madrid;Ciudad Lineal;-;4664;149;2;23;Sí;No;Sí;Sí;Sí;No;No;Sí;No
100883016;Piso;Piso;Piso en Pinar de Chamartín de 293 m2, 6 dormitorios, 4 baños, cocina, terraza de 17,00 metros, exterior, muy luminoso, orientación noroeste, 2 plazas de garaje y salón independiente CARACTERÍSTICAS: Calefacción: Central Contador Individual Ascensor Piscina Tendedero Portero conserje Estado de conservación: media reforma Comercializa GILMAR CONSULTING INMOBILIARIO-ARTURO SORIA (Telf. ) la mejor opción para vender su vivienda. El Barrio de Arturo Soria es uno de los más prestigiosos y lujosos de Madrid con una estupenda localización próxima al centro urbano y a todos los servicios, por lo que es perfecto para disfrutar de la tranquilidad sin renunciar a la cercanía de una gran ciudad.  Este entorno privilegiado es sede de múltiples embajadas y algunos de los mejores centros educativos nacionales e internacionales tanto privados como públicos con una amplia oferta (Colegio Arturo Soria, Liceo Francés [Lycee Francais], Centro Bilingüe Concertado Nuestra Señora del Buen Consejo, Colegio San José del Parque (Maristas), Colegio Ramón y Cajal, Colegio Nuestra Señora de Santa María, Colegio Parque Conde Orgaz, International School of Madrid, Escuela de negocios ESIC, Colegio Stella Maris, Colegio Mater Inmaculada, Colegio Brains, etc. ).  La cobertura hospitalaria es un factor añadido de la zona (Nuestra Señora de América, la Clínica Belén, Hospital Ramón y Cajal, Hospital de la Paz y la M. D Anderson). En sus inmediaciones encontramos el recinto Ferial IFEMA, el Centro Comercial Arturo Soria Plaza, Palacio de Hielo, Hipercor, Corte Inglés, y Centro Comercial Gran Vía de Hortaleza. Además disponemos de centros deportivos como Club de natación, Club de tenis Chamartín, Clubs de golf como el “Golf Olivar de la Hinojosa” y preciosos parques de los cuales destacamos Juan Carlos I y Juan Pablo II. La cercanía al metro Arturo Soria-Línea 4 y a diversas líneas de autobús como 9, 11, 70, 122 o N3 nos garantizan un rápido acceso al centro. La incorporación a las autovías M30, M40, M11 y NII es inmediata. La proximidad al Aeropuerto Internacional Adolfo Suarez Madrid Barajas y a la Estación de Chamartín es un valor añadido. Una oportunidad única para vivir en uno de los enclaves residenciales más privilegiados de Madrid.;919386723;barrio Costillares;990000;6;Costillares, Madrid;Gilmar Arturo Soria;Profesional;Costillares;Madrid;Ciudad Lineal;-;3379;293;4;1;Sí;No;Sí;Sí;Sí;Sí;No;Sí;No
102142295;Dúplex;Duplex;Magnifico piso en San Pascual de 86 m2, de 2 dormitorios, 2 baños. Vivienda exterior muy luminoso, orientación noroeste. Finca con ascensor.  San Pascual es un espléndido barrio perteneciente al distrito de Ciudad Lineal. Este distrito, en su tiempo límite de la villa, fue a partir de 1.892, diseño y obra de don Arturo Soria, constituyendo una prolongación hacia los entonces municipios de Chamartín de la Rosa, Canillas y Hortaleza. Su vía principal es la Avenida de Badajoz, zona residencial muy bien comunicada (Metro Barrio de la Concepción, líneas de autobuses 11, 21, 53, 70, 114 y 122, rápido y fácil acceso a la M-30 y a la A-2, a 15 minutos del aeropuerto) y rodeada de todo tipo de servicios (Mercado de San Pascual, Centro de Salud Canal de Panamá, Colegio Montpellier, Colegio Stella Maris, Colegio Mater Inmaculata, Parque Baterías. ). Sin lugar a dudas, un magnífico lugar de la ciudad de Madrid donde afincarse. Comercializa Consulting Inmobiliario Gilmar.;919382490;barrio San Pascual;299000;2;San Pascual, Madrid;Gilmar Avenida de América;Profesional;San Pascual;Madrid;Ciudad Lineal;-;3477;86;2;3;Sí;No;No;No;No;No;Sí;No;No
99991583;Dúplex en Calle de Torrelaguna;Duplex;Estupendo Ático Dúplex con una superficie catastral total de 119 m², repartidos en las dos últimas plantas del edificio, siendo la superior la que cuenta con una espectacular terraza de unos 80 metros cuadrados.  La vivienda totalmente reformada, consta de tres dormitorios (dos dobles y uno individual, todos ellos con armarios empotrados), una espectacular cocina totalmente equipada (con zona de office y buena capacidad de almacenamiento), dos completos y modernos cuartos de baño y un acogedor salón-comedor con acceso a soleada terraza exterior.  La vivienda resulta tranquila y acogedora, tremendamente luminosa, debido a recibir luz desde la salida del sol hasta el ocaso, en todo el perímetro del piso, además todas las estancias cuentan con ventilación cruzada.  También destacar las impresionantes panorámicas que se observan (orientación sureste en planta baja), y en especial desde la terraza superior donde la orientación suroeste permiten disfrutar de los anocheceres del skyline de Madrid.  Toda la vivienda cuenta con un estilo decorativo actual, equipada con aire acondicionado, servicios centrales (calefacción central y agua caliente), cerramientos dobles (climalite), tarima flotante y puerta blindada. En la magnífica terraza superior se ubica un complementario salón-chill out, disfrutable en cualquier época del año, eficazmente climatizado, dotado de cerramientos abatibles y móviles para adaptarlo a diversos usos (cuenta con cocina, cuidada jardinería, ducha, barbacoa, iluminación nocturna.. . ).  El complejo residencial del que forma parte, cuenta con piscina y zona de vestuarios a estrenar, estando ya en plena ejecución la absoluta remodelación de todo el edificio y de todas sus zonas comunes. La ubicación, cercana a la Avenida de Badajoz, con muy buenas comunicaciones en las proximidades: por metro (Barrio de la Concepción), diversas líneas de autobús, parada de taxis justo al lado y rápida conexión con la M-30 y la A-2 (aeropuerto). En las inmediaciones dispone de toda clase de servicios tanto asistenciales, como educacionales, comerciales, culturales y de deporte-ocio. NO COBRAMOS COMISIÓN DE AGENCIA A NUESTROS CLIENTES COMPRADORES.;913559999;Calle de Torrelaguna;800000;3;San Pascual, Madrid;Soluciones Tengacasa;Profesional;San Pascual;Madrid;Ciudad Lineal;-;6667;120;2;14;Sí;No;Sí;Sí;No;No;Sí;No;Sí
