Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
94481996;Casa independiente en Calle Valle de Laciana;Chalet;Gilmar Mirasierra & Puerta de Hierro, les ofrece magnífico Chalet Independiente en Mirasierra de 700 m2 construidos sobre parcela de 726 m2 con jardín de 500 m2 y piscina. La vivienda esta repartida en 3 alturas. Cuenta con 5 dormitorios, 4 baños, gran salón-comedor, extraordinarias vistas. DISTRIBUCIÓN: PLANTA PRINCIPAL: Salón, comedor, despacho, cocina y aseo de cortesía PRIMERA PLANTA: Tres dormitorios en suite y despacho SEMI–SOTANO: Apartamento con acceso independiente. Gimnasio. Dos dormitorios y dos baños. Garaje para tres coches en interior y tres en exterior.  * Calefacción mediante gas natural * Suelos de parquet.  CARACTERÍSTICAS: Carpintería interior: madera lacada Carpintería exterior: climalit Calefacción: individual gas natural Aire acondicionado Alarma Piscina.;919387242;Calle Valle de Laciana;2395000;4;Mirasierra, Madrid;Gilmar Mirasierra - Puerta de Hierro;Profesional;Mirasierra;Madrid;Fuencarral;-;3421;700;4;-;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
97037975;Casa independiente en Calle Valle de Laciana, 7;Chalet;DIZA Consultores les presenta chalet independiente de lujo en una de las mejores ubicaciones de Mirasierra. Con sus amplios 700 m2 construidos y una parcela de 726 m2, esta lujosa propiedad ofrece un estilo de vida exclusivo en uno de los barrios más prestigiosos de la ciudad. Con un jardín de 500 m2 exquisitamente diseñado y una piscina privada, este chalet es un verdadero oasis urbano. La distribución de la vivienda se destaca por sus tres alturas, proporcionando un espacio cómodo y funcional para toda la familia. En la planta principal, encontramos un elegante salón, un comedor espacioso, un despacho perfecto para trabajar desde casa, una cocina moderna y un aseo de cortesía. Estos espacios se complementan perfectamente, creando un ambiente acogedor y sofisticado para recibir a tus invitados. En la primera planta, se ubican tres dormitorios en suite, cada uno con su propio baño privado, lo que garantiza privacidad y comodidad para todos los miembros de la familia. Además, cuenta con un despacho adicional, ideal para convertirlo en una sala de estudio o sala de juegos según tus necesidades. El semi-sótano ofrece una agradable sorpresa con un apartamento independiente que cuenta con su propio acceso privado, brindando la posibilidad de alojar a invitados o incluso generar ingresos adicionales mediante el alquiler. Además, encontrarás un gimnasio totalmente equipado para mantener un estilo de vida saludable, dos dormitorios y dos baños adicionales. El garaje, tanto para tres coches en el interior como para tres en el exterior, ofrece una gran comodidad para tus vehículos. Esta impresionante propiedad también cuenta con características de alta calidad que la distinguen. Disfrutarás de calefacción mediante gas natural, suelos de parquet que añaden elegancia y calidez, carpintería interior de madera lacada y carpintería exterior de climalit que garantiza un excelente aislamiento térmico y acústico. Además, se ha instalado aire acondicionado y un sistema de alarma para brindar un ambiente confortable y seguro en todo momento. Por último, pero no menos importante, el chalet ofrece unas vistas extraordinarias que te dejarán sin aliento. Podrás disfrutar de panorámicas impresionantes mientras te relajas en tu propio hogar. No pierdas la oportunidad de adquirir este chalet independiente en Mirasierra, una propiedad que combina lujo, comodidad y exclusividad en una ubicación privilegiada. ¡Contáctanos hoy mismo para organizar una visita y descubrir el hogar de tus sueños! Convertimos Sueños en Hogares.;919382699;Calle Valle de Laciana, 7;2395000;5;Mirasierra, Madrid;DIZA Consultores Inmobiliaria - Propiedades de lujo en Madrid;Profesional;Mirasierra;Madrid;Fuencarral;-;3067;781;5;-;No;No;Sí;No;Sí;Sí;Sí;Sí;Sí
101895650;Casa independiente en Calle Siguero;Chalet;Beatriz Mateo-Sagasta de GV | PUERTA DE HIERRO comercializa la siguiente propiedad inmobiliaria: En la zona de Puerta de Hierro se levanta una construcción de carácter moderno y gran sobriedad. Situada en una de las calles mas tranquilas, esta propiedad se distingue por su calidad de construcción. Amplios espacios cuidados con mucho detalle. Planta Baja: Hall de entrada con acceso a gran salón, comedor y zona de estar. Cocina. Dormitorio principal en suite con cuarto de baño con jacuzzi y ducha. Dormitorio. Sala de juntas y sala de estar. Completa la planta un cuarto de baño. Planta Primera: Gran dormitorio en suite con vestidor y cuarto de baño incorporado. Salida a gran terraza. Dormitorio con cuarto de baño. Planta Semi-sótano: Garaje para 4 coches, 2 más en exterior cubierto. Lavandería, dormitorio de servicio con cuarto de baño. Gimnasio. Discoteca. Dormitorio de invitados en suite con cuarto de baño. Otros dos dormitorios más comparten un baño. Paredes pintura lisa. Suelos tarima blanca y mármol. Calefacción suelo radiante. Aire acondicionado integrado. Garaje para un total de 6 vehículos. Piscina. Cenador. Un porcentaje importante de nuestros inmuebles no aparecen publicados en idealista por expreso deseo de los propietarios. Para mas información sobre más propiedades en esta zona entre en nuestra página web.;917365385;Calle Siguero;2850000;6;Fuentelarreina, Madrid;GV | Real Estate;Profesional;Fuentelarreina;Madrid;Fuencarral;-;2850;1000;7;-;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
101874123;Casa independiente en Calle Collado del Viento;Chalet;Alejandra Lopez Izquierdo de GV | MIRASIERRA comercializa la siguiente vivienda: Magnifica casa independiente ubicada en la zona alta de Mirasierra, regalando unas vistas maravillosas. Dicha vivienda ha sido construida por sus propietarios, los cuales han dado buena muestra de calidad y buenos acabados. Su interior cuenta con una gran luminosidad y una muy buena distribución muy bien pensada para cada una de sus estancias.  DISTRIBUCION: Planta PRINCIPAL: Hall de entrada, distribuidor, 2 salones independientes, comedor. Cocina con dos amplias zonas de office, cuarto de baño invitados. Terraza con acceso directo a jardín. Planta PRIMERA: Hall de entrada, 5 cuarto de dormir en suite. El cuarto principal cuenta con un despacho. Planta SEGUNDA: Amplia Buhardilla con tres salones, dos dormitorios con baño. Terraza  Planta SEMISOTANO: Garaje para 3/4 coches. 2 apartamentos independientes con 2 dormitorios y 2 cocinas. Un porcentaje importante de nuestros inmuebles no aparecen publicados en idealista por expreso deseo de los propietarios. Para mas información sobre más propiedades en esta zona entre en nuestra página web.;657644770;Calle Collado del Viento;2550000;7;Mirasierra, Madrid;GV | Real Estate;Profesional;Mirasierra;Madrid;Fuencarral;-;2161;1180;9;-;No;No;Sí;Sí;Sí;Sí;No;Sí;Sí
101872344;Chalet adosado en Nuria;Chalet;Alejandra Lopez Izquierdo de GV | MIRASIERRA comercializa la siguiente vivienda: Fantástico adosado que hace esquina, situado en la mejor zona de Mirasierra. Cuenta con una parcela de 367 metros cuadrados, y una construcción de 443 metros cuadrados, en 4 plantas. Destacar sus espléndidas vistas, son excepcionales ya que se puede ver toda la sierra norte de Madrid. Magnifico jardín, tiene césped artificial, pero totalmente rodeado de plantas, flores y arboles y una gran piscina de agua salada renovada este mismo año. Instalación de riego automático. Orientación norte sur. Muy bien comunicado, con autobuses (133, 134, 178), Metro de Mirasierra (línea 9) y de la estación de cercanías Paco de Lucia (C3, C7 y C8). Distribución: Planta baja: salón y comedor muy grande, con un un armario grande que era un cuarto antes. Una habitación de servicio y cuarto de baño de servicio. Una barra de bar bastante grande y dos trasteros. Planta principal: jardín de entrada, un hall, aseo invitados, ropero, salón y comedor, cocina, el salón es grande y muy luminoso Planta 1: una habitación en suite, 3 habitaciones y baño compartido, acceso a terraza desde las habitaciones)  Planta 2: un salón mas pequeño con acceso a terraza, una habitación con acceso a terraza, un baño, despensa, tendedero en la terraza, cuarto de lavado Jardín: porche y jardín con piscina de agua salada (reformado hace poco) el agua no hay que cambiarlo hasta dentro de 3 años. Un porcentaje importante de nuestros inmuebles no aparecen publicados en idealista por expreso deseo de los propietarios. Para mas información sobre más propiedades en esta zona entre en nuestra página web.;657644770;Nuria;1560000;6;Mirasierra, Madrid;GV | Real Estate;Profesional;Mirasierra;Madrid;Fuencarral;-;3521;443;5;-;No;No;Sí;Sí;Sí;Sí;No;Sí;Sí
100720361;Chalet pareado en Collado Del Piornal;Chalet;Gilmar Mirasierra & Puerta de Hierro presenta este fantástico chalé pareado completamente reformado recientemente, inundado de luz natural, mucha privacidad y enclavado en una parcela de más de trescientos cincuenta metros cuadrados con piscina, zona de barbacoa y jardín con vegetación consolidada. Próximo a colegios, zonas comerciales y de ocio. Presentamos una casa con siete dormitorios, dos salones, gran cocina con office, cinco baños completos, un aseo de cortesía, cuarto de lavado, garaje con toma eléctrica, gimnasio y trastero, jardín con piscina, barbacoa y vegetación consolidada. Esta vivienda se reformo completamente hace tres años. Se accede a un recibidor con gabanero, que da paso a mano derecha al salón comedor, de gran tamaño, con salida al jardín y grandes ventanales que inundan la estancia de luz y vistas al jardín, a mano izquierda tenemos la cocina con península y office, además tiene acceso al distribuidor que da paso al salón y al aseo de cortesía. De vuelta en el recibidor encontramos la escalera que sube al primer piso y la que baja al semisótano, de frente encontramos el distribuidor antes mencionado con acceso al aseo de cortesía, al office y al salón. Toda esta planta esta conectada gracias a los espacios abiertos. En el primer piso tenemos cuatro dormitorios, el principal con baño en suite y multitud de armarios, dos dormitorios dobles que comparten un baño y un dormitorios individual que se usa como despacho. En la buhardilla, tenemos dos dormitorios dobles, uno de ellos con vestidor, que comparten un baño y un salón de juegos. En el semisótano tenemos un dormitorio con baño en suite que se usa para los invitados, el dormitorio y el baño de servicio, un cuarto de lavado, y el acceso al garaje con toma para cargar coche eléctrico, una parte dedicada a gimnasio y un trastero de buen tamaño. En el exterior tenemos a la salida del salón un agradable porche con zona de comedor y estar, una encimera de trabajo para dar servicio a la barbacoa, barbacoa, jardín y piscina.  Toda la vivienda goza de gran cantidad de luz natural, incluso la planta semisótano. Mucha privacidad.  En la rampa se puede aparcar un coche. Situación estratégica en una calle muy tranquila pero a un paso de la avenida del Ventisquero de la Condesa. Excelentes comunicaciones bien hacia el exterior de Madrid por carretera, como para la movilidad interna vía Metro o Bus con paradas casi en la puerta. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde 1984. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir... Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontraras 4.000 oportunidades más. Gilmar dispone de excelentes oportunidades de inversión en rentabilidad. Consúltanos.;919387242;COLLADO DEL PIORNAL;1750000;8;Mirasierra, Madrid;Gilmar Mirasierra - Puerta de Hierro;Profesional;Mirasierra;Madrid;Fuencarral;-;4743;369;6;-;No;No;Sí;No;Sí;Sí;Sí;Sí;Sí
101920762;Piso en Pedro Rico, 27;Piso;¿Estás buscando un piso de ensueño en Madrid? No busques más, porque tenemos lo que necesitas. Te presentamos este espectacular piso en venta en la urbanización privada de lujo, situado en el barrio de la Paz, uno de los más tranquilos y verdes de la ciudad. Este piso tiene todo lo que puedes desear: un salón comedor amplio y luminoso con salida a una terraza con vistas, una cocina equipada con terraza perimetral dando a dos de las habitaciones, cuatro habitaciones con armarios empotrados, tres baños completos (uno de ellos en suite) y un despacho en amplia estancia, dispone también de una plaza de garaje opcional en 60.000 €. Además, podrás disfrutar de las zonas comunes de la urbanización, que incluyen piscina, jardines y vigilancia 24 horas. Y todo ello, con una excelente comunicación por carretera, metro, autobús y cercanías. No dejes escapar esta oportunidad única y ven a visitarlo. ¡Te enamorarás! El Barrio de la Paz es una zona tranquila y verde de Madrid, capital de España. Forma parte del distrito de Fuencarral-El Pardo y tiene unos 40.000 habitantes. Sus límites son el barrio del Pilar al oeste, Valverde al este, Mirasierra al norte y el Hospital La Paz al sur. Está atravesado por la Avenida de la Ilustración, que conecta con la M-30 y el Paseo de la Castellana.;919387242;PEDRO RICO, 27;680000;5;La Paz, Madrid;Gilmar Mirasierra - Puerta de Hierro;Profesional;La Paz;Madrid;Fuencarral;-;2969;229;3;10;Sí;No;Sí;Sí;No;No;Sí;No;Sí
100244305;Piso en Calle de Marbella;Piso;Piso en venta en Mirasierra. EXCELENTE OPORTUNIDAD DE PISO CON PLAZA DE GARAJE Y TRASTERO.   EN URBANIZACIÓN CERRADA CON AMPLIAS ZONAS AJARDINADAS. Te presentamos éste fantástico piso de grandes posibilidades.   Ubicado en pleno corazón de Mirasierra. El piso se encuentra en una urbanización con vigilancia, en una cuarta planta. Cuenta con una superficie, según catastro de 180m2, de los cuales 147m2 corresponden a la vivienda.   La zona de día se distribuye con un salón-comedor diáfano, con balcón y vistas al jardín. Amplia cocina con Office con zona de tendedero. La zona de noche, está actualmente distritubuída en 4 dormitorios con armarios empotrados y 2 baños. El dormitorio principal en suite. La  vivienda cuenta con dos piscinas, gran jardín, pista de baloncesto, una sala común para reuniones y vigilancia 24h.   A 500 m del metro Paco de Lucía, cerca de colegios, supermercados, zona comercial  e iglesias, en una de las mejores zonas de Madrid ¿Te imaginas vivir aquí?    .;919383565;Calle de Marbella;790000;4;Mirasierra, Madrid;aProperties Real Estate Madrid;Profesional;Mirasierra;Madrid;Fuencarral;-;4389;180;2;4;Sí;No;Sí;No;Sí;Sí;No;Sí;Sí
91180686;Chalet adosado en Calle Cerro de Valdemartín;Chalet;Estupendo chalet adosado de esquina con una superficie construida de 758 m2 en parcela de 500 m2. La vivienda cuenta con un cómodo ASCENSOR que comunica todas las plantas, calefacción por suelo radiante mediante gas natural, aire acondicionado con bomba de frío /calor, caja fuerte, alarma, sistema de aspiración centralizado, sauna y gimnasio. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA. DISTRIBUCION  Planta Baja   - Salón-comedor   - Hall de entrada  - Aseo   - Cocina con electrodomésticos y office  - Jardín con piscina privada  Planta Primera  - 3 Dormitorios en suite  - Dormitorio principal en suite mas vestidor Planta Buhardilla:  - Dormitorio con terraza  - 1 Baño  Planta Semi sótano:  - Gimnasio  - Sauna  - Baño  - Garaje para 4 coches  - 1 Dormitorio de servicio con baño propio * Trastero * Alarma * Solarium * Ascensor * Riego automático.;912660850;Calle Cerro de Valdemartín;1990000;6;Mirasierra, Madrid;De Salas Mirasierra - Puerta de Hierro;Profesional;Mirasierra;Madrid;Fuencarral;-;2625;758;7;-;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
100124668;Chalet adosado;Chalet;GILMAR MIRASIERRA & PUERTA DE HIERRO presenta amplio CHALET ADOSADO, de 385m² en una parcela de 250 m² ajardinada con riego y con piscina. Cuenta con 5 dormitorios, 5 baños y aseo de cortesía. DISTRIBUCIÓN: Planta entrada: El hall de entrada abre a un amplio y luminoso salón orientado al suroeste, con grandes ventanales y chimenea. Tiene salida a al porche que a su vez baja al jardín y piscina. La cocina tiene muebles altos y bajos con zona de office y puerta a la zona de comedor. La cocina tiene salida al patio donde disfrutar de desayunos al sol de la mañana, o frescas cenas en las noches de verano. Esta planta tiene aseo de cortesía y el acceso directo al garaje que está en la misma planta. Primera planta: 3 amplios dormitorios todos con baño en suite: Gran suite principal con zona de estar y zona de descanso, y baño con mucha luz natural. Los otros 2 amplios dormitorios tienen cada uno su baño en suite y armarios empotrados. Segunda planta: 2 dormitorios cada uno con baño en suite y sala de estar. Los dormitorios son ambos muy amplios con armarios empotrados. La sala de estar puede ser zona de juegos o estudio. La ajardinada parcela tiene césped artificial de bajo mantenimiento y piscina con manta. Desde el jardín se accede a un agradable salón de estar o bodega - fresquito en los días de verano. El chalet tiene calefacción y agua caliente por gas natural, así como aire acondicionado mediante splits. Los suelos son de mármol y parquet. Tiene carpintería exterior de aluminio con dobles ventanas y la carpintería interior de madera. Garaje para 2 coches y trastero. Situado en la mejor zona de Peñagrande, residencial, silenciosa y tranquila con todo lo necesario a un paso. Es un chalet amplio y espacioso para disfrutar con su familia!;919387242;barrio Peñagrande;997000;5;Peñagrande, Madrid;Gilmar Mirasierra - Puerta de Hierro;Profesional;Peñagrande;Madrid;Fuencarral;-;2590;385;6;-;No;No;Sí;Sí;Sí;Sí;Sí;No;Sí
99501315;Dúplex;Duplex;Los Altos de Puerta de Hierro es un exclusivo complejo residencial de 5 viviendas de alto standing situado en las inmediaciones de Puerta de Hierro, un enclave privilegiado por su ubicación, entorno tranquilo y fácil acceso a las principales arterias de Madrid. La promoción cuenta con un diseño moderno y vanguardista, que combina estética con funcionalidad, cuidando la convivencia entre el interior de las viviendas, que cuentan con estancias de gran amplitud y abundante luz natural, y amplias zonas exteriores. Viviendas de calidad y alta eficiencia energética, con domótica integrada, que ponen la tecnología y el diseño al servicio de la habitabilidad. La promoción cuenta con dos edificios. Un edificio de tres viviendas, donde cada vivienda se distribuye en una única planta con una superficie construida aproximada de 280 m2, y otro edificio de dos viviendas, bajo dúplex y ático dúplex, cada una con superficie construida aproximada de 220 m2. Las viviendas disponen de 5 o 6 habitaciones, con al menos dos habitaciones en suite, una plaza de garaje y la posibilidad de adquirir plazas de garaje adicionales. Todas las viviendas de la promoción cuentan con amplias zonas exteriores de uso privado (desde 95m2 hasta 260m2), bien sea porche solado y zona ajardinada (viviendas de planta baja, planta primera y bajo dúplex), o bien solárium en planta cubierta (viviendas ático y ático dúplex). Por la ubicación y características de la parcela, las viviendas cuentan con impresionantes vistas (campo de Golf de Puerta de Hierro, Sierra de Guadarrama, las 4 Torres de la Castellana, etc. ).  Situada entre Puerta de Hierro y Mirasierra, la promoción cuenta con fácil acceso a las principales vías de circunvalación (M-30 y M-40). A 5 minutos de las 4 Torres de la Castellana, hospitales (La Paz, Ramón y Cajal, Ruber Internacional, Clínica Cemtro), diversidad de colegios, variedad de supermercados y grandes superficies (Sánchez Romero, Mercadona). A 15 minutos del Aeropuerto Adolfo Suárez Madrid- Barajas y, por el túnel de Sor Ángela de la Cruz, al Paseo de la Castellana, zona de Bernabéu – Cuzco. Andando a 15 minutos de las paradas de metro de Avenida de la Ilustración y de Peñagrande.;919387242;barrio Peñagrande;1180000;5;Peñagrande, Madrid;Gilmar Mirasierra - Puerta de Hierro;Profesional;Peñagrande;Madrid;Fuencarral;-;4275;276;5;2;Sí;No;Sí;Sí;Sí;Sí;Sí;No;No
93496901;Chalet adosado en Calle del Marqués de Villabrágima;Chalet;Espléndido chalet de lujo en Peñagrande, con 485 m² construidos en parcela de 255 m². Disfruta de un agradable jardín privado. Es un conjunto de 5 vivienda unifamiliares con piscina y zonas verdes. La vivienda está ubicada en una zona residencial muy tranquila pero bien comunicada y próxima a la M-30, con conexiones a la M-40 y A -1. Cuenta con paradas cercanas de autobús de las líneas 83, 133 y 64.  MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA. DISTRIBUCION PLANTA PRINCIPAL: hall, aseo, Salón comedor con chimenea, espaciosa cocina de planta cuadrada con isla central. PLANTA PRIMERA: acoge tres dormitorios, dos cuartos de baño, dormitorio en suite con su cuarto de baño completo. PLANTA SEGUNDA: dormitorio principal en suite con bañera hidromasaje, con dos vestidores, despacho con acceso a terraza cubierta y un dormitorio doble. Dispone de aire acondicionado. PLANTA BAJA: jardín privado de 50m², salón, dormitorio, dormitorio, dos baños, distribuidor y garaje de 34 m².;912660850;Calle del Marqués de Villabrágima;1237000;8;Peñagrande, Madrid;De Salas Mirasierra - Puerta de Hierro;Profesional;Peñagrande;Madrid;Fuencarral;-;2551;485;7;-;No;No;Sí;No;No;No;No;No;Sí
