Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
100132293;Piso en Avenida de Isabel de Valois;Piso;EL Equipo de Gilmar Moraleja ( ) ofrece este fantástico piso en Sanchinarro. El inmueble se compone de un amplio salón, cocina equipada con tendedero, tres dormitorios y dos baños. Todas las habitaciones cuentan con armarios empotrados. La conservación del inmueble es excelente y sus vistas son realmente buenas. Se encuentra dentro de una urbanización privada como conserje, seguridad las 24 horas piscina, jardín y gimnasio El inmueble posee PLAZA DE GARAGE y trastero individual. Sanchinarro es un área residencial ubicada en el barrio de Valdefuentes, en el distrito de Hortaleza de Madrid. Se comenzó a construir a principios de los años 2000 y está situado al este de la Autovía del Norte (A-1), lindando al oeste con Las Tablas, al este con Valdebebas, al sur con Manoteras y con Virgen del Cortijo y al norte con la urbanización El Encinar de los Reyes, ya perteneciente a Alcobendas. La zona cuenta con comercios de referencia como El Corte Inglés, dos hospitales privados, el Hospital Sanitas - La Moraleja y el Hospital de Madrid Norte – Sanchinarro, así como con acceso cercano a colegios, parques y zonas de ocio y restauración. Está muy bien conectada, tanto por autobús, Metro, Cercanías y Metro ligero. Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visite nuestra web y encuentre la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario.;919389285;Avenida de Isabel de Valois;545000;3;Sanchinarro, Madrid;Gilmar Moraleja;Profesional;Sanchinarro;Madrid;Hortaleza;-;4866;112;2;1;Sí;No;Sí;No;Sí;Sí;Sí;Sí;Sí
100694331;Piso en Ana De Austria;Piso;Gilmar Moraleja ofrece fantástico BAJO DE TRES DORMITORIOS, JARDIN Y DESPACHO/OFFICE DE 20 M2 en una de las mejores urbanizaciones de SANCHINARRO. La vivienda cuenta con un amplio salón, cocina independiente totalmente equipada, tres dormitorios y dos fantásticos baños.  La habitación principal tiene disposición en suite. El inmueble tiene un precioso jardín de 35 m2  El inmueble es exterior y tiene orientación este, por lo que dispone de luz solar durante todo el día. Cuenta con materiales de lujo, puerta blindada y persianas eléctricas, entre otros. Se encuentra una de las tres mejores urbanizaciones de la zona. Dispone de piscina, gimnasio, padel y portero 24 horas. Dispone de plaza de garaje y trastero incluido. Sanchinarro es un área residencial ubicada en el barrio de Valdefuentes, en el distrito de Hortaleza de Madrid. Se comenzó a construir a principios de los años 2000 y está situado al este de la Autovía del Norte (A-1), lindando al oeste con Las Tablas, al este con Valdebebas, al sur con Manoteras y con Virgen del Cortijo y al norte con la urbanización El Encinar de los Reyes, ya perteneciente a Alcobendas. La zona cuenta con comercios de referencia como El Corte Inglés, dos hospitales privados, el Hospital Sanitas - La Moraleja y el Hospital de Madrid Norte – Sanchinarro, así como con acceso cercano a colegios, parques y zonas de ocio y restauración. Está muy bien conectada, tanto por autobús, Metro, Cercanías y Metro ligero. Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visite nuestra web y encuentre la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario.;919389285;ANA DE AUSTRIA;759000;3;Sanchinarro, Madrid;Gilmar Moraleja;Profesional;Sanchinarro;Madrid;Hortaleza;-;5421;140;2;bj;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
101768656;Ático en Calle de Diego Hurtado de Mendoza;Ático;Gilmar Consulting Inmobiliario, ofrece, luminoso y amplio ático de cuatro dormitorios en una de las mejores urbanizaciones de Sanchinarro. Se encuentra dentro de una urbanización privada, con los mejores servicios como piscina exterior, pádel, gimnasio y conserje. Iniciando su recorrido, nos da la bienvenida un luminoso salón-comedor, que da paso a una terraza de 78 metros, con vistas de ciento ochenta grados, cocina con mobiliario y electrodomésticos de primera calidad, moderna y actual.  En el área de descanso, se distribuyen cuatro dormitorios y dos baños completos, el de la habitación principal en suite, así como vestidor y salida a la terraza. El piso tiene incluido en el precio dos cómodas plazas de garaje, así como un amplio trastero. Sanchinarro es un área residencial ubicada en el barrio de Valdefuentes, en el distrito de Hortaleza de Madrid. Se comenzó a construir a principios de los años 2000 y está situado al este de la Autovía del Norte (A-1), lindando al Oeste con Las Tablas, al Este con Valdebebas, al Sur con Manoteras y con Virgen del Cortijo y al Norte con la urbanización El Encinar de los Reyes, ya perteneciente a Alcobendas. La zona cuenta con comercios de referencia como El Corte Inglés, dos hospitales privados, el Hospital Sanitas - La Moraleja y el Hospital de Madrid Norte – Sanchinarro, así como con acceso cercano a colegios, parques y zonas de ocio y restauración. Está muy bien conectada, tanto por autobús, Metro, Cercanías y Metro Ligero.;919389285;Calle de Diego Hurtado de Mendoza;990000;4;Sanchinarro, Madrid;Gilmar Moraleja;Profesional;Sanchinarro;Madrid;Hortaleza;-;6387;155;2;6;Sí;No;Sí;Sí;Sí;Sí;No;Sí;Sí
101337103;Chalet adosado;Chalet;"QUARTIERS Expertos Inmobiliarios. Agents Immobiliers Français. Real Estate Services. ADEMÁS DE LA PROPIEDAD QUE LE PRESENTAMOS A CONTINUACIÓN, EN QUARTIERSINMOBILIARIA. COM PODRA CONSULTAR OTRAS PROPIEDADES NO PUBLICADAS EN IDEALISTA.  Quartiers presenta EN EXCLUSIVA este fantástico chalet adosado en Conde de Orgaz, que destaca tanto por su ubicación, que le proporciona unas inmejorables vistas al parque, como por su impresionante reforma, que ha potenciado los puntos fuertes de la propiedad. El diseño actual de la vivienda no solo aprovecha al máximo los espacios y aporta modernidad, sino que le ha proporcionado una cómoda distribución y materiales y acabados de primera calidad. Entre sus calidades, destaca el trabajo de iluminación y climatización, así como el impecable acabado de la carpintería interior. En el exterior encontramos una amplia zona de estar, un agradable cenador con comedor de verano y barbacoa y piscina privada.  DISTRIBUCIÓN PLANTA BAJA: Hall de entrada, aseo de invitados, gran cocina con electrodomésticos y zona de office, salón y comedor independientes, terraza exterior con salida al jardín privado y la piscina. Zona de barbacoa y comedor de verano.  PLANTA PRIMERA: Gran dormitorio principal con zona de estar, vestidor independiente y baño en suite. 2º dormitorio con baño en suite, vestidor y terraza, 3º dormitorios con baño en suite y salida a terraza. PLANTA SEGUNDA: Cuarto de estar o salón con chimenea, 1 dormitorio con baño.  SEMISÓTANO: Cuarto de juegos, bodega, dormitorio de servicio con baño, zona de lavandería y plancha con muchos armarios, gran vestidor para cambio de temporada, gimnasio, gran zona de almacenamiento con armero y trastero. Amplio garaje con espacio para 3 coches y acceso directo a la casa.  CALIDADES: Calefacción individual de gas natural, aire acondicionado con sistema air zone"", suelos de mármol en planta baja y tarima en dormitorios. Carpintería interior de gran calidad y diseño. Cocina completamente equipada.""";919384037;barrio Conde Orgaz-Piovera;2150000;5;Conde Orgaz-Piovera, Madrid;Quartiers Expertos Inmobiliarios. Conde Orgaz/La Moraleja;Profesional;Conde Orgaz-Piovera;Madrid;Hortaleza;2290000;4778;450;6;-;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
99426139;Casa independiente en Ronda de la Avutarda;Chalet;Suma Inmobiliaria les ofrece un chalet independiente de cerca de 900m2 de vivienda en la mejor zona del Parque Conde de Orgaz. Distribuido en sólo dos plantas con grandes espacios en todas las estancias, y ubicado en una magnífica parcela llana de 1560m2. PLANTA PRINCIPAL: Gran hall de entrada a doble altura, despacho con chimenea, aseo de invitados, gran salón con chimenea, porche exterior cerrado, comedor independiente, cocina con zona de office, dormitorio de servicio con baño servicio, garaje 4 coches, salida directa al jardín con piscina y pista de tenis. PLANTA PRIMERA: 4 dormitorios todos ellos en suite con el baño incorporado, el principal con un enorme baño y gran vestidor con luz natural.;919387625;Ronda de la Avutarda;3500000;5;Conde Orgaz-Piovera, Madrid;SUMA Inmobiliaria;Profesional;Conde Orgaz-Piovera;Madrid;Hortaleza;-;2431;1440;5;-;No;No;Sí;No;Sí;Sí;Sí;Sí;Sí
95019860;Chalet pareado en Avenida de los Madroños;Chalet;GILMAR Consulting Inmobiliario Madrid, Conde Orgaz-Campo de las Naciones, comercializa (EN EXCLUSIVA) en pleno CONDE ORGAZ, esta vivienda exclusiva en el corazón del Barrio. Pareado totalmente actualizado con un gran salón-comedor comunicado con la cocina, despacho en planta y aseo de cortesía. En la primera planta hay 4 dormitorios muy grandes con tres baños, dos de ellos en suite. En la buhardilla hay otro dormitorio con un cuarto de baño completo. La parte del semisótano tiene una zona de servicio con habitación, baño y cuarto de lavado y plancha. El jardín es espectacular y tiene piscina privada.  Vivienda muy luminosa con una distribución muy funcional pensada para garantizar el confort y el bienestar de sus futuros compradores. Se encuentra estratégicamente ubicada en la zona más lujosa de Madrid por excelencia. Un emplazamiento residencial de excepción, a escasos metros de las emblemáticas áreas de influencia del aeropuerto e IFEMA. La comunicación es inmejorable, en sus proximidades se pueden encontrar, centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc.), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc.), club deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc.), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Dallington School, Nuestra Señora santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc.), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc.), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Alley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra, etc.), sedes empresariales (VODAFONE, Banco Popular, ABC, EL PAIS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc.), hoteles (Melia, Hilton, Barceló, Confortel, IBIS, etc.), recintos feriales-IFEMA, etc. Con salida directa a M-30 y M-40, y a 5 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles.;919381222;Avenida de los Madroños;2150000;6;Conde Orgaz-Piovera, Madrid;gilmar conde orgaz-campo de las naciones;Profesional;Conde Orgaz-Piovera;Madrid;Hortaleza;-;3739;575;6;-;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
102280886;Piso;Piso;Gilmar Consulting Inmobiliario, ofrece, amplia y luminosa vivienda de lujo, dentro de una exclusiva urbanización cerrada, con zonas verdes, pádel, gimnasio interior y exterior y piscina y zona de piscina climatizada, sauna y jacuzzi, sala comunitaria con cocina y salón de audiovisuales. Tiene una ubicación inigualable cerca de lo que será la estación de Metro de la zona y Parque de Valdebebas, próximo a zonas comerciales y de ocio. Accedemos a la vivienda mediante un espacioso hall de entrada en el que encontramos un aseo de cortesía y la cocina, con el mejor mobiliario y electrodomésticos de primera calidad con pocos meses de uso, moderna y actual, así como cómoda área de lavado. Atravesando dicho hall llegamos al gran salón de 36 metros orientado al Sur con vistas despejadas hacia el skyline de Madrid, lo que le brinda una magnifica luminosidad a la propiedad, en el mismo encontramos dos bonitas terrazas. Anexa a esta estancia encontramos una habitación/despacho independiente. La vivienda dispone de una zona de dormitorios secundarios con 1 baño para ambos dormitorios. Al otro lado de la vivienda se encuentra la habitación principal con zona de vestidor y baño en suite. Todas las habitaciones disponen de amplios armarios forrados y vestidos totalmente de gran capacidad.   La propiedad destaca por su eficiencia energética y demótica integrada, calefacción individual por suelo radiante, sistema de aire acondicionado destacando que ambas son independientes en cada estancia de la vivienda. La urbanización de lujo dispone de vigilancia 24 horas con portero físico los 7 días de la semana Incluido dos plazas de garaje y amplio trastero. Valdebebas es una zona que, dada su ubicación, su trazado urbanístico, los parques, el lago, las excelentes comunicaciones, colegios y servicios hace que sea la zona con mayor proyección dentro de la ciudad de Madrid. En los alrededores se encuentran el Club de Golf de La Moraleja, la Ciudad Deportiva del Real Madrid, el Parque Forestal, supermercados como Mercadona, Ahorra más. Se comunica perfectamente por la M-40, M-11 y R-2, además de las líneas de autobús 171 y 174 y la N2. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles, con equipos especializados en cada zona, para proporcionarles la mejor opción a su necesidad, cuidando al máximo todos los detalles.;919389285;barrio Valdebebas - Valdefuentes;950000;4;Valdebebas - Valdefuentes, Madrid;Gilmar Moraleja;Profesional;Valdebebas - Valdefuentes;Madrid;Hortaleza;-;5429;175;3;5;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
89883217;Chalet pareado;Chalet;SUMA Inmobiliaria Conde de Orgaz ofrece este magnifico chalet pareado con jardín y piscina privada muy próximo al Liceo Francés. Hall de entrada, amplio salón comedor con grandes ventanales y salida al jardín y piscina. Cocina con zona office y electrodomésticos, aseo de cortesía.  Planta Primera: Amplio y luminoso dormitorio principal con baño en suite y vestidor. Otro dormitorio que puede ser utilizado como despacho. Planta segunda: Tres dormitorios amplios que comparten dos baños.  Semi-sótano: Cuarto de servicio con baño. Garaje para 3 coches. Amplios y luminosos espacios en todo el chalet. Andando a los colegios Hastings, Liceo Francés y Santa María.  Arturo Soria/Conde de Orgaz es una zona residencial de alto standing bien comunicada con la a M-30 y M-40, y a 10 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas. Cercano a centros comerciales como el Arturo Soria Plaza, parques empresariales, hospitales como Vithas Nuestra Señora de América y el Clínica Anderson, club deportivos y gimnasios como el Holmes Place, colegios privados, internacionales y concertados y el recinto ferial IFEMA.;919387625;barrio Conde Orgaz-Piovera;1500000;6;Conde Orgaz-Piovera, Madrid;SUMA Inmobiliaria;Profesional;Conde Orgaz-Piovera;Madrid;Hortaleza;-;3750;400;5;-;No;No;Sí;No;Sí;Sí;Sí;Sí;Sí
94914491;Chalet pareado;Chalet;DE SALAS REF: MAV02473 presenta en venta este impresionante chalet en perfecto estado, con grandes espacios, todo tipo de detalles y una magnífica orientación. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA. PLANTA PRINCIPAL: Se entra en la vivienda a través de un porche cerrado de 20m2. El recibidor (12,60m2) separa la zona de salones de la cocina. El salón (68m2) está organizado en 3 espacios bien diferenciados y cuenta con un comedor (17m2). La cocina-office (25m2) es alargada y tiene mucho espacio de trabajo y de almacenaje. Desde aquí hay salida al exterior por un lateral de la parcela. En esta misma planta hay un aseo de invitados y una sala de estar que puede ser también un despacho (15m2). Desde el salón y el comedor salimos al poche trasero (25m2), con orientación Norte, con una zona de comedor de verano y zona de salón con toma de televisión incluida. PLANTA PRIMERA: Dormitorio principal (31m2) con orientación Sur, vestidor (8m2), un gran número de armarios y cuarto de baño en suite (14,40m2) con bañera, ducha y lavabo de doble seno. Dormitorio 2 (29m2) con baño en suite (7m2) Dormitorio 3 (20,40m2) PLANTA SEGUNDA: Distribuidor (4,60m2) con armarios de baja altura. Dormitorio 4 (35m2) abuhardillado con gran altura y ventanas velux. Techos con un magnífico aislamiento y cuarto de baño (6m2) con mucha luz natural. PLANTA SEMISÓTANO: Distribuidor (8,5m2) Sala multiusos (26m2) Txoko (41m2) con varios espacios de ocio y cocina, Dormitorio 5 de servicio (5m2), baño (6m2) zona de lavandería (9,5m2), gimnasio (10,40m2), cuarto de calderas y garaje para 2 coches (55m2) El jardín es impresionante, muy bien cuidado con una bonita piscina y una zona de solárium con orientación Sur, ideal para disfrutar todo el día, mientras que la parte trasera, con su fresca orientación al Norte permite disfrutar de su sala de verano también en cualquier momento. En esta misma zona se ubica una casita de aperos diseñada de manera que no desentona en absoluto con la pulcritud de toda la vivienda.;912665287;barrio Conde Orgaz-Piovera;3100000;5;Conde Orgaz-Piovera, Madrid;De Salas Consultores Inmobiliarios;Profesional;Conde Orgaz-Piovera;Madrid;Hortaleza;-;4306;720;5;-;No;No;Sí;No;Sí;Sí;Sí;Sí;Sí
101480977;Chalet adosado;Chalet;DE SALAS MAV02625 les presenta este estupendo chalet adosado. Un maravilloso hogar de más de 400m2 construidos, ubicado en una estupenda calle del Parque del Conde de Orgaz, a tan solo 7 minutos andando al Palacio de Hielo y la línea de Metro 4, y a 15 minutos del Liceo Francés por lo que es perfecto para familias que necesitan comunicación cercana.  MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA. Accedemos a la vivienda, atravesando un jardín privado con un precioso olivo que nos da la bienvenida a este hogar que destaca también por su cómoda distribución:  PLANTA PRINCIPAL: Nada más entrar, podemos ver que este bonito chalet tiene unos espacios muy amplios y a la vez acogedores. Aquí encontramos un armario para abrigos y un pequeño aseo de invitados con ventana exterior.  La cocina (15m2) con zona de office cuenta con muchos armarios para almacenaje, y los electrodomésticos, de marca “Gaggenau”, están incluidos: cocina de gas, horno de vapor, horno tradicional de gran tamaño, frigorífico de doble puerta y lavavajillas.  El salón-comedor (50m2) está diseñado para albergar varios ambientes y cuenta con una magnífica chimenea que funciona a la perfección para acompañarnos cálidamente en los fríos días de invierno.  Desde aquí podemos salir al jardín que cuenta a su vez con 2 espacios separados y que sus propietarios han decorado de manera muy diferente para poder utilizarlo en cualquier momento del día y, cómo no, en las estupendas y calurosas noches del verano madrileño. Una zona de comedor y un chillout en el que el sonido de los pájaros envuelve este acogedor lugar. Un jardín muy bien estudiado, con riego automático, muchas flores y una acertada iluminación perimetral. Desde aquí podemos salir hacia las zonas comunes, con piscina y solárium.  PLANTA PRIMERA: (5 dormitorios y 3 baños)  Dormitorio principal (19m2) con ventilación cruzada a las dos fachadas, iluminación foseada, bonito ventanal mirador y vestidor. Cuarto de baño en suite (15m2) con 2 lavabos independientes, ducha y zona de W.C. separada.  En esta misma planta se encuentran otros 4 dormitorios (14m2, 11m2, 10mm2, 10m2) y 2 cuartos de baño, uno con ducha y otro con bañera, ambos con ventanas exteriores.  PLANTA SEGUNDA: Bonita buhardilla (63m2) con gran altura de techo, separada en 2 áreas que pueden tener multitud de utilidades. En la actualidad sus propietarios han dispuesto un gran despacho y una sala de estar con terraza privada (13m2)  PLANTA SEMISÓTANO:  Dormitorio de servicio (11m2) con cuarto de baño en suite con bañera y lavabo de doble seno y una magnífica bodega-salón (65m2) para celebraciones con cocina propia dotada de vitrocerámica, frigorífico y lavavajillas.  Una vivienda a la que no le falta detalle: suelos de mármol y madera, calefacción de gas natural y aire acondicionado frío-calor con termostatos independientes por zonas, persianas motorizadas y luces graduables en intensidad.  El jardín cuenta con iluminación perimetral y riego automático y la vivienda está dotada de sistema de alarma perimetral para obtener la máxima seguridad.  Cuenta además con un garaje con cargador para coche eléctrico.;912665287;barrio Conde Orgaz-Piovera;1800000;6;Conde Orgaz-Piovera, Madrid;De Salas Consultores Inmobiliarios;Profesional;Conde Orgaz-Piovera;Madrid;Hortaleza;-;4337;415;6;-;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
