Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
101820411;Piso;Piso;Piso en Palomeras Sureste de 99 m2 en urbanización privada Se distribuye en 2 dormitorios, 2 baños, cocina, salón independiente y terraza de 4,00 metros. Exterior, muy luminoso, orientación norte. Plaza de garaje y trastero en finca CARACTERÍSTICAS: Calefacción: Individual Gas Natural Aire acondicionado Ascensor Jardín Tendedero Portero automático/físico Estado de conservación: buena Disponemos de más de 35 oficinas en la Comunidad de Madrid, Costa del Sol, Málaga, Cádiz, Sevilla y Canarias. Nuestra sede central está ubicada en la calle Goya, 47.  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Llámanos y te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero.;919385510;barrio Palomeras sureste;255000;2;Palomeras sureste, Madrid;Gilmar distrito Jerónimos-Retiro;Profesional;Palomeras sureste;Madrid;Puente de Vallecas;-;2576;99;2;1;Sí;No;Sí;No;Sí;Sí;Sí;Sí;Sí
100875774;Piso;Piso;Piso en Palomeras Bajas de 77 m2. Cuenta con 3 dormitorios, 2 baños, cocina y salón independiente. Exterior, luminoso, orientación medio día. CARACTERÍSTICAS: Calefacción: Eléctrica Aire acondicionado Ascensor Tendedero Portero automático Estado de conservación: estrenar Disponemos de más de 35 oficinas en la Comunidad de Madrid, Costa del Sol, Málaga, Cádiz, Sevilla y Canarias. Nuestra sede central está ubicada en la calle Goya, 47.  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Llámanos y te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero.;919385510;barrio Palomeras Bajas;275000;3;Palomeras Bajas, Madrid;Gilmar distrito Jerónimos-Retiro;Profesional;Palomeras Bajas;Madrid;Puente de Vallecas;-;3571;77;2;bj;Sí;No;No;No;No;No;Sí;No;No
101293464;Piso;Piso;Gilmar Retiro vende Piso en Numancia de 78 m2. Cuenta con 2 dormitorios, 1 baño, cocina y salón independiente. Exterior, muy luminoso, orientación medio día. CARACTERÍSTICAS: Calefacción: Individual Gas Natural Aire acondicionado Ascensor Tendedero Portero automático Estado de conservación: reforma total Disponemos de más de 35 oficinas en la Comunidad de Madrid, Costa del Sol, Málaga, Cádiz, Sevilla y Canarias. Nuestra sede central está ubicada en la calle Goya, 47.  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Llámanos y te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero.;919385510;barrio Numancia;162000;2;Numancia, Madrid;Gilmar distrito Jerónimos-Retiro;Profesional;Numancia;Madrid;Puente de Vallecas;-;2077;78;1;1;Sí;No;No;Sí;No;No;Sí;No;No
101129096;Dúplex;Duplex;GILMAR vende un exclusivo ático dúplex en Puente de Vallecas de 190 m2, 3 dormitorios, 2 baños, cocina, terraza de 36,00 metros, exterior y muy luminoso, . La vivienda cuenta con una terraza de ensueño con unas vistas privilegiadas de la ciudad de Madrid. La orientación de la vivienda y su configuración dotan a la casa de luz y sol durante todo el día en cualquier época del año. El edificio es de moderna construcción con ascensor y en una ubicación estratégica para acceder mediante, tren, metro o coche a cualquier lugar de Madrid en pocos minutos. Este ático se encuentra muy cuidado y en buen estado, merece la pena visitarlo. Disponemos de más de 35 oficinas en la Comunidad de Madrid, Costa del Sol, Málaga, Cádiz, Sevilla y Canarias. Nuestra sede central está ubicada en la calle Goya, 47.  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Llámanos y te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero.;919385510;barrio San Diego;407000;4;San Diego, Madrid;Gilmar distrito Jerónimos-Retiro;Profesional;San Diego;Madrid;Puente de Vallecas;-;2142;190;2;4;Sí;No;No;Sí;No;No;Sí;No;No
102191597;Piso en Calle Coín;Piso;JRK saca al mercado este imponente piso en edificio moderno con unas vistas únicas del barrio, totalmente exterior y con una luz natural difícil de encontrar en una vivienda.  Según entramos en la propiedad nos encontramos el hall recibidor con un armario empotrado con mucha profundidad.  A mano derecha está la cocina, una zona muy grande y amplia en el que incluso se puede poner una mesa para hacer todas las comidas y aun así sobran metros para poder cocinar y moverse por este espacio con comodidad. Al final de esta, hay una terraza en la que hay instalada una pila para poder lavar a mano y este seria el sitio perfecto para poner la lavadora y tender la ropa.  Salimos de la cocina y la primera estancia que tenemos es el salon, un espacio grande en el que se puede poner varias estancias debido a su amplitud y las vistas desde este son espectaculares.  continuamos por el pasillo y a mano izquierda tenemos el primer cuarto de baño completo con plato bañera. Justo enfrente hay un pasillo distribuidor que conduce hacia las tres habitaciones dobles, todas con vistas al exterior. La ultima estancia es la habitación principal, que lo tiene todo. Espacio para poner una cama de 2x2, un grandísimo armario empotrado, cuarto de baño en suite con plato de ducha y una pequeña terraza independiente.  La ultima reforma que se le hizo fue en 2003, pero en la vivienda se podría entrar perfectamente con una mano de pintura y una pequeña actuación en la cocina.  Disponibilidad de plazas de alquiler en el edificio con comunicación directa desde la vivienda.  La zona es inmejorable, la boca de metro de Miguel Hernandez a un minuto andando, autobuses en la puerta de la casa. Todo tipo de comercios, ocio y restauración.  Comunicacion perfecta con las principales carreteras de Madrid, M40-M30.;919388779;Calle Coín;333000;4;Palomeras sureste, Madrid;Jrk Solutions;Profesional;Palomeras sureste;Madrid;Puente de Vallecas;360000;2148;155;2;12;Sí;No;No;Sí;No;No;Sí;No;No
99343013;Piso en Calle del Monte Perdido;Piso;"Mb gestión inmobiliaria vende coqueta vivienda recien reformada, muy luminosa y bien comunicada en zona metro nueva numancia de madrid! vivienda reformada integramente, muy luminosa, distribuida del siguiente modo: hall recibidor de entrada, salón comedor, cocina amueblada y equipada con placa de inducción y campana, 2 dormitorios, cuarto de baño con ventana de luz natural y dispone de estancia que comunica los dormitorios ideal para utilizar como vestidor o despacho. La vivienda cuenta con estupendos acabados como suelos cerámicos y tarima, carpintería interior en blanco, carpintería exterior de aluminio blanco climalit con apertura abatible y sistema oscilobatiente, pintura lisa en toda la vivienda, calefacción individual de gas natural, caldera nueva, armario empotrado en dormitorio principal, maletero de almacenamiento y puerta principal blindada.. . La zona cuenta con todos los servicios necesarios a sus alrededores muy bien comunicada con paradas de autobuses y metro línea 1 (zona a), colegios, institutos, comercios y zonas de ocio y restauración, parques, centro de salud, farmacias, supermercados, campo de fútbol de vallecas, buen acceso a m-30.. .  ¡ vivienda a estrenar! precio: 137.900 euros   mb gestión inmobiliaria su satisfacción, nuestro compromiso"".""";919384517;Calle del Monte Perdido;137900;2;San Diego, Madrid;MB Gestión Inmobiliaria;Profesional;San Diego;Madrid;Puente de Vallecas;149900;2419;57;1;-;No;No;No;No;No;No;No;No;No
100690683;Piso en Avenida de Palomeras;Piso;VIVALTA vende fantástico piso exterior reformado A ESTRENAR con terraza, el piso se distribuye a través de un pasillo al que se accede a todas estancias, dos dormitorios, baño con plato de ducha y ventana al exterior, cocina americana integrada en el salón. Primera planta sin ascensor de 57metros cuadrados. El piso cuenta con suelo de tarima, instalación eléctrica y de fontanería actualizada, conexión de antena y fibra óptica en todas las habitaciones, focos de LED, aire acondicionado en salón/comedor y en el dormitorio principal, calefacción y agua caliente por caldera de gas natural. Ubicado en el barrio de Palomeras, una zona tranquila, cerca de la M40, la Avenida de la Albufera (calle principal en Madrid que recorre todo el distrito) y la A3. La parada de metro de  Alto del Arenal (línea 1) está muy cerca. En unos minutos estás en el centro de Madrid en transporte público. La zona donde se encuentra la vivienda es de las más tranquilas y demandadas  por todos los servicios de proximidad que ofrece, cuenta con supermercado, farmacias, colegios, zonas verdes.. . SI QUIERES QUE ESTA MAGNÍGICA VIVIENDA SEA TUYA, ¡LLAMANOS PARA VENIR A VERLA! ESTAMOS PREPARANDO UNA JORNADA DE PUERTAS ABIERTAS ASI QUE DATE PRISA Y PIDE TU CITA.  .;919382987;Avenida de Palomeras;133000;2;Portazgo, Madrid;VIVALTA;Profesional;Portazgo;Madrid;Puente de Vallecas;-;2333;57;1;1;No;No;No;Sí;No;No;Sí;No;No
100668687;Piso en Calle San Moisés;Piso;Piso muy luminoso ubicado en Palomeras Bajas Tiene 103 m2 distribuidos en: – 2 habitaciones  – 1 baño principal  – 1 salón amplio (posibilidades de incluir otra habitación) – 1 cocina con office – 1 terraza acristalada – 2 terrazas (una es como un patio) Descripción de la zona: El barrio es muy tranquilo, y el piso está muy bien ubicado haciendo esquina con Av. San Diego. – Renfe cercanía: Asamblea de Entrevías – Centro de Salud Ángela Uriarte – Amplia variedad de comercios: restaurantes, locales, talleres, etc. Sobre zona y transporte: Palomeras Bajas es uno de los barrios que componen el distrito de Puente de Vallecas, en el sureste de Madrid. Sus límites son, por el norte, la avenida de la Albufera, por el este, la avenida de Buenos Aires, por el sur, las vías de ferrocarril de Peñuelas y Madrid-Barcelona, y, por el oeste, la calle de Manuel Laguna, la calle de Martínez de la Riva y la calle de la Sierra Carbonera. Por el interior del barrio discurre la calle de Candilejas a cuyos lados se encuentran dos parques: el parque Fofó y los jardines del Portazgo. En el barrio se encuentra el célebre estadio Teresa Rivero, del club de fútbol Rayo Vallecano de Madrid, para deleite de los más futboleros, así como la Asamblea de la Comunidad de Madrid. También hay un centro comercial en el extremo suroeste del barrio. En su extremo sureste, el barrio linda con la autopista M-40, lo que facilita su acceso en coche. También hay una buena comunicación de autobuses, metro (Portazgo y Buenos Aires) y cercanías (El Pozo y Asamblea de Madrid-Entrevías).;919380325;Calle San Moisés;175000;2;San Diego, Madrid;Bafre Inmobiliaria;Profesional;San Diego;Madrid;Puente de Vallecas;-;1699;103;1;1;No;No;No;Sí;No;No;No;No;No
101969435;Piso en Calle de Felisa Méndez;Piso;Vivienda con reforma al 100%. Año 2023. Obra terminada recientemente. Se cambió todo el sistema de tuberías y electricidad. No cobramos comisión al comprador. Segunda planta exterior que dispone de 74 m2 construidos, distribuidos de la siguiente manera:  Cocina americana equipada con: nevera Whirlpool, horno y vitrocerámica Midea, lavadora Teka de 7kg. , Salón con equipo de aire acondicionado Mitsubishi,  Tres habitaciones con armarios empotrados y equipos de aire en cada una,  Un baño con plato de ducha,  Terraza exterior. Ubicación:  La vivienda se encuentra en un edificio de cuatro plantas ubicado en la zona de San Diego, Puente de Vallecas. Cercano a la estación de metro. A poca distancia cuenta con un parking público disponible 24 hs. Accesibilidad a la M30. En su alrededor cuenta con variedad de restaurantes, farmacias, institutos y más servicios.  Compras:  El Corte Inglés - Calle de la Retama,  Mercadona - Calle de Martínez de la Riva,  Mercado Municipal Puente De Vallecas - Calle de Martínez de la Riva,  Dia - Avenida de la Ciudad de Barcelona,  Ahorramás - Av. de la Ciudad de Barcelona,  Y más.  Transporte:  Metro: Línea 1: Puente de Vallecas y Méndez Álvaro,  Autobuses: Líneas: 113, 148, 56, 58, 111, 310, 141 y más,  Trenes: C1, C5, C10,  Estación de Autobuses Madrid Sur.;919380325;Calle de Felisa Méndez;250000;3;San Diego, Madrid;Bafre Inmobiliaria;Profesional;San Diego;Madrid;Puente de Vallecas;-;3378;74;1;2;No;No;No;Sí;No;No;Sí;No;No
101450867;Piso en Calle del Doctor Sánchez;Piso;SERVICHECK VENDE PISO DE 2 HABITACIONES EN SAN DIEGO, MADRID. AGENTE DE CONTACTO: Lucas Margara 657_919_733 Se vende maravilloso piso de dos habitaciones muy amplio y luminoso con excelente distribución.  La vivienda se distribuye de la siguiente manera: Amplio y luminoso salón con grandes ventanales. Dos amplias habitaciones que tienen acceso desde el salón. Cocina equipada con electrodomésticos. Baño con bañera. Cuenta con suelo de parquet, aire acondicionado ( bomba de frio y calor) en el salón.  El piso se encuentra localizado en una zona estratégica, a 100 metros de la estación de Renfe Entrevías, paradas de bus, comercios de todo tipo, centro de salud, colegios y centro comercial. Mejor ver preguntar por Lucas Margara 657_919_733 (también se atiende por WhatsApp). ADJUNTAMOS TOUR VIRTUAL PARA QUE PUEDAS VISITAR EL INMUEBLE DESDE CASA.;602250268;Calle del Doctor Sánchez;119000;2;San Diego, Madrid;SERVICHECK Inmobiliaria;Profesional;San Diego;Madrid;Puente de Vallecas;-;1831;65;1;2;No;No;No;No;No;No;Sí;No;No
