Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
99778382;Piso;Piso;GILMAR Consulting Inmobiliario Madrid, Conde Orgaz-Campo de las Naciones, comercializa en la mejor zona de Canillejas, frente al parque y al anillo ciclista de Madrid, este BAJO con 2 terrazas, 3 dormitorios, 2 baños y trastero. Hay que recalcar las grandes dimensiones de todas sus estancias, en especial el salón y la cocina, que dispone de tendedero cubierto y zona de office, sin olvidarnos de las grandes posibilidades de la reforma para garantizar el confort y el bienestar de sus futuros propietarios. Se encuentra estratégicamente ubicado en una de las principales zonas de expansión/lujo/prime de Madrid capital. Un emplazamiento residencial de excepción, a escasos metros de las emblemáticas áreas de influencia del aeropuerto e IFEMA. La comunicación es inmejorable, en sus proximidades se pueden encontrar, centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc.), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc.), club deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc.), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Dallington School, Nuestra Señora santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc.), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc.), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Valley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra, etc.), sedes empresariales (VODAFONE, Banco Popular, ABC, EL PAIS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc.), hoteles (Melia, Hilton, Barceló, Confortel, IBIS, etc.), recintos feriales-IFEMA, etc. Con salida directa a M-30 y M-40, y a 5 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles.;919381222;barrio Canillejas;270000;3;Canillejas, Madrid;gilmar conde orgaz-campo de las naciones;Profesional;Canillejas;Madrid;San Blas;-;2596;104;2;bj;Sí;No;No;Sí;No;No;Sí;Sí;No
102217562;Piso;Piso;Gilmar Consulting Inmobiliario comercializa este céntrico piso en barrio Salvador, a escasos metros de la Clínica Navarra. La vivienda cuenta con amplias zonas ajardinadas y plaza de garaje incluida en el precio. Se trata de una estupenda vivienda de 112 m² distribuida de la siguiente forma: Hall de entrada, amplia cocina con salida a una terraza tendedero, salón-comedor con unas excelentes vistas (al ser una 6ª planta) a la parte de la zona ajardinada, dos amplios dormitorios (anteriormente eran 3), y dos cuartos de baño. La comunicación es inmejorable, en sus proximidades se pueden encontrar, centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc. ), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc. ), clubs deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc. ), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Dallington School, Nuestra Señora santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc. ), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc. ), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Alley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra, etc. ), sedes empresariales (VODAFONE, Banco Popular, ABC, EL PAIS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc. ), hoteles (Melia, Hilton, Barceló, Confortel, IBIS, etc. ), recintos feriales-IFEMA, etc. Con salida directa a M-30 y M-40, y a 5 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles.;919381222;barrio Salvador;450000;2;Salvador, Madrid;gilmar conde orgaz-campo de las naciones;Profesional;Salvador;Madrid;San Blas;-;3782;119;2;6;Sí;No;No;No;Sí;Sí;No;No;Sí
101604879;Piso;Piso;GILMAR Consulting Inmobiliario Madrid, Conde Orgaz-Campo de las Naciones, comercializa en la zona de Julián Camarillo, junto a la calle Alcalá, este magnífico LOFT en dos alturas con jardín privado de 16 m² y con plaza de garaje incluida en el precio. La vivienda esta impecable, para entrar a vivir. Hay que recalcar la magnifica urbanización con cuidadas zonas verdes, estanques, camaras de seguridad y garita con conserje 24 horas, etc… además, el inmueble, de gran luminosidad, cuenta con una distribución muy funcional en dos plantas, con 2 baños (uno en cada planta), cocina y salón-comedor en la planta baja desde la que se accede al jardín privado, una zona de dormitorio en la planta superior junto al otro baño y la zona de vestidor, todo ello pensado para garantizar el confort y el bienestar de sus futuros propietarios. Es sin duda, una oportunidad única para vivir en una zona industrial de máxima actualidad en pleno Madrid. Se encuentra estratégicamente ubicado en una de las principales zonas de expansión/lujo/prime de Madrid capital. Un emplazamiento residencial de excepción, a escasos metros de las emblemáticas áreas de influencia del aeropuerto e IFEMA. La comunicación es inmejorable, en sus proximidades se pueden encontrar, centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc.), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc.), club deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc.), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Dallington School, Nuestra Señora santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc.), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc.), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Valley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra, etc.), sedes empresariales (VODAFONE, Banco Popular, ABC, EL PAIS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc.), hoteles (Melia, Hilton, Barceló, Confortel, IBIS, etc.), recintos feriales-IFEMA, etc. Con salida directa a M-30 y M-40, y a 5 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles.;919381222;barrio Simancas;285000;1;Simancas, Madrid;gilmar conde orgaz-campo de las naciones;Profesional;Simancas;Madrid;San Blas;-;3032;94;2;bj;Sí;No;No;Sí;Sí;Sí;Sí;No;Sí
101057151;Dúplex;Duplex;"GILMAR Consulting Inmobiliario Madrid, Conde Orgaz-Campo de las Naciones, comercializa en Julian Camarillo, este exclusivo LOFT-LOCAL, de 1 dormitorio, 2 baños, salón independiente y cocina, muy luminoso con orientación sureste y seguridad 24 horas. Inmueble muy luminoso con una distribución muy funcional pensada para garantizar el confort y el bienestar de sus futuros inquilinos. Una oportunidad para vivir en la zona residencial urbana más lujosa por excelencia de Madrid. Se encuentra estratégicamente ubicado en una de las principales zonas de expansión/lujo/prime de Madrid capital. Un emplazamiento residencial de excepción, a escasos metros de las emblemáticas áreas de influencia del aeropuerto e IFEMA. La comunicación es inmejorable, en sus proximidades se pueden encontrar, centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc.), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc.), club deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc.), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Dallington School, Nuestra Señora santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc.), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc.), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Alley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra, etc.), sedes empresariales (VODAFONE, Banco Popular, ABC, EL PAIS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc.), hoteles (Melia, Hilton, Barceló, Confortel, IBIS, etc.), recintos feriales-IFEMA, etc. Con salida directa a M-30 y M-40, y a 5 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles.. Disponemos de más de 30 oficinas en Madrid, Marbella, Estepona, Puerto Banús, Sevilla, Cádiz, Jerez e islas Canarias. Nuestra sede central está ubicada en la calle Goya, 47. Durante más de 36 años hemos demostrado nuestra profesionalidad y atención exquisita  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario.""";919381222;barrio Simancas;250000;1;Simancas, Madrid;gilmar conde orgaz-campo de las naciones;Profesional;Simancas;Madrid;San Blas;-;3125;80;2;2;Sí;No;No;Sí;No;No;Sí;No;Sí
102020886;Piso;Piso;Gilmar Consulting Inmobiliario Conde Orgaz comercializa este Loft frente al exclusivo parque de la Quinta de los Molinos, en un edificio industrial, actualmente está como oficina, pero se puede convertir en una gran vivienda hecha a medida.  Se trata de un espacio enorme con ascensor de 20 metros, que sale directamente a la nave. Dispone de grandes ventanales y mucha luz, por lo que se trata de una vivienda muy soleada y tiene con una distribución muy funcional, pensada para garantizar el confort y el bienestar de sus futuros propietarios. Se encuentra estratégicamente ubicado en una de las zonas más demandadas últimamente. A solo diez minutos de las emblemáticas áreas de influencia del aeropuerto e IFEMA. La comunicación GILMAR Consulting Inmobiliario Madrid, Conde Orgaz-Campo de las Naciones, comercializa en es inmejorable, en sus proximidades se pueden encontrar, centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc.), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc.), club deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc.), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Darlington School, Nuestra Señora Santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc.), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc.), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Valley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra, etc.), sedes empresariales (VODAFONE, Banco Popular, ABC, EL PAIS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc.), hoteles (Melia, Hilton, Barceló, Confortel, IBIS, etc.), recintos feriales-IFEMA, etc. Con salida directa a M-30 y M-40, y a 5 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas. Una oportunidad para vivir en una de las zonas residenciales consolidadas mejor comunicadas y más demandadas últimamente de Madrid. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles.;919381222;barrio Simancas;375000;1;Simancas, Madrid;gilmar conde orgaz-campo de las naciones;Profesional;Simancas;Madrid;San Blas;-;1198;313;2;2;Sí;No;No;No;No;No;Sí;No;No
100352397;Piso;Piso;GILMAR Consulting Inmobiliario Madrid, Conde Orgaz-Campo de las Naciones, comercializa en la mejor urbanización de la zona, construcción Vallehermoso, esta impecable vivienda de 82 m² construidos con unas calidades excepcionales, plaza de garaje extragrande de 17 m² y trastero con ventilación y luz natural, incluidos en el precio. La vivienda de gran luminosidad cuenta con una distribución muy funcional, con mucha amplitud en todas sus estancias, dormitorio principal XXL, pintura lisa, luces con detector de presencia, caja fuerte, tendedero cubierto, cableado de red, aire acondicionado centralizado, todo pensado para garantizar el confort y el bienestar de sus propietarios. Hay que recalcar las zonas comunes de la urbanización con seguridad 24 horas, piscina, pádel, sala multiusos, amplias zonas verdes, etc…  Es sin duda, una oportunidad única para vivir en la zona residencial por gran crecimiento en Madrid. Se encuentra estratégicamente ubicado en una de las principales zonas de expansión/lujo/prime de Madrid capital. Un emplazamiento residencial de excepción, a escasos metros de las emblemáticas áreas de influencia del aeropuerto e IFEMA, CC. Plenilunio. La comunicación es inmejorable, en sus proximidades se pueden encontrar, centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc.), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc.), club deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc.), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Alameda de Osuna, Colegio Gaudem, Montessori, Darlington School, Nuestra Señora santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Françoise Pomme D ‘api, Colegio Brains María Lombillo, etc.), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc.), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Valley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra, etc.), sedes empresariales (Vodafone, Banco Popular, ABC, El PAIS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc.), hoteles (Meliá, Hilton, Barceló, Confortel, IBIS, etc.), recintos feriales-IFEMA, etc. con salida directa a M-30 y M-40, M-11, a 5 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles. Disponemos de más de 30 oficinas en Madrid, Marbella, Estepona, Puerto Banús, Sevilla, Cádiz, Jerez e islas Canarias. Nuestra sede central está ubicada en la calle Goya, 47. Durante más de 36 años hemos demostrado nuestra profesionalidad y atención exquisita.  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Hortaleza (Conde Orgaz - Piovera, Palomas, Valdebebas-Valdefuentes). Barajas (Alameda de Osuna, Campo de las Naciones-Corralejos, Timón). San Blas (Simancas, Rejas, Salvador, Canillejas y Amposta). Paracuellos de Jarama, Coslada y Vicálvaro.;919381222;barrio Rejas;268000;1;Rejas, Madrid;gilmar conde orgaz-campo de las naciones;Profesional;Rejas;Madrid;San Blas;-;3268;82;1;4;Sí;No;Sí;No;Sí;Sí;Sí;Sí;Sí
101876822;Ático;Ático;GILMAR Consulting Inmobiliario Conde Orgaz, comercializa este lujoso ÁTICO en una sola planta con una terraza perimetral de casi 90 m². La vivienda consta de 3 dormitorios y 2 cuartos de baño, dispone además de plaza de garaje y trastero incluidos en el precio. Tenemos que destacar la fantástica luminosidad, así como la distribución y amplitud de toda la vivienda, llena de innumerables detalles que garantizan el bienestar y confort, como la gran cocina con comedor independiente, o el dormitorio principal con baño en suite que cuenta con un acceso a la terraza y vestidor (que puede volver a transformarse en la tercera habitación con solo poner una puerta) Hay que recalcar las impresionantes y despejadas vistas a varias orientaciones desde cualquier punto de la terraza, así como la privacidad de la misma. Sin olvidarnos de la magnifica urbanización con cuidadas praderas de césped, dos piscinas, sala de reuniones, cámaras de seguridad, garita con conserje, etc… Se encuentra estratégicamente ubicado en una de las principales zonas de expansión/lujo/prime de Madrid capital. Un emplazamiento residencial de excepción, a escasos metros de las emblemáticas áreas de influencia del aeropuerto e IFEMA. La comunicación es inmejorable, en sus proximidades se pueden encontrar centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc.), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc.), club deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc.), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Dallington School, Nuestra Señora santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc.), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc.), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Valley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra, etc.), sedes empresariales (VODAFONE, Banco Popular, ABC, EL PAIS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc.), hoteles (Melia, Hilton, Barceló, Confortel, IBIS, etc.), recintos feriales-IFEMA, etc. Con salida directa a M-30 y M-40, y a 5 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles.;919381222;barrio Simancas;720000;3;Simancas, Madrid;gilmar conde orgaz-campo de las naciones;Profesional;Simancas;Madrid;San Blas;-;3396;212;2;7;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
96903257;Chalet adosado;Chalet;GILMAR Consulting Inmobiliario Madrid, Conde Orgaz-Campo de las Naciones, comercializa esta vivienda exclusiva.  Se trata de una vivienda reformada, distribuida en hall de entrada, un aseo de cortesía, amplia cocina muy espaciosa, salón-comedor y otro salón acristalado con salida a la parcela. En la primera planta encontramos tres dormitorios (cuatro en origen) con dos baños, el principal en suite. En la planta de arriba tenemos una buhardilla diáfana con una preciosa terraza y posibilidad de hacer un baño. En planta inferior hay una sala polivalente con baño y trastero. Una bonita reforma a la que han dado luz y ventilación. Los servicios comunes incluyen una zona privada vallada y vigilancia 12 horas.  Se trata de una vivienda muy luminosa con una distribución muy funcional pensada para garantizar el confort y el bienestar de sus futuros propietarios. Se encuentra estratégicamente ubicada en una de las principales zonas de expansión de Madrid. Un emplazamiento residencial de excepción, a escasos metros de las emblemáticas áreas de influencia del aeropuerto e IFEMA. La comunicación es inmejorable, en sus proximidades se pueden encontrar, centros comerciales (Corte Inglés, Hipercor, Arturo Soria Plaza, Plenilunio, etc.), parques (Juan Carlos I, Juan Pablo II, Quinta Molinos, Marques Suanzes, El Capricho, etc.), club deportivos (Centro Deportivo los Prunos AQA, Club de Golf Olivar de la Hinojosa, etc.), colegios (Liceo Francés, San José del Parque -Maristas Colegio Bristol, Santa María de la Hispanidad, Alameda de Osuna, Colegio GAUDEM, Montessori, Dallington School, Nuestra Señora santa María, Nursery School, Patrocinio de María, Santa María de la Hispanidad, Escuela Iraquí de Madrid, Instituto saudí de Madrid, Parque Conde de Orgaz, Ecole Maternelle Française Pomme D'api, Colegio Brains María Lombillo, etc.), parques empresariales (Julián Camarillo, Las Mercedes, Campo de las Naciones, IFEMA, Alameda de Osuna, Barajas, etc.), áreas empresariales (la milla de oro tecnológica madrileña, el llamado Silicon Alley de Madrid, un entorno con más de 200 empresas del sector tecnológico, cuajado de centros de datos y kilómetros de fibra óptica), hospitales (Clínica Universitaria de Navarra, etc.), sedes empresariales (VODAFONE, Banco Popular, ABC, EL PAIS, Registros de la Propiedad de Madrid, Banco de España, CSIF, Telefónica, Liberty Seguros, AENA, Juzgados, Jefatura General de Tráfico, etc.), hoteles (Melia, Hilton, Barceló, Confortel, IBIS, etc.), recintos feriales-IFEMA, etc. Con salida directa a M-30 y M-40, y a 5 minutos del centro de Madrid y del Aeropuerto Internacional Adolfo Suárez Madrid-Barajas En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles.;919381222;barrio Rosas;792000;4;Rosas, Madrid;gilmar conde orgaz-campo de las naciones;Profesional;Rosas;Madrid;San Blas;-;2437;325;4;-;No;No;No;Sí;Sí;Sí;Sí;Sí;Sí
94844238;Piso en Calle de Aracne;Piso;Piso exterior con piscina durante todo el año Engel & Völkers presenta esta luminosa y tranquila vivienda en el bario de Rejas, con excelente ubicación a pocos metros de un Centro Comercial. Ubicada en una bonita urbanización con piscina durante todo el año, durante los meses de invierno disponemos de una piscina climatizada y durante el verano de una piscina externa. La vivienda se sitúa en la tercera planta del edificio, muy luminosa en la zona social y una de las habitaciones gracias a su orientación. El piso cuenta con una superficie aproximada de 63 m² construidos, se distribuye en un cómodo salón exterior, cocina diferenciada, un dormitorio y un baño - ideal para parejas jóvenes o solteros. En definitiva, una tranquila vivienda exterior con una relación calidad precio excelente hacen de este inmueble un atractivo producto para convertirse en su hogar o en una rentable inversión-actualmente alquilada (hasta Oct2021) con una rentabilidad de 3-4 %. Un posible inversor lo podría seguir alquilando sin tener que entrar en más gastos al estar amueblado, pintado y reformado recientemente…. una verdadera oportunidad, no la dejes escapar! Vivienda ubicada en el barrio de Rejas, en el distrito de San Blas-Canillejas. La zona cuenta con un amplia oferta de ocio, gastronomía, y comercios como el Centro Comercial Plenilunio, Leroy Merlin, Media Markt entre otros y a escasos metros de la vivienda. El barrio de Rejas está comunicado por transporte público, tanto con los autobuses urbanos como interurbanos, asi como rodeado de las carreteras A2, M40, M21, con fácil y rápido acceso a Centro de Madrid.;919386811;Calle de Aracne;262500;1;Rejas, Madrid;Engel & Völkers Madrid;Profesional;Rejas;Madrid;San Blas;-;4167;63;1;-;Sí;No;Sí;No;Sí;Sí;Sí;Sí;No
100112222;Chalet adosado en Calle Julián Camarillo, 56;Chalet;CHALETS DE OBRA NUEVA CON JARDÍN Y GARAJE PRIVADO. URBANIZACIÓN PRIVADA. Diseño de vanguardia de los reconocidos arquitectos Joaquín Torres y Rafael Llamazares, del Estudio de Arquitectura A-cero, autores del diseño de las viviendas de diferentes celebridades. Son 39 chalets, en ubicación privilegiada, c/ Julián Camarillo, A 6 minutos a pie de la Calle Alcalá y del Metro Torre Arias, Línea 5. Próximo al Wanda Metropolitano y a la Clínica Universidad de Navarra. Inmejorables conexiones con el Aeropuerto de Madrid y con las autovías M-40 y A-2.   Chalets de 4 dormitorios con más de 230 metros cuadrados distribuidos en cuatro plantas: planta sótano con zona de parking, sótano privado, cuarto de lavado y bodega opcional. Planta baja con jardín privado y porche. Primera planta con terraza, dormitorio principal con vestidor y baño completo. Segunda planta con dormitorios y baño con bañera. ¡Elige entre tres tipos de distribución de vivienda! Cocina cerrada, cocina americana o cocina en fachada principal. Zona de parking privada con capacidad para 2 coches y preparado con instalación para recarga de coche eléctrico. Calificación Energética A, con Aerotermia y suelo radiante – refrescante. ¡29 opciones de personalización! En pintura, muebles de cocina y encimera y suelos y alicatados PORCELANOSA. Cocina amueblada con electrodomésticos inox marca BOSCH. Hogar inteligente, con domótica para videoportero, termostatos zonificados y para control de iluminación y persianas, compatible con Google, Alexa o Siri. 3.500 metros cuadrados de zonas comunes con 2 piscinas con sistema de depuración salina y aseos. Solicite su cita previa y visítenos en nuestra oficina de ventas en c/Julián Camarillo y c/Albadalejo. 28037. Madrid.;919380356;Calle Julián Camarillo, 56;947900;4;Simancas, Madrid;premier;Profesional;Simancas;Madrid;San Blas;-;4669;203;3;-;No;Sí;Sí;Sí;Sí;Sí;No;No;Sí
