Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
102173444;Piso en Calle Bascones;Piso;Gilmar Consulting Inmobiliario Castellana-Orense ( ) pone a la venta este piso, exterior, luminoso, siendo el único de la planta incrementando la intimidad, confortabilidad y permitiendo la ausencia de ruidos producidos por los vecinos.  Actualmente está distribuido en cuatro habitaciones, dos baños, salón y cocina independientes. La superficie útil del piso es completamente cuadrada, evitando la pérdida de metros aprovechables, el estado del piso precisa de una reforma, la cual permite múltiples opciones para adaptarse a las preferencias del comprador. La zona experimenta un constante crecimiento e incremento en el valor del m2 desde hace más de 12 años, está rodeada de fincas de nueva construcción y cuenta con todo tipo de servicios, comercios, restauración, colegios, guarderías, gimnasio, farmacias, clínicas.  Cuenta con unas excelentes comunicaciones, en transporte público dispone de varias líneas de autobús a un minuto andando desde el portal del edificio, igualmente tiene a menos de cinco minutos andando dos estaciones de Metro que conectan con cinco de las principales líneas que cruzan la ciudad.  Sin duda, una excelente compra que podrá disfrutar para su familia o convertirse en un excelente producto de inversión que ofrecerá una alta rentabilidad durante el tiempo que lo tenga alquilado, el piso puede ser segregado en varios inmuebles al no estar prohibido por los estatutos de la comunidad. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles. Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita y encontraras 4.000 oportunidades de inversión en rentabilidad. Consúltanos.;919381075;Calle Bascones;325000;4;Ventilla-Almenara, Madrid;Gilmar Castellana - Orense;Profesional;Ventilla-Almenara;Madrid;Tetuán;-;2955;110;2;2;No;No;No;Sí;No;No;No;No;No
101718938;Ático en Avenida del Doctor Federico Rubio y Galí;Ático;Gilmar Consulting Inmobiliario Castellana-Orense ( ) pone a la venta este ático con unas vistas excepcionales y despejadas en kilómetros. Es el único piso de la última planta del edificio, incrementando la intimidad, confortabilidad y permitiendo la ausencia de ruidos producidos por los vecinos.  Actualmente requiere una reforma, la cual permite múltiples opciones para adaptarse a las preferencias del comprador. Dispone de terrazas perimetrales con orientaciones Este, Norte y Oeste. dos terrazas han sido incorporadas a la vivienda, incrementando los metros útiles hasta los 187 m2 La zona experimenta un constante crecimiento e incremento en el valor del m2 desde hace más de 15 años, está rodeada de fincas de nueva construcción y cuenta con todo tipo de servicios, comercios, restauración, colegios, guarderías, gimnasio, farmacias, clínicas.  Cuenta con unas excelentes comunicaciones, en transporte público dispone de varias líneas de autobús a un minuto andando desde el portal del edificio, igualmente tiene a menos de cinco minutos andando dos estaciones de Metro que permite conectar con las principales líneas que cruzan la ciudad.  Sin duda, una excelente compra que podrá disfrutar para su familia o convertirse en un excelente producto de inversión que ofrecerá una alta rentabilidad durante el tiempo que lo tenga alquilado, el piso puede ser segregado en varios inmuebles al no estar prohibido por los estatutos de la comunidad. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles. Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita y encontraras 4.000 oportunidades de inversión en rentabilidad. Consúltanos.;919381075;Avenida del Doctor Federico Rubio y Galí;915000;5;Bellas Vistas, Madrid;Gilmar Castellana - Orense;Profesional;Bellas Vistas;Madrid;Tetuán;930000;3961;231;3;6;Sí;No;No;Sí;No;No;No;No;No
102169501;Ático en juan de olias;Ático;Gilmar Consulting Inmobiliario Castellana-Orense en la zona de Cuatro Caminos vende espectacular Ático - Duplex en urbanización con plaza de garaje, situado en una tercera planta exterior, con ascensor, de dos dormitorios, terraza de 20 metros, dos cuartos de baño, salón - comedor y cocina. Cuenta con una superficie aproximada de 107 metros cuadrados perfectamente aprovechados y con una excelente distribución, En la planta baja nos encontramos con cocina con office independiente, totalmente equipada y con gran capacidad de almacenaje, El salón dispone de un amplio espacio tanto de zona de estar como de comedor, es muy luminoso, tiene acceso a una preciosa y amplia terraza de 20 metros y acceso a la planta alta mediante escalera, armario empotrado con gran capacidad de almacenaje y dispone también de cuarto de baño con plato de ducha. En la planta alta disfrutamos de dos dormitorios y baño completo con bañera. Sin duda, una casa acogedora, confortable y alegre. Entre los materiales destacamos, suelo de parquet, Carpintería exterior de climalit, calefacción eléctrica, Aire acondicionado repartido en splites, luces de led y pintura lisa. Situado en finca construida en el 1992, dispone de ascensor y parking privado, donde se sitúa la plaza de garaje totalmente independiente y que esta incluida en el precio de venta.  Situación estratégica entre las calles de Infanta Mercedes y Bravo Murillo, zona de revalorización, en un tramo muy tranquilo de la calle pero muy cerca de la zona comercial, el colegio Patrocinio de San jose o Paseo de la Castellana, próximo a colegios, zonas comerciales y de ocio. Excelentes comunicaciones bien hacia el exterior de Madrid por carretera, como para la movilidad interna vía Metro con la estación de Estrecho ( Vía 1 ) a tan solo 2 minutos andando y con paradas de Bus casi en la puerta. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontraras 4.000 oportunidades más. Gilmar dispone de excelentes oportunidades de inversión en rentabilidad. Consúltanos.;919381075;juan de olias;639000;2;Cuatro Caminos, Madrid;Gilmar Castellana - Orense;Profesional;Cuatro Caminos;Madrid;Tetuán;-;5972;107;2;3;Sí;No;No;Sí;Sí;Sí;Sí;No;No
101795504;Piso en Calle de San Enrique;Piso;Gilmar Consulting Inmobiliario Castellana-Orense en la zona de Cuatro Caminos y en una tercera planta exterior ubicada justo en la esquina del edificio, vende espectacular y exclusiva vivienda de obra nueva entregada en 2019 que consta de dos dormitorios, dos baños, un aseo, salón - comedor, cocina con tendedero, dos plazas de garaje y trastero incluidos en el precio y situada en urbanización cerrada con piscina, gimnasio, sala de eventos y fiestas y parking privado. Cuenta con una superficie construida aproximada de 123 m2 distribuidos en hall de entrada con dos armarios tipo gabanero, cocina independiente, totalmente equipada y con puerta acristalada que da acceso a una espaciosa terraza tendedero, amplio salón - comedor de 30 metros con gran ventanal que da una gran luminosidad a toda la vivienda, dos dormitorios (el dormitorio principal en suite), 2 cuartos de baño (el baño principal con plato de ducha y el baño secundario con bañera) y aseo de cortesía.  Con excelentes calidades, destacando sus ventanales de doble cristal con rotura de puente térmico, su sistema de climatización con calefacción por suelo radiante y aire acondicionado por conducto, armarios empotrados con gran capacidad de almacenaje en ambos dormitorios, puertas y armarios lacados en blanco, suelo de tarima flotante y sistema de luces de led repartidas por toda la vivienda.  Situada en una urbanización privada, con conserje, piscina comunitaria exterior, gimnasio equipado, sala de eventos y sala de fiestas, parking privado de la finca, donde se sitúan las dos plazas de garaje incluidas en el precio, una de las plazas dispone de instalación para cargadores eléctricos y zona de trasteros, donde se sitúa el trastero incluido en el precio. Situado a tan solo unos minutos andando la actualizada y ampliada zona ajardinada de la Avenida del General Perón mejorando el uso peatonal y las zonas verdes. Igualmente a unos minutos andando está el Paseo de la Castellana, el Estadio Santiago Bernabéu, la Torre Picasso, la zona de Azca que comenzará con el proyecto Renazca que remodela/optimiza/mejora toda la zona con una inversión de más de 40 millones de euros. El futuro propietario del inmueble, dispondrá de todos los servicios necesarios a unos metros del edificio, así como la mayoría de los tipos de comercios necesarios para la vida diaria, varios supermercados, múltiples empresas que pueden ofrecer cercanía al puesto de trabajo, numerosas cafeterías, bares y prestigiosos restaurantes. Igualmente a unos metros caminando desde el edificio dispone de más de 10 líneas de autobús y la parada de metro Estrecho ( Línea 1 ) a tan solo 4 minutos andando de la vivienda. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir... Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontraras 4.000 oportunidades más. Gilmar dispone de excelentes oportunidades de inversión en rentabilidad. Consúltanos.;919381075;Calle de San Enrique;760000;2;Cuatro Caminos, Madrid;Gilmar Castellana - Orense;Profesional;Cuatro Caminos;Madrid;Tetuán;-;6179;123;3;3;Sí;No;Sí;No;Sí;Sí;Sí;Sí;No
100906278;Dúplex en Calle de San Benito;Duplex;Gilmar presenta exclusivo dúplex muy cercano a las cuatro torres, situado en una finca representativa con servicios de portería, plaza de garaje, trastero y piscina en la azotea. Presentamos un dúplex de tres dormitorios, 2 baños, aseo, cocina con tendedero y salón, construido en el 2003. Situado en la mejor finca de la zona.  Se accede a un recibidor que da paso a la cocina completa con gran capacidad de almacenaje y acceso a un tendedero cubierto, a un aseo de cortesía y al salón - comedor de muy buen tamaño Desde el recibidor parte una escalera que baja al piso de abajo donde se encuentran tres dormitorios, uno de ello doble y dos baños completos. Toda la vivienda goza de gran cantidad de luz natural. Vistas despejadas ya que los edificios de enfrente tienen menos altura. Aire acondicionado frio/calor. Paredes lisas. Suelos de tarima. Baños alicatados en mármol. Plaza de garaje y trastero de acceso directo en la finca. Situación estratégica junto a las cuatro torres y Plaza Castilla. Muy cercano a multitud de zonas verdes  Excelentes comunicaciones bien hacia el exterior de Madrid por carretera, como para la movilidad interna vía Metro o Bus con paradas casi en la puerta. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontraras 4.000 oportunidades más. Gilmar dispone de excelentes oportunidades de inversión en rentabilidad. Consúltanos.;919381075;Calle de San Benito;425000;3;Ventilla-Almenara, Madrid;Gilmar Castellana - Orense;Profesional;Ventilla-Almenara;Madrid;Tetuán;-;3899;109;3;3;Sí;No;Sí;No;Sí;Sí;Sí;Sí;No
100964685;Ático;Ático;Espectacular atico en Cuantro Caminos Engel & Völkers, inmobiliaria de lujo de Madrid, ofrece este maravilloso ático para reformar parcialmente al lado de Azca Zona Empresarial, en una de las mejores zonas de la capital, rodeada de todo tipo de servicios.  El piso se encuentra en una sexta planta y tiene una estupenda terraza de aproximadamente 27 metros cuadrados con orientación este que aporta gran luminosidad al resto de la vivienda además de gozar de vistas completamente despejadas. Actualmente el piso cuenta con tres habitaciones y un amplio baño y es apto para una reforma integral con muchas posibilidades, a excepción de la cocina que está para estrenar, completamente reformada con altas calidades y un gran ventanal que la hace muy agradable por su luminosidad.    La finca se encuentra en una de las mejores ubicacion de la zona y cuenta com portal recientemente reformado, con salva escaleras y ascensor. La propiedad se ubica en el popular barrio de Cuatro Caminos, dentro del Distrito de Tetuán, al noroeste de la capital. Cuatro Caminos es un barrio muy singular. Se podría decir que es de los barrios más eclécticos de la ciudad, ya que a partir de su glorieta, parten diferentes zonas de Madrid muy diversas. A nivel arquitectónico, llama la atención el contraste entre la zona antigua (Cuatro Caminos fue anexionado por Madrid) y la moderna. Por ello, podemos ver una arquitectura sencilla, mezclada con los imponentes edificios de Nuevos Ministerios que se visualizan al final de la calle Raimundo Fernández Villaverde.  Por otro lado, el barrio está delimitado por importantes estructuras como el estadio Santiago Bernabéu, el Ministerio de Defensa, la famosa Torre Picasso o la torre BBVA. Tetuán ofrece una amplia gama de servicios desde grandes almacenes, comercios, farmacias, colegios, iglesias, gimnasios, hoteles, hasta zonas deportivas y una selección muy amplia de bares y restaurantes. En cuanto a las comunicaciones, Cuatro Caminos tiene una excelente cobertura de transporte. Esto se debe a la cercanía de éste a la estación de Nuevos Ministerios y del intercambiador de Plaza de Castilla. El acceso al centro de la ciudad y a las principales salidas (M-30, A-1) es rápido, ya sea por el Paseo de La Castellana o Plaza Castilla.;919386811;barrio Cuatro Caminos;570000;3;Cuatro Caminos, Madrid;Engel & Völkers Madrid;Profesional;Cuatro Caminos;Madrid;Tetuán;-;4560;125;1;6;Sí;No;No;Sí;No;No;Sí;No;No
100930433;Piso en Calle de Francisco Gervás;Piso;Gilmar Consulting Inmobiliario Castellana-Orense ( ) pone a la venta este piso, ubicado en una de las fincas más representativas de la zona que cuenta con servicio de conserjería durante toda la semana y está a dos minutos caminando del Paseo de la Castellana. El estado del piso permite entrar a vivir, debido a la actualización que se ha realizado hace unos meses. Es muy destacable la luminosidad del piso al ser una planta alta y disponer de una elevada distancia respecto a los edificios cercanos, permitiendo unas vistas agradables y despejadas. La zona es muy tranquila, cuenta con un alto nivel de seguridad por la cercanía de edificios oficiales e instituciones de la Administración. La planta del piso es prácticamente cuadrada facilitando múltiples tipos de distribuciones/reformas adaptándose fácilmente a las preferencias del comprador.  Incluido en el precio del piso, le corresponde una plaza de garaje con acceso directo desde el ascensor del edificio, así como un trastero que incrementa el amplio almacenamiento disponible en los numerosos armarios empotrados del piso. El propietario del piso dispondrá de todos los servicios necesarios a unos metros del edificio, así como la mayoría de los tipos de comercios necesarios para la vida diaria, varios supermercados, numerosas cafeterías, bares y prestigiosos restaurantes.  El piso actualmente está distribuido en un hall de entrada que da acceso a un amplio salón con más de 40 m2 totalmente exterior con amplios ventanales, dispone de cuatro habitaciones una de ellas con cuarto de baño completo en suite, los otros dos baños completos dan servicio a las tres habitaciones restantes. La amplísima cocina totalmente equipada con entrada independiente desde la puerta de servicio incluye una habitación para la persona de ayude en las labores del hogar, así como acceso a una terraza que incrementa la luminosidad de esa zona del piso. La conciliación familiar de los nuevos propietarios del piso podrá ser más sencilla debido a la cercanía de siete prestigiosos colegios cruzando el Paseo de la Castellana, así como la disponibilidad en los alrededores de más colegios a menos de 10 minutos en coche. Igualmente es destacable que en la zona están establecidas muchas empresas, con diversas actividades, contando con más de 2.800 puestos de trabajo.  Respecto a las comunicaciones del piso, dispone de fácil acceso a la A-1, M-11, M-607 y A-6, dispone de más de 10 líneas de autobús a unos minutos caminando y dos paradas de Metro que permiten acceso a cinco de las principales líneas, una de ellas con acceso directo al aeropuerto Adolfo Suárez - Barajas.  A unos diez minutos caminando desde el piso accederá a la reformada zona de la Avenida del General Perón que ha incrementado el uso peatonal, los parques infantiles y las zonas verdes. La cercanía al Estadio Santiago Bernabéu, la Torre Picasso, y la zona de Azca que comenzará con el proyecto Renazca que remodela/optimiza/mejora toda la zona con una inversión de más de 40 millones de euros, incrementará el precio del m2 del piso. Igualmente el proyecto Madrid Nuevo Norte, que es un referente a nivel nacional y europeo, afectará de forma directa al valor de la zona.  Gilmar desde su fundación hace cuarenta años, dispone de 28 oficinas en Madrid que cuenta con más de 400 empleados con actividad comercial para las gestiones necesarias en la comercialización del piso y nunca cobra ningún tipo de comisión a los compradores. Te esperamos para compartir nuestro tiempo y adaptarnos a tus necesidades, consultas y preferencias.  Sin lugar a duda un excelente piso para entrar a vivir y disfrutar de una zona con todo lo que necesita una familia, estamos seguros que no le defraudará el piso, le esperamos.;919381075;Calle de Francisco Gervás;1230000;5;Cuzco-Castillejos, Madrid;Gilmar Castellana - Orense;Profesional;Cuzco-Castillejos;Madrid;Tetuán;-;4980;247;4;8;Sí;No;No;No;Sí;Sí;Sí;Sí;No
100369834;Piso;Piso;Espectacular Piso a Estrenar en Castellana Engel & Völkers, inmobiliaria de lujo de Madrid ofrece esta impresionante vivienda en pleno Paseo de la Castellana recientemente reformada con calidades de lujo, se encuentra en pleno distrito de Castillejos una de las zonas más demandadas actualmente en la capital por su cercanía al distrito financiero de la misma. El piso de 201 m² cuenta con tres dormitorios, tres cuartos de baño completos, dos de ellos en Suite, bonito salón con cocina abierta, de grandes calidades, cabe destacar su espectacular isla, separando los dos ambientes, pero a su vez hace la integración de la cocina en el salón, todo exterior con terraza a la Castellana.  La habitación principal, exterior, cuenta con baño en suite de diseño y vestidor completo, su segundo dormitorio exterior también y con baño en suite, y su tercer dormitorio, interior a patio y baño en suite. Se trata de un primer piso exterior, con altura de un segundo, luminoso, vistas a La Castellana, luminoso son su orientación Este, sol naciente.  La finca cuenta con dos ascensores, portero físico, acceso para personas con movilidad reducida y servicios centrales. La propiedad se ubica en el popular barrio de Castillejos, dentro del Distrito de Tetuán, al noroeste de la capital.  Tetuán ofrece una amplia gama de servicios desde grandes almacenes, comercios, farmacias, colegios, iglesias, gimnasios, hoteles, hasta zonas deportivas y una selección muy amplia de bares y restaurantes.  El distrito es especialmente conocido por su centro de negocios AZCA y el Corte Inglés en la calle Raimundo Fernández Villaverde.  En cuanto a las comunicaciones, Castillejos tiene una excelente cobertura de transporte. Esto se debe a la cercanía de este a la estación de Nuevos Ministerios y del intercambiador de Plaza de Castilla. El acceso al centro de la ciudad y a las principales salidas (M-30, A-1) es rápido, ya sea por el Paseo de La Castellana o Plaza Castilla.;919386811;barrio Cuzco-Castillejos;1449000;3;Cuzco-Castillejos, Madrid;Engel & Völkers Madrid;Profesional;Cuzco-Castillejos;Madrid;Tetuán;-;7209;201;3;1;Sí;No;No;No;No;No;Sí;No;No
100831287;Piso;Piso;Espectacular piso reformado en la zona de Azca Engel & Völkers inmobiliaria de lujo de Madrid ofrece en venta este maravilloso piso con una reforma de excelentes calidades en una ubicación inmejorable a pocos pasos de Nuevos Ministerios y Paseo de la Castellana. El piso ha sido modificado en su distribución original, logrando espaciosos ambientes muy iluminados todos por luz natural totalmente exterior. Entramos y apreciamos un amplio salón-comedor gracias a sus estupendos ventanales que otorgan ventilación y mucha luminosidad a la casa con vistas despejadas. Al otro lado del salón comedor, un aseo de cortesía y vemos la entrada a la cocina que cuenta con un amplio office y excelente espacio de despensa para guardar los víveres y otros enseres, así como zona independiente de lavadora y ropa blanca. Todos los electrodomésticos de la cocina son de alta gama. La zona de descanso se destaca por sus tres dormitorios y dos baños completos. El dormitorio principal con baño en suite y zona muy amplia de armarios estupendos con mucha capacidad de almacenaje de suelo a techo  Seguidamente nos antecede dos dormitorios dobles con sendos armarios comparten un baño completo grande con bañera suelo de tarima de madera en toda la casa muy resistente, puerta principal acorazada, aire por conducto en todas las estancias, alarma e iluminación inteligente. La finca cuenta con un portal representativo, ascensor y montacargas. La propiedad se ubica muy cerca de Paseo de la Castellana, Nuevos Ministerios y la zona de Azca al noroeste de la capital. Azca es el distrito financiero y de negocios de Madrid. Se trata de una gran manzana de diecinueve hectáreas de superficie compuesta por edificios de oficinas comprendida entre las calles de Raimundo Fernández Villaverde, Orense, General Perón y el Paseo de la Castellana. Asimismo, dentro del ámbito se encuentran las plazas de Pablo Ruiz Picasso, Carlos Trías Beltrán y Manuel Gómez Moreno.  Este barrio está delimitado por importantes estructuras como el estadio Santiago Bernabéu, el Ministerio de Defensa, la famosa Torre Picasso o la torre BBVA. La cercanía a la Calle Orense, Nuevos Ministerios y el maravillosos Corte Ingles de Paseo de la Castellana ofrece una amplia gama de servicios desde grandes almacenes, comercios, farmacias, colegios, iglesias, gimnasios, hoteles, hasta zonas deportivas y una selección muy amplia de bares y restaurantes. En cuanto a las comunicaciones, esta zona tiene una excelente cobertura de transporte, esto se debe a la cercanía de éste a la estación de Nuevos Ministerios y del intercambiador de Plaza de Castilla. El acceso al centro de la ciudad y a las principales salidas (M-30, A-1) es rápido, ya sea por el Paseo de La Castellana o Plaza Castilla.;919386811;barrio Cuatro Caminos;990000;3;Cuatro Caminos, Madrid;Engel & Völkers Madrid;Profesional;Cuatro Caminos;Madrid;Tetuán;-;5294;187;3;3;Sí;No;No;Sí;Sí;Sí;Sí;No;No
98990624;Piso;Piso;Maravilloso piso muy luminoso en Azca Engel & Völkers, inmobiliaria de lujo de Madrid, ofrece esta extraordinaria oportunidad junto a Azca y al núcleo financiero de la Capital.  El piso se encuentra en una cuarta planta exterior. Entramos a un bonito hall y nos encontramos con un luminoso y amplio salón de aproximadamente 60m2 con terraza abierta de buen tamaño para el disfrute que da a unos maravillosos jardines y que convierte este piso en el ideal para reformar a gusto del cliente.  Cuatro amplios dormitorios dobles muy luminosos y tres baños completos, cocina cómoda y muy amplia para colocar un estupendo office o dormitorio de servicio si así lo necesita el cliente hacen de este piso una excelente inversión. Portal con acceso para personas con movilidad reducida, trastero y plaza de garaje en la misma finca. La propiedad se ubica muy cerca de Paseo de la Castellana, Nuevos Ministerios y la zona de Azca al noroeste de la capital. Azca es el distrito financiero y de negocios de Madrid. Se trata de una gran manzana de diecinueve hectáreas de superficie compuesta por edificios de oficinas comprendida entre las calles de Raimundo Fernández Villaverde, Orense, General Perón y el Paseo de la Castellana. Asimismo, dentro del ámbito se encuentran las plazas de Pablo Ruiz Picasso, Carlos Trías Beltrán y Manuel Gómez Moreno.  Este barrio está delimitado por importantes estructuras como el estadio Santiago Bernabéu, el Ministerio de Defensa, la famosa Torre Picasso o la torre BBVA. La cercanía a la Calle Orense, Nuevos Ministerios y el maravillosos Corte Ingles de Paseo de la Castellana ofrece una amplia gama de servicios desde grandes almacenes, comercios, farmacias, colegios, iglesias, gimnasios, hoteles, hasta zonas deportivas y una selección muy amplia de bares y restaurantes. En cuanto a las comunicaciones, esta zona tiene una excelente cobertura de transporte, esto se debe a la cercanía de éste a la estación de Nuevos Ministerios y del intercambiador de Plaza de Castilla. El acceso al centro de la ciudad y a las principales salidas (M-30, A-1) es rápido, ya sea por el Paseo de La Castellana o Plaza Castilla.;919386811;barrio Cuatro Caminos;890000;4;Cuatro Caminos, Madrid;Engel & Völkers Madrid;Profesional;Cuatro Caminos;Madrid;Tetuán;-;4009;222;3;4;Sí;No;No;Sí;Sí;Sí;No;Sí;No
