Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
101834484;Piso en antonio lopez;Piso;Gilmar Madrid Río ( ) vende espectacular vivienda exterior y muy luminosa. Dispone de 137 metros cuadrados construidos, está distribuida en 4 dormitorios, 2 baños, gran salón comedor con terraza y cocina independiente con office y tendedero. También tiene como anejos un amplio cuarto trastero y una plaza de garaje muy grande con capacidad para coche grande y moto. El estado de la vivienda es excelente, la carpintería interior es de madera lacada en color blanco con armarios empotrados a juego y puerta de entrada es blindada y también luce a juego, la carpintería exterior es de aluminio lacado en blanco con cristal de tipo climalit y mosquitera. Dispone de caldera estanca de gas natural para el agua caliente y la calefacción, también cuenta con aire acondicionado de frio/calor en todas las estancias. La urbanización en la que se sitúa cuenta con gran piscina rodeada de jardín, parque infantil, portero físico con vigilancia 24h, salas de uso común y varias zonas de jardines.  La zona cuenta con todo tipo de servicios para compras y ocio, muy cerca del futuro centro comercial de Madrid Rio. Muy buenas comunicaciones en transporte público con metro a menos de 3 minutos, varias líneas de autobús en la puerta y fácil acceso a M-30, A-4, A-42 y M-40. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir... Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 Clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontrarás 4.000 oportunidades más.;919387042;antonio lopez;560000;4;Almendrales, Madrid;Gilmar Madrid Río;Profesional;Almendrales;Madrid;Usera;-;4088;137;2;2;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
102012548;Piso en Calle Avena;Piso;NO COBRAMOS AL COMPRADOR Piso en venta en la zona de Zofío, perteneciente al distrito de Usera. La vivienda se localiza en la segunda planta del edificio, que dispone de ascensor, data del año 1993 y cuenta con ITE favorable. La finca dispone de plaza de garaje, conserje y zonas verdes. La vivienda se encuentra para entrar a vivir, es exterior y se vende semi amueblada. La orientación del piso es norte y sur. Dispone de 142 metros construidos, distribuidos en: -Salón independiente amplio con acceso a la terraza -Cocina equipada con acceso a la terraza -Tres dormitorios con armarios empotrados -Un cuarto de baño completo con plato de ducha y un aseo Otras características: La vivienda cuenta con calefacción individual, terraza amplia, buena iluminación. Tiene un derecho de superficie del ayuntamiento con plazo hasta 2068. (Plan 18.000) Sobre zona y transporte: Ubicado en el distrito de Usera, en el sur de Madrid, el barrio de Zofío linda, al norte, con la calle de Marcelo Usera, al este, con la avenida de Rafaela Ybarra, al sur, con la avenida de los Poblados, y, al oeste, con la avenida de la Princesa Juana de Austria. En su extremo noroeste, se encuentra la concurrida plaza Elíptica. En su extremo noreste, se halla el pequeño parque de Olof Palme. Dada su situación al lado de la autovía A-42, el barrio es fácilmente accesible en coche. También hay una buena comunicación de autobuses y de metro (Plaza Elíptica). 西亚房产为您服务‼️ 想买房 想贷款 想投资 或者想卖房的朋友们 欢迎大家联系我们讲叙您的需求 我们为您量身打造一个方案帮您实现✔ 添加我们微信号: Bafre2004 关注更多房源 ¿NECESITA HIPOTECA? No dude en contactar con nosotros:   FINANCIACIÓN HASTA EL 100 % Contamos con un departamento financiero propio ¿VENDE SU INMUEBLE? Con oficinas en Madrid y Pekín, BAFRE cuenta con una importante cartera de clientes e inversores internacionales, sobre todo asiáticos. Coordinamos viajes constantes de clientes chinos a Madrid, y les ayudamos en la gestión para obtener el Visado Oro de residencia. Más de doce años de experiencia en el sector. Valoramos gratuitamente su inmueble y ofrecemos servicios de asesoramiento jurídico y fiscal, además de disponer de un departamento postventa.  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. ).;919380325;Calle Avena;242000;3;Zofío, Madrid;Bafre Inmobiliaria;Profesional;Zofío;Madrid;Usera;-;1704;142;2;2;Sí;No;No;Sí;Sí;Sí;No;No;Sí
101541990;Piso en Calle Maiz;Piso;Gilmar Madrid-Río ( ), vende piso seminuevo ubicado en la zona de Orcasitas. La vivienda cuenta con 89m2 distribuidos en hall, salón, cocina, 2 dormitorios, 1 baño y tendedero. La distribución de la casa es excelente. Cuenta con cocina independiente en muy buen estado y tendedero. El salón, también independiente, cuenta con 22m2 y un enorme ventanal. Al ser la última planta y totalmente exterior, es muy luminosa. El baño es muy amplio y se acaba de cambiar la bañera por un plato de ducha. Los dos dormitorios, especialmente amplios, cuentan con armarios empotrados. Las ventanas son correderas dobles. El suelo es de tarima y se encuentra en muy buen estado. La vivienda dispone de aire acondicionado mediante Splits F/C y calefacción individual por gas natural (la caldera no tiene ni un año). La vivienda se encuentra en la mejor zona residencial de Usera rodeada de urbanizaciones de alto nivel. El metro Plaza Elíptica se encuentra a 13 minutos andando. Parada de autobús en la puerta (L78). Zona con todos los servicios (ambulatorio, colegios, supermercados.. . ). En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 Clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontrarás 4.000 oportunidades más.;919387042;Calle Maiz;220000;2;Zofío, Madrid;Gilmar Madrid Río;Profesional;Zofío;Madrid;Usera;-;2472;89;1;5;Sí;No;No;No;No;No;Sí;No;No
102275605;Piso en Calle de Ramón Luján;Piso;No cobramos comisión al comprador. Piso en venta en la zona de ALMENDRALES, perteneciente al distrito de USERA. La vivienda se localiza en la segunda planta del edificio, data del año 1961 y cuenta con ITE favorable. La vivienda se encuentra para entrar a vivir y se vende semi amueblada. Dispone de 78 metros cuadrados, distribuidos en: -Salón amplio -Cocina equipada -Tres dormitorios -Un cuarto de baño con bañera  Otras características: La vivienda cuenta con calefacción individual de gas, buena iluminación, recién pintado. Sobre zona y transporte: Almendrales es uno de los barrios que componen el distrito de Usera, en el sur de Madrid. Sus límites son, por el noroeste, la calle de Marcelo Usera y el puente de Andalucía, por el noreste, el río Manzanares, por el sureste, las vías de ferrocarril y la calle del Doctor Tolosa Latour, por el suroeste, el parque de Pradolongo y otras vías aledañas, y, por el oeste, la calle de Nicolás Usera. Por su interior discurre el principio de la avenida de Córdoba, que parte desde el puente de Andalucía, situado por encima de la autopista M-30, todo lo cual facilita el acceso en coche a la zona. También hay una buena conexión de autobuses, metro (Almendrales y Usera) y cercanías (Doce de Octubre). 西亚房产为您服务‼️ 想买房 想贷款 想投资 或者想卖房的朋友们 欢迎大家联系我们讲叙您的需求 我们为您量身打造一个方案帮您实现✔ 添加我们微信号: Bafre2004 关注更多房源 ¿NECESITA HIPOTECA? No dude en contactar con nosotros:   FINANCIACIÓN HASTA EL 100 % Contamos con un departamento financiero propio ¿VENDE SU INMUEBLE? Con oficinas en Madrid y Pekín, BAFRE cuenta con una importante cartera de clientes e inversores internacionales, sobre todo asiáticos. Coordinamos viajes constantes de clientes chinos a Madrid, y les ayudamos en la gestión para obtener el Visado Oro de residencia. Más de doce años de experiencia en el sector. Valoramos gratuitamente su inmueble y ofrecemos servicios de asesoramiento jurídico y fiscal, además de disponer de un departamento postventa.  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. ).;919380325;Calle de Ramón Luján;174000;3;Almendrales, Madrid;Bafre Inmobiliaria;Profesional;Almendrales;Madrid;Usera;-;2231;78;1;2;No;No;No;No;No;No;No;No;No
101075004;Piso en Calle Adora;Piso;VIVALTA gestiona este amplio piso exterior, en una entreplanta  de una finca con ascensor en zona de San Fermín. La vivienda consta de 78 metros distribuidos en un recibidor, un amplio salón con acceso a terraza  que aporta mucha luz a la estancia, 2 dormitorios, baño completo con plato de ducha, cocina  independiente completamente equipada y zona de tendedero.  El piso tiene calefacción individual de gas natural, aire acondicionado frío/calor, suelo de parquet, ventanas de climalit y puertas de madera.   La zona donde se encuentra la vivienda es muy tranquila,   rodeada de zonas ajardinadas, parques, cerca de la caja maquina  y a mano de todo lo necesario para vivir, colegios, centros de salud, farmacias, supermercados,   y a tan solo 5 minutos del hospital 12 de Octubre. El barrio de San Fermín  es una de las zonas mejor comunicadas con el centro de Madrid gracias a los diferentes medios de transporte público, ya que se encuentra a pocos  minutos de la estación de metro San Fermín-Orcasur (línea 3) con dirección a la puerta del Sol en sólo 15 minutos. Por el barrio circulan diferentes líneas de autobús, tanto urbanas como interurbanas, y además. Acceso inmediato a las principales autovías de la ciudad de Madrid.     SI QUIERES QUE ESTA MAGNÍFICA VIVIENDA SEA TUYA, ¡LLAMANOS PARA VENIR A VERLA!;919382987;Calle Adora;149900;2;San Fermín, Madrid;VIVALTA;Profesional;San Fermín;Madrid;Usera;-;1922;78;1;en;Sí;No;No;No;No;No;Sí;No;No
102202426;Piso en Travesía Verja;Piso;Piso en venta en la zona de Zofío, perteneciente al distrito de Usera. Se sitúa cerca de la parada de metro de Plaza Elíptica L6 y L11 (6 minutos) y del intercambiador de autobuses  (7 minutos) La vivienda se localiza en la segunda planta del edificio, que data del año 1994, con lo cual no ha pasado todavía  ni siquiera la primera ITE, que será a finales del 2024. La finca se encuentra en perfecto estado y  también cuenta con un trastero comunitario La vivienda se encuentra en buen estado, esta para entrar a vivir, es y se vende solo con la cocina amueblada con electrodomésticos, y armarios empotrados en las habitaciones La orientación del piso es este y oeste El inmueble destaca por su luminosidad y por la gran terraza con la que cuenta, 9 m2 (3x3m2) Dispone de 68 m2 distribuidos en: -Salón de 18 m2 que cuenta con una gran ventana y un buen balcón que hace que entre mucha luz al salón y resto de la casa -Cocina generosa amueblada con electrodomésticos - 2 Dormitorios con armarios empotrados -Cuarto de baño de buen tamaño Otras características: La vivienda cuenta con suelos de parqué de espiga.;919380325;Travesía Verja;165000;2;Zofío, Madrid;Bafre Inmobiliaria;Profesional;Zofío;Madrid;Usera;-;2426;68;1;2;No;No;No;Sí;No;No;No;Sí;No
102230918;Piso en Calle Periana;Piso;NO COBRAMOS AL COMPRADOR  Fantástica vivienda se localiza en la primera planta con ascensor y dispone de garaje y trastero incluidos en el precio. Se vende vivienda semi-amueblada y cuenta con 133 m2 distribuidos en: -Salón-comedor independiente amplio. -Cocina amueblada con muebles altos y bajos con acceso a un tendedero.  -Cuatro dormitorios, el cual el dormitorio principal en SUIT. -Dos baños con bañera. Otras características: La vivienda es exterior, cuenta con suelo tarima. Ventana de climalit. Puerta acorazada. Calefacción con caldera por gas natural individual.  La urbanización dispone del conserje de 24 horas, piscina comunitaria, zona infantil, cámara de seguridad.  Sobre la zona y transporte: San Fermín es uno de los barrios que componen el distrito de Usera, en el sur de Madrid. Linda, al noroeste, con la carretera de enlace con el Nudo Sur, al este, con el río Manzanares, al sur, con la autopista M-40, y, al oeste, con la avenida de Andalucía. El barrio es de corte principalmente residencial. Dada su situación muy próxima a la autopista M-30 y al lado de la autopista M-40, el barrio es fácilmente accesible en coche. Otras opciones de transporte son el autobús o el metro (Hospital 12 de Octubre y San Fermín-Orcasur).;919380325;Calle Periana;274000;4;San Fermín, Madrid;Bafre Inmobiliaria;Profesional;San Fermín;Madrid;Usera;-;2060;133;2;1;Sí;No;Sí;No;Sí;Sí;No;Sí;No
101838568;Piso en Calle de Carabelos;Piso;MR. HOUSE REAL ESTATE VENDE un estupendo piso PARA ENTRAR A VIVIR. Muy coqueto, con dos dormitorios, cocina amueblada y equipada, y baños REFORMADOS, con instalación de luz y fontanería nuevas.  Ventanas de aluminio oscilobatientes, pintura lisa, SIN GOTELÉ, con puertas de roble y tarima, puerta de entrada blindada, exterior, luminoso, ascensor, plato de ducha y mueble en el baño, radiadores nuevos.  Junto a zona ajardinada y parque infantiles.  Con numerosas paradas de metro a doscientos metros. Rodeado de colegios e institutos, con un Mercadona a 400 metros.  Tren C-5, metro M3, estación 12 de Octubre. A cinco minutos andando al Hospital Doce de Octubre. Si quieres agendar una visita, contacta con nosotros.  MR. HOUSE REAL ESTATE, es garantía de EXITO.;919386950;Calle de Carabelos;127900;2;San Fermín, Madrid;Mr House Real Estate;Profesional;San Fermín;Madrid;Usera;-;2460;52;1;bj;Sí;No;No;No;No;No;No;No;No
101954688;Piso;Piso;Maravilloso piso en Almendrales La prestigiosa inmobiliaria Engel & Völkers tiene el placer de ofrecer este espléndido piso. La vivienda, que se vende con trastero y garaje, está situada en una de las mejores urbanizaciones de Madrid-Río, en la zona más exclusiva del distrito de Almendrales, cuenta con seguridad 24 horas, jardines, parque infantil y dos piscinas. La distribución del piso es propia de la buena arquitectura, el hall da paso al salón comedor que es el corazón de la vivienda. Un espacio amplio y acogedor para vivir, descansar y recibir que se abre hacia el exterior gracias a la terraza con vistas abiertas sobre los árboles de la avenida y sobre una zona deportiva al lado del río. La terraza tiene el tamaño suficiente para crear un rincón único donde tomar el aperitivo en invierno y refrescarse las noches de verano. La cocina está pensada para vivirla y disfrutarla, con office para los largos desayunos familiares y con una terraza cubierta que se ha habilitado como zona de lavadero. Los cuatro dormitorios de la vivienda son amplios, luminosos y con armarios empotrados, lacados en blanco y enteramente vestidos. El dormitorio principal consta además de la zona de dormir, de un vestidor y un baño completo, con ventana al exterior. El segundo baño también es completo. Este piso es una oportunidad que no se puede dejar escapar tanto si es para vivienda como para inversión y con la garantía Engel & Völkers. El barrio de Almendrales pertenece al distrito de Usera y limita al este con el río Manzanares y el parque Madrid -Río, enorme enclave lúdico y cultural que se ha visto ampliado con el parque Lineal del Manzanares. En los últimos años Usera está de moda. Se ha convertido en el barrio Chino de la capital y es uno de los distritos más pujantes de Madrid. También destaca por su intensa vida cultural, especialmente en lo relacionado con el arte moderno. El barrio de Almendrales está actualmente muy demandado tanto para comprar como para alquilar. Es un barrio muy establecido, diverso y muy familiar con numerosos establecimientos educativos de calidad tanto públicos como concertados y dotado de todos los servicios.  Tiene mercados tradicionales, supermercados, el Centro Comercial Río 2 y gran variedad de restaurantes y zonas de ocio y deporte. Almendrales está muy bien comunicado tanto por la M-30 como por la M-40, la línea 3 de Metro y multitud de líneas de autobuses (L6, L18, L22, L23, L47, L59,L76, L78,L79, L81, L85, L86, L121, L123, L247 ) Y las paradas de Doce de Octubre y Orcasitas de la línea C5 de cercanías.;919386811;barrio Almendrales;560000;4;Almendrales, Madrid;Engel & Völkers Madrid;Profesional;Almendrales;Madrid;Usera;-;4088;137;2;2;Sí;No;Sí;Sí;Sí;Sí;Sí;No;Sí
101693297;Piso en Calle de Nicolás Usera;Piso;ESTUDIO de 30M² es un espacio compacto pero bien distribuido que ofrece todas las comodidades necesarias para una vida confortable. Aunque no cuenta con una habitación independiente, la disposición inteligente de los diferentes espacios permite aprovechar al máximo el área disponible. Al ingresar, te encuentras con un acogedor salón y es un espacio cuenta con suficiente espacio para colocar un sofá o sillones y una mesa de centro. La decoración y el mobiliario se adaptan a un estilo moderno y funcional, optimizando cada centímetro disponible. La cocina americana está integrada al salón y está equipada con todos los elementos necesarios para preparar y disfrutar de las comidas. Incluye una encimera con fregadero, una placa de cocina, un horno, una nevera y almacenamiento en forma de armarios y estanterías. También se proporcionan utensilios de cocina básicos y vajilla. El baño es compacto pero funcional, con un diseño elegante y moderno. Cuenta con una ducha, un lavabo con espejo y un inodoro. El agua caliente se suministra mediante un termo eléctrico, lo que garantiza disponibilidad constante y control de temperatura. Para mantener una temperatura agradable durante todo el año, el estudio cuenta con calefacción mediante un split, que permite controlar la temperatura de manera eficiente y personalizada. El estudio se entrega e amueblado, lo que incluye el mobiliario necesario para el salón, la cocina y el espacio de descanso. Los muebles se seleccionan cuidadosamente para maximizar el espacio y proporcionar funcionalidad y comodidad. Zona muy bien comunicada con el metro de Usera L6) y autobuses como el 6 y 78.;919382484;Calle de Nicolás Usera;87900;1;Almendrales, Madrid;Tengotucasa;Profesional;Almendrales;Madrid;Usera;-;2930;30;1;bj;No;No;No;No;No;No;Sí;No;No
