Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
98964040;Piso en Calle Forges;Piso;¡Aprovecha este descuento exclusivo! Disponible solo hasta el 10 de Septiembre. ¡Vivienda rehabilitada! Clikalia pone a la venta este inmueble exterior de 66 m2 listo para entrar a vivir. Se sitúa en la 3ª planta con ascensor, en la calle Forges, en el casco histórico de Vicálvaro. Algunas de las estancias de esta vivienda han sido reformadas. Somos los propietarios de la vivienda ¡NO COBRAMOS COMISIÓN! El piso consta de 3 habitaciones, salón-comedor, cocina independiente equipada y 1 baño. La vivienda cuenta además con aire acondicionado, calefacción y trastero. Este inmueble cuenta con una ubicación excelente ya que se encuentra a pocos minutos a pie del Parque Forestal de Vicálvaro y del Campus de la Universidad Rey Juan Carlos (URJC). A su vez, muy próximo a múltiples paradas de autobús y metro/tren como San Cipriano (L9). Contacta para ver los detalles de la rehabilitación y agendar una visita. ¡Posibilidad de financiación hasta el 100%! ¿Te interesa esta vivienda? ¡Llámanos! Clikalia está a tu disposición de lunes a viernes de 9.00h a 20.00h.;919388464;Calle Forges;175000;3;Ambroz, Madrid;Clikalia España;Profesional;Ambroz;Madrid;Vicálvaro;180000;2652;66;1;3;Sí;No;No;No;No;No;Sí;Sí;No
101301017;Chalet adosado en Calle Ferenc Puskas s/n;Chalet;VISITA CHALET PILOTO  Obras iniciadas. AEDAS Homes te ofrece Etheria Gardens, nueva promoción de viviendas unifamiliares en El Cañaveral. 43viviendas de 3 y 4 dormitorios con jardines privados, zonas comunes (piscina y área ajardinada) y parking subterráneo. Las viviendas cuentan con planta baja con cocina, salón, dormitorio y baño, planta primera con tres dormitorios y sótano con cuarto de instalaciones y zona de bodega de aproximadamente 30m2 útiles. Cada vivienda cuenta con dos plazas de aparcamiento que se situan en el sótano comunitario.;919389921;Calle Ferenc Puskas s/n;566000;4;El Cañaveral, Madrid;Aedas Homes;Profesional;El Cañaveral;Madrid;Vicálvaro;-;3180;178;3;-;No;Sí;Sí;No;Sí;Sí;No;Sí;Sí
97290390;Chalet adosado en Calle Ferenc Puskas s/n;Chalet;VISITA CHALET PILOTO  Obras iniciadas. AEDAS Homes te ofrece Etheria Gardens, nueva promoción de viviendas unifamiliares en El Cañaveral. 43viviendas de 3 y 4 dormitorios con jardines privados, zonas comunes (piscina y área ajardinada) y parking subterráneo. Las viviendas cuentan con planta baja con cocina, salón, dormitorio y baño, planta primera con tres dormitorios y sótano con cuarto de instalaciones y zona de bodega de aproximadamente 30m2 útiles. Cada vivienda cuenta con dos plazas de aparcamiento que se situan en el sótano comunitario.;919389921;Calle Ferenc Puskas s/n;569000;3;El Cañaveral, Madrid;Aedas Homes;Profesional;El Cañaveral;Madrid;Vicálvaro;-;3059;186;3;-;No;Sí;Sí;No;Sí;Sí;No;Sí;Sí
101301012;Chalet adosado en Calle Ferenc Puskas s/n;Chalet;VISITA CHALET PILOTO  Obras iniciadas. AEDAS Homes te ofrece Etheria Gardens, nueva promoción de viviendas unifamiliares en El Cañaveral. 43viviendas de 3 y 4 dormitorios con jardines privados, zonas comunes (piscina y área ajardinada) y parking subterráneo. Las viviendas cuentan con planta baja con cocina, salón, dormitorio y baño, planta primera con tres dormitorios y sótano con cuarto de instalaciones y zona de bodega de aproximadamente 30m2 útiles. Cada vivienda cuenta con dos plazas de aparcamiento que se situan en el sótano comunitario.;919389921;Calle Ferenc Puskas s/n;549000;3;El Cañaveral, Madrid;Aedas Homes;Profesional;El Cañaveral;Madrid;Vicálvaro;-;3084;178;3;-;No;Sí;Sí;No;Sí;Sí;No;Sí;Sí
101532293;Piso en Calle Padre Gregorio Céspedes;Piso;El hogar que buscas en Madrid es este: un piso de obra nueva estrenado este año y ubicado en el barrio de El Cañaveral. Situado en una tercera planta con ascensor, dos plazas de garaje, terraza, piscina y trastero, esta vivienda constituye una gran oportunidad para vivir o invertir en esta agradable zona residencial.   Este inmueble exterior con orientación sur, cuenta con 60 m² construidos que se distribuyen perfectamente en un salón - comedor con acceso directo a terraza, una cocina abierta al salón, un luminoso dormitorio con vestidor y con acceso directo a la terraza y un baño que cuenta con pie de ducha y ventana. También, el piso dispone de calefacción individual, ventanas climalit con rotura de puente térmico, suelo radiante, puerta de acceso a la vivienda acorazada, dos plazas de garaje asignadas y trastero.   Adicionalmente, el edificio cuenta con acceso para personas con movilidad reducida, portero, piscina comunitaria y zonas comunes. Es decir, cuenta con todas las comodidades necesarias para el bienestar diario.   El vecindario cuenta con numerosos establecimientos de interés como supermercados, farmacias, centros educativos como la Escuela Infantil Municipal Cañaveral, bares y restaurantes, zonas verdes, centros médicos, comercios locales de todo tipo, etc.   En cuanto al transporte, el inmueble se encuentra a tan solo 8 minutos en coche de la estación de tren Coslada (C2, C7 y regional), que conecta con la estación de cercanías de Atocha (C1, C2, C3, C4…), considerada el nudo principal del núcleo madrileño. Además, el piso se halla a tan solo unos pasos de varias líneas de autobús, como la 159, y cuenta con fácil acceso en coche a la carretera M-45 y a la R-3, por lo que moverse de un lugar a otro es muy fácil.   ¡No pierdas esta oportunidad! Llámanos y concretamos una visita sin ningún compromiso.;919380749;Calle Padre Gregorio Céspedes;225000;1;El Cañaveral, Madrid;Tiko;Profesional;El Cañaveral;Madrid;Vicálvaro;-;3750;60;1;3;Sí;No;Sí;Sí;Sí;Sí;No;Sí;No
102334285;Piso;Piso;VIVIENDA ACTUALMENTE ALQUILADA, CON EXCELENTE RENTABILIDAD Y UN INQUILINO EXCELENTE. GRAN OPORTUNIDAD. SERVICHECK INMOBILIARIA comercializa piso en la codiciada zona de Moratalaz! Les presentamos un piso bonito y acogedor de 2 habitaciones y 2 baños. Este elegante hogar está listo para recibir a sus afortunados nuevos propietarios, ya que viene completamente amueblado y equipado con todo lo que necesitan para una vida sofisticada y sin preocupaciones. Al entrar en este luminoso apartamento, encontraras la calidez de los suelos de parquet que adornan todo el espacio. La cocina esta completa con todos los electrodomésticos, nevera, lavavajillas, horno y vitrocerámica y con salida a terraza tendedero. El inmueble dispone de calefacción de gas natural garantiza un ambiente cálido y acogedor durante los meses más fríos del año. y aire acondicionado Además, cuentan con la tranquilidad proporcionada por el conserje disponible las 24 horas, brindando seguridad y asistencia constante. Esta finca de ensueño ofrece un estilo de vida de resort dentro de la ciudad. ¡Imagínense tener acceso a no uno, sino dos gimnasios completamente equipados para mantenerse en forma sin salir de casa! Las dos piscinas son un oasis de relajación y diversión en los calurosos días de verano. ¿Eres fanático del pádel? Una pista de pádel está a tu disposición para disfrutar de emocionantes partidos con amigos y familiares. Y para los amantes de la naturaleza, una amplia zona ajardinada te invita a disfrutar de momentos de tranquilidad. Y eso no es todo, ya que este piso viene con beneficios adicionales que lo hacen aún más tentador. El precio incluye un cuarto trastero, perfecto para almacenar objetos personales y mantener tu hogar ordenado. Además, tienes la comodidad de una plaza de garaje, eliminando cualquier preocupación relacionada con el estacionamiento en la ciudad. Ubicado estratégicamente en Moratalaz, encontrarás todo lo que necesitas a tu alcance. Supermercados, paradas de autobús y estaciones de metro están a poca distancia, brindándote una excelente conectividad con el resto de la ciudad. Mejor ver, Preguntar Por Federico Villegas al 633_129_465 (también se atiende por WhatsApp).;602250253;barrio Valdebernardo - Valderrivas;285000;2;Valdebernardo - Valderrivas, Madrid;SERVICHECK Inmobiliaria;Profesional;Valdebernardo - Valderrivas;Madrid;Vicálvaro;-;3563;80;2;4;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
101814932;Piso;Piso;LOFT ORIENTADOS A INVERSORES QUE QUIERAN ALQUILAR HABITACIONES PARA ESTUDIANTES EN LA ZONA DE VICÁLVARO.  Alquiler Mensual por cada Loft entre 1.450 y 1.600. Muy alta rentabilidad si se alquila por habitaciones.  Grupo Habitazone ofrece Promoción de 2 Loft a estrenar, ubicados en San Ciriaco, Vicálvaro - Madrid. Diseñados con mucho estilo, adecuados y y reformados con todo lujo de detalles, haciéndolos muy practicos y funcionales. Cada vivienda tiene 2 habitaciones dobles de 20 m2 (se pueden adaptar a 3 dormitorios), cuentan con 2 baños completos, cocina americana y salón comedor. Recién acabados con las mejores calidades, ofreciendo un aspecto inmejorable. Cercanos al centro de salud, supermercados, próximo al centro comercial, la universidad, hay 12 escuelas infantiles, colegios de educación infantil y primaria, e institutos de educación secundaria. En cuanto a la comunicación se refiere, los Loft tienen conexiones con la línea nueve (L9) del metro de Madrid y, acceso a EMT con las líneas E3, 106, 100 y 159. A pocos minutos de la estación de Renfe Cercanías por la que pasan las líneas C-2, C-7 y C-8. La estación sirve de intercambiador de metro con la estación del nombre Puerta de Arganda, también dentro de la línea nueve (L9) del Metro de Madrid, y con las líneas 4,71 y E3 de la EMT. A lo largo de toda la avenida de Villablanca hay facilidad de aparcamiento. Área especialmente tranquila para familias que buscan un lugar que reúna todos los requisitos necesarios para dar cobertura a sus necesidades. Zona ajardinada con bulevar a pocos metros. Si estás buscando amplitud, tranquilidad, un concepto diferente y diferenciador, este es tu nuevo hogar.  ¡No pierdas esta oportunidad! Contáctanos para más información y/o para agendra una visita. En Grupo Habitazone somos más que una Inmobiliaria.;919385756;barrio Casco Histórico de Vicálvaro;199000;3;Casco Histórico de Vicálvaro, Madrid;Grupo Habitazone;Profesional;Casco Histórico de Vicálvaro;Madrid;Vicálvaro;-;1658;120;2;-;No;No;No;No;No;No;Sí;No;No
91151655;Piso en Calle de San Cipriano;Piso;Piso en venta en Madrid capital (Madrid). Dispone de una superficie de 53 m ² distribuidos en salón-comedor, cocina, 1 dormitorio y 1 baño. Finca con ascensor. Está situado cerca de comercios, servicios y paradas de autobús. Goza de rápido acceso a la estación de tren de Vicálvaro y por carretera a la M-40 y la R-3. Si quieres saber más, contacta con nosotros y aprovecha ahora esta magnífica oportunidad. En Aliseda Inmobiliaria tenemos la mayor oferta de inmuebles al mejor precio garantizado. Descubre nuestra amplia oferta inmobiliaria y no pierdas la oportunidad de encontrar la casa perfecta para ti.;919387978;Calle de San Cipriano;168046;1;Casco Histórico de Vicálvaro, Madrid;Aliseda inmobiliaria;Profesional;Casco Histórico de Vicálvaro;Madrid;Vicálvaro;-;3171;53;1;4;No;No;No;No;No;No;No;No;No
101618756;Piso;Piso;Piso en Madrid, perfecto para parejas. El inmueble dispone de una superficie de 68 m² construidos distribuidos en salón-comedor, cocina. En sus alrededores encontramos el Faculty of Law and Social Sciences Campus de Madrid, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos y la estación de metro Vicálvaro. A 20 minutos andando encontramos el Hospital Universitario Infanta Leonor, varias paradas de autobús y la estación de tren Estación de tren Santa Eugenia. El inmueble está situado a 23 minutos en coche del centro de Madrid. Cuenta con fácil acceso a R-3.;919386456;barrio Casco Histórico de Vicálvaro;154500;3;Casco Histórico de Vicálvaro, Madrid;Departamento Comercial;Profesional;Casco Histórico de Vicálvaro;Madrid;Vicálvaro;-;2272;68;1;-;No;No;No;No;No;No;Sí;No;No
102347951;Piso en Calle Alcalde Andrés Madrid Dávila , 102;Piso;48 viviendas de 1, 2 y 3 dormitorios, bajos con jardín y áticos dúplex de 3 y 4 dormitorios. Todas con trastero, plaza de garaje, con preinstalación para carga de coche eléctrico, y terrazas.  Hogares cuidados al detalle que incorporan las mejores calidades: doble placa de yeso laminado, armarios vestidos con acabado textil, cocinas equipadas, cuartos de baño alicatados por completo… Interiores confortables y de alta eficiencia energética, con climatización por suelo radiante y refrescante con aerotermia, una instalación que consigue una temperatura homogénea de manera más sostenible, económica y respetuosa con el medio ambiente. Una urbanización dotada de unas completas zonas comunes: amplios jardines donde conectar con la naturaleza, área infantil para los más pequeños, piscina y una sala polivalente con gimnasio y gastroteca. Eficiencia energética La Torre Tabit dispone de una alta calificación energética, para que no sólo contribuyas al cuidado del medio ambiente, sino que también te beneficies de las ventajas de hacerlo, gracias a la utilización de materiales constructivos de calidad y sistemas de confort térmico, como la climatización por suelo radiante y refrescante con aerotermia, que contribuyen al ahorro energético. EN UN ENTORNO CERCANO Y CON TODOS LOS SERVICIOS. Emplazado en la calle Alcalde Andrés Madrid Dávila 102, en El Cañaveral, un nuevo desarrollo en la capital. Una ubicación inmejorable para, de manera simultánea, disfrutar de la naturaleza y de todos los servicios. Con dotaciones ya consolidadas en este barrio joven y dinámico: supermercados, lugares gastronómicos y de ocio, instalaciones deportivas, centros educativos.. . y otros muchos espacios de inminente apertura. Y junto a todos los equipamientos de Vicálvaro y Coslada. Un entorno completo con más de 100 hectáreas de zonas verdes, como el Parque del Humedal, una referencia de primer orden por sus kilómetros de caminos y senderos. Torre Tabit está perfectamente comunicado por varias líneas de autobús, con rutas recientemente ampliadas para mayor comodidad, trenes de cercanías, y acceso directo a la M-45 y la R-3. A tan solo 10 minutos del aeropuerto y a 15 minutos de la Estación de Atocha y del centro de Madrid.;919389056;Calle Alcalde Andrés Madrid Dávila , 102;361000;3;El Cañaveral, Madrid;NOZAR;Profesional;El Cañaveral;Madrid;Vicálvaro;-;3438;105;2;2;Sí;Sí;Sí;No;Sí;Sí;No;Sí;Sí
