Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
101100095;Ático en Avenida de Santa Eugenia;Ático;Espectacular Ático en la Avenida de Santa Eugenia de 175 m2 en urbanización cerrada con piscina, jardines y vigilancia de 24 horas. Consta de recibidor, amplio salón comedor independiente con acceso a gran terraza de unos 30 metros, 4 dormitorios, el principal con baño incorporado y acceso a una segunda terraza de unos 15 metros, un segundo baño y una cocina independiente.  Vivienda exterior, muy luminosa, orientación oeste con vistas despejadas. Cuenta con aire acondicionado, calefacción individual (gas natural), armarios empotrados. Se vende con una plaza de garaje doble en la propia finca. La finca está bien situada junto a la estación de tren de Santa Eugenia. Cuenta con todo tipo de comercios y servicios próximos (colegios, supermercados, gimnasio, centro de salud.. . )  Disponemos de más de 35 oficinas en la Comunidad de Madrid, Costa del Sol, Málaga, Cádiz, Sevilla y Canarias. Nuestra sede central está ubicada en la calle Goya, 47.  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Llámanos y te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero.;919385510;Avenida de Santa Eugenia;599000;4;Santa Eugenia, Madrid;Gilmar distrito Jerónimos-Retiro;Profesional;Santa Eugenia;Madrid;Villa de Vallecas;-;3423;175;2;9;Sí;No;Sí;Sí;Sí;Sí;Sí;No;Sí
102024917;Piso en Calle de Palazuelos;Piso;NO COBRAMOS AL COMPRADOR Piso en venta en la zona de Villa de Vallecas, nuevo a estrenar, recién reformado y listo para entrar a vivir. A 3 minutos a la boca de metro, CONGOSTO. Al lado de Centro de Salud. Se localiza en la primera planta del edificio que cuenta con ascensor. Cuenta con 80 m² distribuidos en: -3 Dormitorios con armario empotrado - Cocina y salón tipo americano con dos balcones -Cuarto de plancha con caldera -1 Baño completo -1 Aseo Otras características: La vivienda cuenta con calefacción por gas natural, toda la vivienda tiene circuito de aire acondicionado frío/calor, Suelo de tarima, puerta blindada, ventanas en PVC BLANCO, oscilobatientes. Sobre la zona y transporte: El Casco Histórico de Vallecas, ubicado en el distrito de la Villa de Vallecas, en el sureste de Madrid, está situado al sur de la autopista M-40, las vías de ferrocarril Madrid-Barcelona, la calle Real de Arganda y la avenida del Mediterráneo, entre otras calles. La parte más poblada se localiza en el norte del barrio. Dada su situación al lado de la autopista M-40 y la autovía A-3, el barrio es fácilmente accesible en coche. También es posible tomar el autobús, el metro (Sierra de Guadalupe y Villa de Vallecas) o cercanías (Vallecas).;919380325;Calle de Palazuelos;269000;3;Casco Histórico de Vallecas, Madrid;Bafre Inmobiliaria;Profesional;Casco Histórico de Vallecas;Madrid;Villa de Vallecas;-;3363;80;2;1;Sí;No;No;No;No;No;Sí;No;No
102094598;Piso en Calle de Peña Nueva;Piso;Vivienda2 ofrece en exclusiva este amplio piso exterior ubicado en el casco histórico de Vallecas, que se distribuye de la siguiente manera: Desde el recibidor de entrada parte la cocina totalmente equipada desde la que se accede a la terraza y un amplio y luminoso salón exterior, que conduce a tres habitaciones, una de ellas provista de otra terraza y un vestidor de gran tamaño, completa su distribución el baño independiente. La vivienda incluye también un trastero de uso individual y en sus inmediaciones se aparca fácilmente en zona gratuita, incluso en la misma puerta. La finca está rodeada de un parque, en un entorno tranquilo y silencioso, dentro de uno de los barrios más castizos de Madrid, cercano a zonas verdes y áreas de recreo como el parque de la Gavia, comercios y supermercados (Ahorramás y Mercadona muy próximos o el mismo CC La Gavia), farmacias, restaurantes, y zonas deportivas como el rocódromo y la Ciudad Deportiva del Rayo Vallecano o la Instalación Deportiva Municipal Miguel Guillén Prim.  Muy cerca, a menos de dos kilómetros, se encuentra el Hospital Universitario Infanta Leonor. Tras él, cruzando la autovía, FAUNIA. De manera circular, rodeando la barriada, discurre la M-40, E-5, A-3, M-45 Y M-31. También en sus alrededores, circula la línea 1 de metro a través de las paradas de Congosto y La Gavia, además de los autobuses 54, 103, 142 y N9 y apenas a 1500 metros encontramos la estación de tren de Vallecas. ¡No te pierdas la oportunidad de conocer esta fantástica vivienda y solicita una visita a uno de nuestros asesores!;915357200;Calle de Peña Nueva;199000;3;Casco Histórico de Vallecas, Madrid;Vivienda2;Profesional;Casco Histórico de Vallecas;Madrid;Villa de Vallecas;-;2140;93;1;1;Sí;No;No;Sí;No;No;Sí;Sí;No
102154207;Piso en Calle de Fuentespina;Piso;No cobramos al comprador. Estupendo piso en venta en la zona de Santa Eugenia, perteneciente al distrito de Villa de Vallecas. Muy buena ubicación, en plena calle de Fuentespina La vivienda se encuentra situada en la penúltima planta (Sexta planta) y destaca por su luminosidad, ya que es totalmente exterior. Cuenta con ascensor, conserje y 2 plazas de garaje. Se compone de 105 m2 distribuidos en: -Amplio salón. Se comunica con la terraza. -Cocina moderna equipada con muebles altos y bajos. Cuenta con una tendedero y un comedor. -Tres dormitorios con armario empotrado, todos ellos muy amplios y luminosos. Uno de ellos es estilo suite. -Dos cuartos de baño completos. Uno dentro de la habitación principal y otro en el pasillo. Otras características: La vivienda cuenta con doble ventanas, aire acondicionado, suelos de tarima y puertas blindada y se encuentra lista para entrar a vivir, dispone de dos plazas de garaje en el mismo edificio que se venden aparte. Sobre la zona y transporte: El barrio de Santa Eugenia pertenece al distrito de la Villa de Vallecas, en el sureste de Madrid. Sus límites son, por el norte, la avenida del Mediterráneo, por el este, el complejo deportivo Cerro Almodóvar y la carretera M-203, por el sur, la calle Real de Arganda, entre otras, y las vías de ferrocarril Madrid-Barcelona, y, por el oeste, la calle de Jesús del Pino y la avenida de la Democracia. Dada su situación al lado de la autovía A-3 y su proximidad a la autopista M-40, el barrio ofrece un fácil acceso en coche. También es posible tomar el autobús, el metro (Villa de Vallecas) o cercanías (Vallecas y Santa Eugenia). (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. ).;919380325;Calle de Fuentespina;339500;4;Santa Eugenia, Madrid;Bafre Inmobiliaria;Profesional;Santa Eugenia;Madrid;Villa de Vallecas;-;3233;105;2;6;Sí;No;No;Sí;Sí;No;Sí;No;No
100599269;Piso en Calle Embalse de Valmayor;Piso;SERVICHECK VENDE PISO DE 3 HABITACIONES EN ENSANCHE DE VALLECAS AGENTE DE CONTACTO: Lucas Margara 657_919_733 Se vende maravilloso piso con excelente distribución compuesto de 3 habitaciones muy amplias con armarios empotrado, grandes ventanales con carpintería de excelente calidad, ventanas climalit y mosquiteros, que dan vista a zona tranquila de calle de poco transito, dos bonitos cuartos de baño y uno de ellos en suite de la habitación principal. Desde el amplio recibidor con armario empotrado encontraremos una preciosa y amplia cocina completa con electrodomésticos salida a una muy practica terraza tendedero, además del amplio y luminoso salón. Tanto el salón como la cocina dispone de ventanales con orientación al interior de la finca. Vivienda equipada con calefacción de gas natural con radiadores y aire acondicionado por conductos. Suelos de parquet. VIVIENDA 95 mts APARCAMIENTO 10 mts ALMACEN 5 mts ELEMENTOS COMUNES 45 mts en el precio esta incluido un cuarto trastero y una amplia plaza de garaje. POSIBILIDAD DE ADQUIRIR DOS PLAZAS DE GARAGE ADICIONALES. El piso se encuentra localizado en una zona estratégica, Centro Comercial la Gavia, supermercados, cafeterías, autoescuelas, bares, colegios Torrevilano, Gredos, Matiza Formación, Academia Las Suertes, Colegio Público Loyola de Palacio, entre otros. Y destacamos que se encuentra a 100 metros del nuevo Centro Deportivo Municipal Juan de Dios Román, que dispone de piscina, pista de pádel etc. Mejor ver preguntar por Lucas Margara 657_919_733 (también se atiende por WhatsApp). ADJUNTAMOS TOUR VIRTUAL Y PLANOS PARA QUE PUEDAS VISITAR EL INMUEBLE DESDE CASA.;602250268;Calle Embalse de Valmayor;309000;3;Ensanche de Vallecas - La Gavia, Madrid;SERVICHECK Inmobiliaria;Profesional;Ensanche de Vallecas - La Gavia;Madrid;Villa de Vallecas;-;3253;95;2;2;Sí;No;No;No;Sí;Sí;Sí;Sí;Sí
102006262;Ático en Calle de la Princesa de Kapurtala;Ático;"SERVICHECK INMOBILIARIA Comercializa precioso ático en la zona del ensanche de Vallecas LA GAVIA, te ofrece una experiencia residencial excepcional. Con sus impresionantes características y amplios espacios, este apartamento de 3 habitaciones y 2 cuartos de baño es el sueño hecho realidad para aquellos que buscan comodidad y estilo. Al ingresar al ático, encontraras un recibidor que te conducirá a las diferentes áreas de la vivienda. encontramos la cocina completa con todos los electrodomésticos y salida a una terraza tendedero, continuamos con un bonito y luminoso salon con salida a una de las terrazas del inmueble con 43 metros2, La luz natural se filtra a través de grandes ventanales, brindando una sensación de amplitud y permitiendo vistas panorámicas de los alrededores. El dormitorio principal de gran tamaño con baño en suite, y armarios empotrados y con salida a otra terraza de 28 metros2. Las otras dos habitaciones, igualmente espaciosas, con armarios empotrados. El punto culminante de este ático son sus dos terrazas privadas, que suman un total de 72 metros cuadrados. Estas espaciosas áreas al aire libre ofrecen un lugar para disfrutar del sol, organizar reuniones con amigos y familiares, o simplemente relajarse y disfrutar  Además, este ático viene con dos plazas de garaje incluidas en el precio, también cuenta con un cuarto trastero adicional, proporcionando espacio de almacenamiento adicional para tus pertenencias. La ubicación del ático en el ensanche de Vallecas La Gavia te sitúa en una zona privilegiada, cerca de parques, comercios, Centro comercial LA GAVIA"", restaurantes y con excelentes conexiones de transporte público. Disfrutarás de la tranquilidad de un barrio residencial y la cercanía a todas las comodidades de la vida urbana. Mejor ver, Preguntar por Fede al 633_129_465 (también se atiende por WhatsApp).""";602250268;Calle de la Princesa de Kapurtala;575000;3;Ensanche de Vallecas - La Gavia, Madrid;SERVICHECK Inmobiliaria;Profesional;Ensanche de Vallecas - La Gavia;Madrid;Villa de Vallecas;-;2934;196;2;5;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
102187023;Piso en Alameda del Valle;Piso;"SERVICHECK COMERCIALIZA PISO DE 2 HABITACIONES Y 2 BAÑOS, GARAJE Y TRASTERO EN ENSANCHE DE VALLECAS AGENTE DE CONTACTO: Lucas Margara 657_919_733 Se vende precioso piso con excelentes distribución compuesto de 2 habitaciones amplias con armarios empotrados, grandes ventanales con carpintería de PVC y ventanas climalit, la vivienda es completamente exterior, muy silenciosa, dos bonitos cuartos de baño y uno de ellos en suite de la habitación principal, desde el bonito recibidor encontraremos una preciosa cocina completa con todo los electrodomésticos y salida a una terraza tendedero, cocina con buen tamaño para hacer vida. las 2 habitaciones son muy luminosas con armarios empotrados. Vivienda equipada con calefacción de gas natural con radiadores, aire acondicionado por conductos. Suelos de tarima En el precio esta incluido un cuarto trastero y una amplia plaza de garaje. Urbanización con piscina, zonas comunes e infantiles, gimnasio y conserjería. El piso se encuentra localizado en una zona estratégica LA GAVIA"", Centro Comercial la Gavia, supermercados, cafeterías, autoescuelas, bares, colegios Torrevilano, Gredos, Matiza Formación, Academia Las Suertes, Colegio Público Loyola de Palacio, Centro Deportivo Municipal Juan de Dios Román. Excelente comunicación, a tan solo 700 metros de la estación de metro ""la gavia"", y muy buen acceso a la A3, M45, M50, M30, lo cual nos comunica a menos de 10 minutos con el centro de Madrid VIVIENDA DE VENTA LIBRE Mejor ver preguntar por Lucas Margara 657_919_733 (también se atiende por WhatsApp). ADJUNTAMOS TOUR VIRTUAL Y PLANOS PARA QUE PUEDAS VISITAR EL INMUEBLE DESDE CASA.""";602250268;Alameda del Valle;278900;2;Ensanche de Vallecas - La Gavia, Madrid;SERVICHECK Inmobiliaria;Profesional;Ensanche de Vallecas - La Gavia;Madrid;Villa de Vallecas;-;3401;82;2;1;Sí;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
102003923;Piso en Calle Puerto del Bruch;Piso;Estupendo piso en buen estado distribuido en salón, cocina amueblada y equipada con terraza, tres dormitorios, el principal con armario empotrado y otro convertido en despacho, baño y pasillo distribuidor. El inmueble tiene altura de tercero y cuenta con calefacción de gas natural, suelos de parquet, pintura lisa, aire acondicionado con bomba de air frio en salón y dormitorio principal y ventanas sistema climalit en cocina y uno de los dormitorios. Ubicado en zona tranquila con todo tipo de comercios y servicios en sus alrededores, junto a parque Urpisa, y colegio María de Villota. Buena comunicación en transporte público con el metro Villa De Vallecas (L1) y el cercanías C2 y C7.;919382484;Calle Puerto del Bruch;129900;3;Casco Histórico de Vallecas, Madrid;Tengotucasa;Profesional;Casco Histórico de Vallecas;Madrid;Villa de Vallecas;-;2062;63;1;4;No;No;No;Sí;No;No;No;No;No
101048919;Chalet pareado en Calle Embalse de Pinilla;Chalet;VENDE VIVIENDA UNIFAMILIAR de SOTANO MAS TRES PLANTAS. TF/WASAP  La vivienda cuenta con 304 m2 construidos distribuidos en cuatro plantas mas zonas verdes comunes con padel y piscina sin horarios. Garaje privado para tres coches en planta sótano. En el sótano tenemos capacidad para tres coches aparcados y una zona de trastero, ambas superficies hacen un total de 115 m2.  En planta baja tenemos ubicadas 2 grandes terrazas con jardín, en la entrada 25 m2 y en la zona trasera 60 m2 desde donde podemos salir a las zonas comunes de jardines, piscina y padel. La vivienda cuenta con salón de 30 m2, cocina completamente equipada de 10 m2 ampliable hasta 20 m2 y un baño de 3 m2 y zona común de 9 m2.  En la planta primera nos encontramos tres dormitorios con dos baños. Dormitorio principal de 19 m2 con baño de 8 m2, y dos dormitorios de 12 m2 y un baño de 4 m2. En la planta segunda nos encontramos despacho de 8 m2, dormitorio de 8 m2, sala de lavadora de 9 m2, baño de 6 m2 y dos terrazas, una de ellas de 12 m2 y la otra de 8 m2. La urbanización con 2000 m2 ajardinados cuenta con una gran piscina para 26 vecinos sin limitación horaria, pista de pádel muy amplia consta de zonas verdes y pista de padel. Preinstalación de aire acondicionado. Sistema de calefacción mediante caldera de gas y radiadores. Sistema de chimenea de leña conducida mediante conductos y motor que calienta toda la vivienda y sistema de placas solares con depósito de 300 l. Comunidad de 26 vecinos con cuota de comunidad mensual de 130 € El Ensanche de Vallecas se sitúa a 11 km de Madrid y está delimitado por la Autovía del Este, que limita el barrio en dirección NW-SE, la autopista M-50, que limita el barrio en dirección NE-SW, la autopista M-45, que lo atraviesa en dirección NE-SW, así como las calles Real de Arganda, carretera de Villaverde a Vallecas, Cabeza de Mesada, Navamures y la Avenida de Villa de Vallecas.;919387420;Calle Embalse de Pinilla;650000;6;Ensanche de Vallecas - La Gavia, Madrid;CONSORCIO REAL ESTATE ÓPERA;Profesional;Ensanche de Vallecas - La Gavia;Madrid;Villa de Vallecas;-;2138;304;4;-;No;No;Sí;Sí;Sí;Sí;No;Sí;Sí
101609833;Piso;Piso;SERVICHECK VENDE PISO DE 3 HABITACIONES EN ENSANCHE DE VALLECAS AGENTE DE CONTACTO: Lucas Margara 657_919_733 Se vende maravilloso piso con excelentes distribución compuesto de 3 habitaciones muy amplias con armarios empotrados, grandes ventanales con carpintería de PVC y ventanas climalit, que dan vista a zona tranquila de calle de poco transito, dos bonitos cuartos de baño y uno de ellos en suite de la habitación principal, desde el amplio recibidor encontraremos una preciosa cocina completa con todo los electrodomésticos, destacando los muebles de nuevo diseño y encimera de Silestone y donde tiene mucho espacio de almacenamiento y gran tamaño para hacer vida. las dos habitaciones restantes son muy luminosas y con armarios empotrados. Vivienda equipada con calefacción de gas natural con radiadores, aire acondicionado por conductos. Suelos de parquet. En el precio esta incluido un cuarto trastero y una amplia plaza de garaje. El piso se encuentra localizado en una zona estratégica, Centro Comercial la Gavia, supermercados, cafeterías, autoescuelas, bares, colegios Torrevilano, Gredos, Matiza Formación, Academia Las Suertes, Colegio Público Loyola de Palacio, entre otros. Y destacamos que se encuentra frente al nuevo Centro Deportivo Municipal Juan de Dios Román, que dispone de piscina, pista de pádel etc. VIVIENDA DE VENTA LIBRE Mejor ver preguntar por Lucas Margara 657_919_733 (también se atiende por WhatsApp). ADJUNTAMOS TOUR VIRTUAL Y PLANOS PARA QUE PUEDAS VISITAR EL INMUEBLE DESDE CASA.;602250268;barrio Ensanche de Vallecas - La Gavia;309000;3;Ensanche de Vallecas - La Gavia, Madrid;SERVICHECK Inmobiliaria;Profesional;Ensanche de Vallecas - La Gavia;Madrid;Villa de Vallecas;-;1956;158;2;1;Sí;No;No;No;Sí;Sí;Sí;Sí;Sí
