Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
102267364;Piso en Calle Lagunas de Neila;Piso;Gilmar Madrid-Rio ( ) Ubicado en la zona de Villaverde alto, vende fantástico piso, muy luminoso y situado en urbanización moderna con piscina, gimnasio, parque infantil y jardín comunitario. Dispone de 133 m² construidos. Está distribuido en amplio salón comedor con gran mirador, cocina independiente con zona de office, dos dormitorios y dos baños, uno con bañera el perteneciente al dormitorio principal en suite, el otro con plato de ducha. La vivienda está en excelente estado, las ventanas son de aluminio con cristales de Climalit. La carpintería interior es de madera y suelo de tarima. Incluye plaza de garaje y trastero con gran capacidad de almacenaje, con acceso por ascensor. Dispone de agua caliente y calefacción con suministro individual por caldera de gas natural. La finca dispone de total acceso para personas de movilidad reducida sin obstáculos arquitectónicos y amplio ascensor. Cuenta con portero físico 24 horas y portero automático.  La urbanización, está ubicada en una zona muy tranquila, rodeada de zonas ajardinadas. Es una zona muy bien comunicada con el resto de Madrid tanto en transporte público como en carretera, ya que puedes acceder a ellas a través de la M-40 o la M-45. Está al lado de la estación de tren Puente Alcocer y cercano a las estaciones de metro Villaverde-Alto, Villaverde Bajo-Cruce y Ciudad de los Ángeles. Si quieres moverte por el centro de Madrid, Villaverde está a tan solo 20 minutos del metro de Sol y a 10 minutos de Atocha en tren. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 40 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 Clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontrarás 4.000 oportunidades más.;919387042;Calle Lagunas de Neila;270000;2;Villaverde Alto, Madrid;Gilmar Madrid Río;Profesional;Villaverde Alto;Madrid;Villaverde;275000;2030;133;2;4;Sí;No;No;No;No;No;No;No;No
101935406;Dúplex;Duplex;Gilmar Madrid-Río ( ), vende dúplex ubicado en la zona del Metro de Villaverde Alto. La vivienda se compone de cocina, 3 dormitorios, 2 baños y terraza. La plaza de garaje y está incluida en el precio. Vivienda seminueva en edificio del 2008. La planta baja cuenta con un hall abierto en el que se distribuye el salón, la cocina, 2 dormitorios y 1 baño. En la planta superior dispone de 1 dormitorio con vestidor baño completo y terraza.  Se trata de una vivienda moderna, con todas las comodidades necesarias para una amplia familia y lista para entrar a vivir. El salón, con espacio suficiente tanto de zona de estar como de comedor, es especialmente luminoso, ya que es la última planta del edificio y cuenta un gran ventanal tipo mirador. Todos los dormitorios son amplios (dos de ellos de matrimonio), con armarios empotrados con puertas correderas y amplios ventanales. Los 2 baños son completos, uno con bañera y otro con plato de ducha. La vivienda es totalmente exterior, muy luminosa y con ventilación cruzada. La calidad de la construcción permite un aislamiento térmico y acústico excepcional. La capacidad de almacenaje es excelente, ya que la vivienda dispone de 1 trastero y 3 armarios empotrados de gran capacidad (uno de ellos vestidor). Los cerramientos de la casa son de climalit y la carpintería interior de madera roble. La calefacción y aire acondicionado son por conductos en toda la vivienda. Se puede controlar de forma individualizada las dos plantas de la casa. El agua se calienta a través de un termo eléctrico de última generación con doble depósito. Nos encontramos en pleno barrio de Villaverde Alto, a 5 minutos andando del Metro y Renfe Villaverde Alto. Dentro de una zona totalmente consolidada con todos los servicios necesarios para la vida habitual (ambulatorio, hospital, colegios, supermercados.. . ). La comunicación por carretera es excelente (M-30, A – 4, A – 42 Y M- 40 a escasos minutos).  En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir... Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 Clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontrarás 4.000 oportunidades más.;919387042;barrio Villaverde Alto;265000;3;Villaverde Alto, Madrid;Gilmar Madrid Río;Profesional;Villaverde Alto;Madrid;Villaverde;-;2008;132;2;2;Sí;No;No;Sí;Sí;Sí;Sí;No;No
102016041;Piso en Calle de San Aureliano;Piso;Estupenda vivienda de tres habitaciones en una primera planta. Se trata de un piso de 70m2 en una finca con ascensor. Distribuida en 3 habitaciones, cuarto de baño con plato de ducha, salón y cocina, con suelos de gres. Dispone de terraza. La zona cuenta con una gran comunicación por transporte público (Autobuses y RENFE), muy cerca de la zona comercial, de supermercados, farmacias, colegios, guarderías, parques y con acceso a las principales carreteras. ¡Solicite una visita sin compromiso! Somos Agentes de la Propiedad Inmobiliaria Colegiados con más de 25 años de experiencia. No lo dude, Llámenos y le informaremos.;913699495;Calle de San Aureliano;133000;3;Villaverde Alto, Madrid;Inmobiliaria Asetra;Profesional;Villaverde Alto;Madrid;Villaverde;-;1900;70;1;1;Sí;No;No;Sí;No;No;No;No;No
99967921;Piso en Calle de San Jenaro;Piso;Estupenda vivienda de dos habitaciones en planta baja. Se trata de un piso de 70m2 en una planta baja de una finca con ascensor. Distribuida en 2 habitaciones, cuarto de baño con plato de ducha, salón y cocina, con suelos de gres y calefacción individual por acumuladores de tarifa nocturna La zona cuenta con una gran comunicación por transporte público (Autobuses y RENFE), muy cerca de la zona comercial, de supermercados, farmacias, colegios, guarderías, parques y con acceso a las principales carreteras. Los honorarios de agencia están incluidos en el precio de venta mostrado. ** La vivienda se venderá completamente vacía ** ¡Solicite una visita sin compromiso! Somos Agentes de la Propiedad Inmobiliaria Colegiados con más de 25 años de experiencia. No lo dude, Llámenos y le informaremos.;913699495;Calle de San Jenaro;135000;2;Villaverde Alto, Madrid;Inmobiliaria Asetra;Profesional;Villaverde Alto;Madrid;Villaverde;-;1929;70;1;bj;No;No;No;No;No;No;No;No;No
101038020;Piso en Paseo de Gigantes y Cabezudos;Piso;Grupo Inmobilia pone a la venta esta magnífica vivienda que no te dejará indiferente tanto por su distribución como por su luz. La vivienda se encuentra en un edificio de 1963 en muy buen estado, la finca cuenta con ascensor y tiene la gran ventaja de tener a dos vecinos por cada planta. El edificio tiene 7 alturas, esta vivienda se encuentra en la tercera planta y es totalmente exterior. Son 105 m2 construidos según el Catastro. El estado de la vivienda es bueno y esta bien conservado, pero lo ideal sería hacer una rehabilitación y dejarlo a tu gusto y en base a tus necesidades. Tiene una distribución muy buena ya que es rectangular y no tiene muros de carga que te condicionen la futura distribución. Cuenta con salón amplio y muy luminoso. Tiene 4 habitaciones todas amplias y todas exteriores. Otra de las ventajas es que cuenta con dos baños ambos con ventana. La cocina es de gran tramado y como todas las demás estancias es exterior. La finca cuenta con gas natural y la ITE es favorable. Cuenta con un gran trastero en la planta menos 1 del edificio. No dejes escapar esta oportunidad y agenda una visita con nuestros asesores.;919385501;Paseo de Gigantes y Cabezudos;199900;4;Los Ángeles, Madrid;GRUPO INMOBILIA Servicios Inmobiliarios;Profesional;Los Ángeles;Madrid;Villaverde;-;1904;105;2;3;Sí;No;No;No;No;No;No;Sí;No
101863067;Piso en Calle Calcio;Piso;Piso en Villaverde, zona Butarque. Con una superficie de 86 m2, distribuidos en 3 dormitorios, 2 baños, salón y cocina independiente amueblada con vitrocerámica, campana y horno. Dispone de calefacción individual de gas natural, armarios empotrados vestidos, ventanas de aluminio lacado en blanco y tarima flotante. Plaza de garaje y trastero incluidos en el precio. Edificio de 2010 equipado con ascensor y zonas comunes con piscina comunitaria y portero físico. UBICACIÓN Y ENTORNO: Zona muy bien comunicada, cuenta con todo tipo de servicios de un barrio consolidado, tales como: a menos de 10 minutos andando cuenta con una gran oferta educativa, centros escolares como el Juan Ramon Jiménez, El Greco, Los Rosales o el Centro Concertado Bilingüe, entre otros. A 8 minutos a pie de Supermercados como el Condis y a 5 minutos del Centro Deportivo María de Villota. Tiene el centro de salud a 6 minutos en coche y a 11 el Hospital 12 de Octubre.  Muy buenas conexiones en transporte público, con las líneas de autobuses 85/123/ N12 y a 9 minutos andando de la Estación Villaverde Bajo con las líneas C3, C4 y Regional. Conexiones directas en coche con la A-4 y la M-40.;911367833;Calle Calcio;244999;3;Butarque, Madrid;Témpore Homes;Profesional;Butarque;Madrid;Villaverde;-;2849;86;2;7;Sí;No;Sí;No;Sí;Sí;No;Sí;Sí
100252704;Piso en transversal sexta;Piso;SERVICIO INMOBILIARIO AR, vende inmueble recien reformado para entrar a vivir en un edificio con ascensor, de 80m2 útiles que se distribuyen en recibidor, cocina amueblada con tendedero, salón comedor con barra de bar, mirador, aire acondicionado, 2 habitaciones, ( antes 3 H/), 2 baños completos, ( uno con plato de ducha otro con bañera), pintura en gotelec, puertas en roble, ventanas en aluminio, solado en tarima, caldera de gas natural, comunidad 65€, con plaza de garaje y trastero, Renfe San Cristobal Industrial, Metro Colegio Privado, zona muy tranquila, mejor ver, llamenos sin compromiso y concierte una visita al telefono.;919382945;transversal sexta;187500;2;Villaverde Alto, Madrid;Servicios Inmobiliarios AR;Profesional;Villaverde Alto;Madrid;Villaverde;-;1953;96;2;4;Sí;No;No;No;Sí;Sí;No;Sí;No
97594871;Piso en Calle Alcocer;Piso;Piso en Madrid. Dispone de una superficie de  METROSCONST distribuidos en 3 habitaciones con armarios empotrados, un luminoso salón-comedor, cocina amueblada y 2 baños, uno de ellos con bañera. Además tiene una terraza accesible desde el salón. Cerca de comercios, centros educativos, supermercados, un centro médico, zonas verdes y paradas de autobús. Con acceso al metro Villaverde Bajó-Cruce y la M-301. En Aliseda Inmobiliaria tenemos la mayor oferta de inmuebles al mejor precio garantizado. Descubre nuestra amplia oferta inmobiliaria y no pierdas la oportunidad de encontrar la casa perfecta para ti.;919387978;Calle Alcocer;194465;3;Los Ángeles, Madrid;Aliseda inmobiliaria;Profesional;Los Ángeles;Madrid;Villaverde;-;1852;105;2;2;No;No;No;No;No;No;No;No;No
101862607;Piso en Calle Calcio;Piso;Piso en Villaverde Bajo de 64 m2. Distribuido en 2 dormitorios, 1 baño, amplio salón, cocina independiente y tendedero. Plaza de garaje y trastero incluidos en el precio. Suelo de tarima, armarios empotrados vestidos, calefacción individual de gas natural y cocina amueblada sin electrodomésticos. Sexta planta de un edificio de 2010 con ascensor. Urbanización privada con piscina y zonas comunes. UBICACIÓN Y ENTORNO: Zona muy bien comunicada, cuenta con todo tipo de servicios de un barrio consolidado, tales como: a menos de 10 minutos andando cuenta con una gran oferta educativa, centros escolares como el Juan Ramon Jiménez, El Greco, Los Rosales o el Centro Concertado Bilingüe, entre otros. A 8 minutos a pie de Supermercados como el Condis y a 5 minutos del Centro Deportivo María de Villota. Tiene el centro de salud a 6 minutos en coche y a 11 el Hospital 12 de Octubre.  Muy buenas conexiones en transporte público, con las líneas de autobuses 85/123/ N12 y a 9 minutos andando de la Estación Villaverde Bajo con las líneas C3, C4 y Regional. Conexiones directas en coche con la A-4 y la M-40.;911367833;Calle Calcio;199999;2;Butarque, Madrid;Témpore Homes;Profesional;Butarque;Madrid;Villaverde;-;3125;64;1;6;Sí;No;Sí;No;Sí;Sí;No;Sí;Sí
101301602;Piso;Piso;Vivienda en Madrid. Dispone de una superficie de 61 m² distribuidos en 3 habitaciones, amplio salón-comedor, cocina amueblada y 1 baño. El piso está situado en una zona céntrica cerca de centros de ocio, servicios básicos, centros educativos, zonas verdes y paradas de autobús. Con acceso a la M-301.;919386456;barrio San Cristóbal;98000;3;San Cristóbal, Madrid;Departamento Comercial;Profesional;San Cristóbal;Madrid;Villaverde;-;1607;61;1;-;No;No;No;No;No;No;No;No;No
