Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
98417268;Casa independiente;Chalet;"CASA ÚNICA DE CAMPO EN PLENA SIERRA.  Gilmar Villalba vende exclusiva casa de campo en Becerril de la Sierra en un entorno privilegiado, bajo la falda de la Maliciosa rodeado de Monte y zona verde en parcela de 16.674 m2, destacando su amplia y preciosa piscina. Consta de dos viviendas, la casa principal repartida en una única planta con 4 dormitorios, 2 baños destacando el gran salón con varios ambientes y otra pequeña casa de piedra con mucho encanto con múltiples posibilidades. Posee dos pozos utilizados para riego. Destaca del conjunto de la vivienda el vallado totalmente en piedra, al igual que las múltiples bancadas para poner plantas, el arbolado con algunas especies centenarias y muy consolidados. Vivienda única por su ubicación en plena Naturaleza con vistas impresionantes, ideal para amantes del campo con muchísimas posibilidades.   DISTRIBUCIÓN: SÓTANO: garaje para un coche y cuarto de la caldera PLANTA PRINCIPAL: hall con pasillo de entrada, salón con chimenea y zona de comedor en dos alturas de 70m2 aprox, cocina, con un cuarto pequeño al lado, baño completo, dormitorio, dormitorio y dormitorio principal en suite con baño completo. CARACTERÍSTICAS: Carpintería interior: madera Carpintería exterior: madera y doble cristal Calefacción: depósito gasoil Piscina Pozo Vallada en Piedra. n GILMAR trabajamos para ofrecer a nuestros clientes los mejores inmuebles, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles. En más de 30 años de andadura, Gilmar ha logrado alcanzar un espacio de privilegio dentro del Sector Inmobiliario de alto standing. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Nuestros clientes cuentan con el asesoramiento necesario desde el inicio, para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Estupenda oportunidad, para conseguir su vivienda a la medida de sus sueños. casas en Torrelodones, casas en Villalba, casas en Alpedrete, casas en Moralzarzal, casas en Becerril, casas en Navacerrada, casas en Guadarrama, casas en Los Molinos, casas en El Escorial, casas en Cercedilla, casas en Galapagar, casas en la Sierra, comprar vivienda, comprar piso, comprar casa, comprar chalet, ATICO, VISTAS SIERRA.";919389955;Becerril de la Sierra;645000;4;-;Gilmar Villalba;Profesional;-;Becerril de la Sierra;-;-;1617;399;2;-;No;No;Sí;Sí;Sí;Sí;No;Sí;Sí
101236858;Casa independiente en Calle canarias;Chalet;"Vivir en la Sierra de Madrid significa calidad de vida, si además le añadimos una casa como la que presentamos a continuación, será inmejorable. Se trata de un chalet independiente de reciente construcción, terminado este mismo año. Todos sus acabados cuentan con las mejores calidades, y su diseño destaca por unificar a la perfección lo atemporal con lo moderno.  270 m² distribuidos en tres plantas de la siguiente manera: - Planta calle: pensada para poder hacer vida en esta planta, antes de entrar encontramos una terraza descubierta de casi 20 m² y podemos ver los ventanales que van de suelo a techo, por lo que al atravesar la puerta de entrada impacta la luminosidad de esta vivienda así como la altura de los techos y su forma abuhardillada con vigas decorativas. Da lugar al vestíbulo y un gran espacio abierto de 40 m² donde se ubica el salón-comedor y la cocina, diseñada con todo lujo de detalles, amueblada con electrodomésticos y luz led debajo de las encimeras y de la isla que reina en este espacio. Encontramos también un aseo de cortesía y al fondo la habitación principal, más de 20 m² con zona de vestidor, baño y zona de lavabo, compuesto por dos senos y todo ello con un gusto exquisito una vez más. Desde esta habitación hay salida al exterior y unas vistas a la sierra de escándalo.- Planta alta: al subir las bonitas escaleras voladas, encontramos un espacio abierto que bien puede ser una zona de juegos, un saloncito, despacho o zona de lectura, el cual goza de la increíble luz por los ventanales comentados anteriormente.  Llegamos a una habitación acristalada para seguir beneficiándonos de la luz natural, dos habitaciones con armarios empotrados y un baño que da servicio a estas. - Planta sótano: Casi 100 m² diáfanos, donde encontramos una pequeña zona cerrada de almacenaje y donde se encuentra la máquina de aerotermia. Aquí podrás crear lo que quieras, un gimnasio, sala de fiestas, estudio, cine... eso con lo que siempre hayas soñado. Hay zona de parking en el interior de la parcela que va a ser techada próximamente, y por la parte de atrás encontramos un gran jardín en el que podrás hacer vida y alargar las sobremesas con vistas a la Maliciosa.  La casa dispone de aerotermia y suelo radiante, todas las puertas lacadas en blanco y la carpintería en efecto madera que no requiere de mantenimiento. Esta vivienda forma parte de una promoción de tres chalets independientes y es el único a la venta y el más grande, privilegiada ubicación en plena naturaleza con unas vistas increibles con las que despertarse cada mañana, y con muchas posibilidades. Goza de buena comunicación con Madrid, tanto en coche como en transporte público, y tiene servicios imprescindibles en los alrededores (supermercados, gasolineras, restaurantes, colegios.). No dudes en ponerte en contacto con nosotros.";919384758;Calle canarias;579000;3;-;RE/MAX Gestión;Profesional;-;Becerril de la Sierra;-;-;2144;270;3;-;No;No;No;Sí;Sí;Sí;No;Sí;Sí
101186967;Piso;Piso;"Exclusivo piso en Becerril de la Sierra Engel&Völkers les presenta esta vivienda en una de las zonas mejor situadas de la localidad, dado por su ubicación ya que al salir de la misma nos encontramos con diversas rutas que nos llevan hasta el Alto del Hilo y a su vez a cinco minutos andando del centro urbano. Vivienda con estancias muy amplias y muy bien conservado. Gran salón con amplio balcón. Cocina y zona de lavado. Ello compondría la zona de día que está separada de la zona de dormitorios. Becerril de la Sierra se ubica en un enclave único dentro del Parque Nacional Sierra de Guadarrama: a 45 km de la capital con dos vías principales, una a través de M601 que da acceso a AP-6 y otra por M-607 que comunica con la carretera de Colmenar y Plaza Castilla. Próxima a la estación de esquí Puerto de Navacerrada, Valle de La Barranca, embalses de Santillana y Navacerrada, con parajes espectaculares para todo tipo de actividades en la naturaleza. Posee una amplia oferta de restaurantes, actividades culturales y deportivas, diversidad de colegios, públicos, privados, concertados y bilingües. También cuenta con un amplio espectro de centros comerciales. A menos de 10 minutos en coche se encuentra el Hospital General de Collado Villalba.";919386811;Becerril de la Sierra;250000;3;-;Engel & Völkers Madrid;Profesional;-;Becerril de la Sierra;-;-;2212;113;2;-;No;No;Sí;No;No;No;No;No;No
100948708;Casa independiente en reina;Chalet;"CAPITAL HOME ALPEDRETE vende magnífico chalet independiente rehabilitado en su totalidad muy próximo al ambulatorio y al casco urbano del municipio. Nos encontramos ante un chalet independiente construido en 1972, actualizado a lo largo de su vida útil hasta el día de hoy, con una superficie construida de 238m2, edificado sobre una parcela de 646m2.  Se distribuye de la siguiente manera, En primer lugar, ubicamos el hall recibidor, donde previamente nos precede una amplia terraza con orientación sur-este, con unas magníficas vistas, ideal para desayunar, comer en familia o disponer un espacio de descanso. A continuación, disponemos la cocina completa, ésta ampliada, con forma de tubo amplio, posee varios ventanales y una despensa cómoda para el día a día.  A continuación, encontramos el salón-comedor, con forma romboidal, donde se ubican bien diferenciados el espacio de descanso y el área de comedor, con salida directa a una amplia terraza, con posibilidad de añadirla a la estancia anterior, es un espacio muy especial debido a su orientación sur-oeste, ideal para celebraciones en familia, con vistas al jardín, perfectamente mantenido y con un espacio de vegetación consolidado muy atractivo.  Seguidamente, derivamos a la planta primera 1ª, donde encontramos, dos dormitorios dobles, ambos con armarios empotrados, y dos baños completos, en ambos casos con ventana y plato de ducha.  En la planta segunda 2ª, ubicamos dos dormitorios triples, ambos con armarios empotrados, suplidos por un baño completo con bañera de hidromasaje, una de las habitaciones posee chimenea en la propia estancia.  En la última planta 3ª, se encuentra una estancia a modo de despacho, cuarto de juegos, sala de usos múltiples.  Además, en la planta inferior al salón-comedor, a la cual tenemos acceso por el interior y por el exterior, encontramos un amplísimo salón, super fresco de cara al verano, caliente en invierno, donde disponemos de cocina completa, baño completo con plato de ducha y mucha luz natural.  En cuanto a características de la vivienda podemos contemplar, Calefacción individual con depósito de gasoil de 1000L, quemador perfectamente conservado, posibilidad de establecer placas solares, carpintería exterior de PVC vinilada en madera, carpintería interior de madera de cerezo y roble, suelos de tarima AC5 en el área de descanso, suelos cerámicos en casi la totalidad de la vivienda pero de distintos acabados y colores, sistema eléctrico completamente actualizada, cuenta con 3 cuadros independientes.  En cuanto a otros elementos, la parcela posee pozo propio con todo el sistema actualizado, en fachada tirolesa y enfoscado de piedra recién instalado, vallado perimetral en piedra con elemento de acero, la vivienda da a tres calles, cuenta con dos puertas automáticas para vehículos, un área de barbacoa perfectamente adecuada, un espacio para las mascotas que está vallado, mucha zona verde y múltiples elementos vegetales que aportan un encanto especial a la vivienda. Además, posee un cuarto de almacenaje bajo el forjado de la vivienda, con plena accesibilidad donde también se encuentra el cuarto de calderas.  La autonomía para el día a día es plena debido a su ubicación, próxima al casco urbano 550m, encontramos el Consultorio Local a menos de 350m, todos los comercios como la Pastelería Domca, Farmacia, Supermercados, múltiples opciones de restauración, Colegios Públicos etc.  Por último, en cuanto a los servicios de transporte, tenemos las lineas 690, 691 y 696, además de un fácil acceso a la carretera M-601 con salida directa a la A-6 y municipios colindantes, además, de la carretera de Colmenar M-607.";919380459;reina;649900;5;-;Capital Home Alpedrete;Profesional;-;Becerril de la Sierra;-;-;2731;238;4;-;No;No;No;Sí;Sí;Sí;No;Sí;Sí
100792751;Piso en Guadiana, 6;Piso;"¡Vivienda ideal para una vida tranquila y relajada en la Sierra de Madrid! En Intext Real Estate no cobramos al comprador y podemos ayudarle a cubrir cualquier tipo de necesidad que pueda surgir durante la compra. Se trata de una vivienda ubicada en la urbanización Cerro Grande, urbanización que pertenece al municipio de Becerril de la Sierra, la urbanización dispone de grandes zonas comunes con las siguientes instalaciones: Dos piscinas, la principal con tamaño olímpico y una segunda piscina infantil, las instalaciones de las piscinas cuentan con puesto de socorro y vestuarios. Club social con servicio de cafetería, bar, restaurante con zona de terraza. Zonas deportivas: pista de pádel, pista de tenis, pista mixta de fútbol y baloncesto. Dos parques infantiles. Huerto urbano ecológico. Zonas comunes ajardinadas cuidadas diariamente por un equipo de jardineros. Todos los conductos de agua de la urbanización acaban de ser renovados. La vivienda ubicada en la segunda planta se distribuye en hall de entrada, enorme salón al que se le ha añadido la terraza, tres dormitorios con posibilidad de cuatro dormitorios, todos con armarios empotrados. El dormitorio principal cuenta con cuarto de baño completo en suite. Un aseo adicional da servicio al segundo y tercer dormitorios e invitados y cocina con el antiguo tendedero incorporado, usándose actualmente como comedor. La vivienda se reformo en 2022, se alisaron todas las paredes y techos y se puso suelo porcelánico imitación a madera, así como rodapies porcelánicos. Todos los radiadores y tuberías de los mismos están actualizados. La terraza, en un inicio tenía una altura diferente al salón. Esto se modificó y se aisló tanto el suelo, como las paredes y el techo (con lana de roca), y con esa modificación se consiguió unificar la terraza y el salón a la misma altura formando un amplio e integrado espacio. Se actualizaron todas las ventanas e instalaron: - Ventanas de aluminio con rotura de puente térmico: cristales Climalit 4 seasons, oscilobatientes. - Ventanas de PVC REHAU en blanco con 5 cámaras, rotura de puente térmico y hojas oscilo batientes con cristales Guardian con gas argón. Instalación eléctrica completamente actualizada, junto con todos los apliques, lámparas y focos led Philips de bajo consumo. Caset en chimenea instalado con salida individual, con 2 rejillas de circulación de aire (pueden abrirse y cerrarse). Los armarios empotrados de la terraza y el dormitorio principal se vistieron de nuevo y se aislaron en su interior. Además dispone de sistema inteligente de calefacción, contando con temperatura controlada en cada habitación individualmente así como en el salón, desde el propio teléfono móvil.  La vivienda se vende amueblada. Con una excepcional ubicación a 100 metros se encuentra la parada de autobús con líneas de autobuses  En la zona tenemos centro de salud y todo tipo de comercios, supermercados y restaurantes. Si necesitas más información no dudes en contactar con nosotros.";919384003;Guadiana, 6;229000;3;-;Intext Real Estate;Profesional;-;Becerril de la Sierra;-;239000;1908;120;2;2;No;No;Sí;Sí;No;No;No;Sí;Sí
100701010;Casa independiente;Chalet;"Rive presenta esta excelente vivienda ubicada en Becerril de la Sierra - Madrid-  Características/Distribución:  - Chalet de 277 m2.  - Parcela de 635 m2.  - Orientación noreste. - Salón comedor de gran dimensión, reformado y con espectaculares vistas a las montañas más espectaculares de Madrid.  - 5 habitaciones dobles. - 3 baños completos. - Cocina.  - Armarios empotrados en habitaciones. - Bodega. - Cuarto de Caldera. - Calefacción. - Jardín y Piscina con orientación precisa para el disfrute del sol el máximo de horas al día. - Caseta de almacenamiento amplia. - Posibilidad de independizar una zona de la vivienda y obtener beneficios de las rentas por alquiler fijo y/o vacacional. ¿POR QUÉ ESTE SERÁ TU PRÓXIMO HOGAR?  Esta vivienda es ideal por su excelente ubicación dentro de uno de los distritos más bonitos y seguros de Madrid. Muy buena distribución de las habitaciones, todas exteriores y de buen tamaño y especialmente su amplio salón, comedor con chimenea que permite que todos los miembros de la unidad familiar y amigos puedan gozar de una estancia que transmite calor de hogar con espectaculares vistas a las montañas.  Es una vivienda para entrar a vivir (Paredes lisas, puertas de madera maciza y puerta principal con cerradura de seguridad. Ventanas de doble cristal, piscina con depuradora de cloración salina y normal, jardín y terrazas para el disfrute en exterior sin salir de casa. Además, por su especial ubicación es una vivienda que garantiza total privacidad y tranquilidad sin sacrificar el confort de vivir y disponer de todos los servicios de la ciudad. Además, a tan solo 100 metros puedes dar un paseo por una espectacular senda con río y cascada en plena naturaleza. Definitivamente solo para el disfrute de los afortunados de vivir en un barrio tan singular. ¿POR QUÉ ELEGIR ESTE BARRIO/ZONA?  Becerril de la Sierra, a tan solo 50 km de Madrid y en pleno parque de la Sierra de Guadarrama. Está rodeada de las montañas y picos más altos de Madrid. Es una de las localidades más bonitas, tranquilas, seguras y de mayor crecimiento económico, cultural y artístico de Madrid. Además goza de todos los servicios que se pueden disfrutar de una gran ciudad: Guardería, Colegio e Instituto público, policía, centro de salud, comercios, transporte público interurbano, tren de cercanías, supermercados y por supuesto gran variedad de lugares de ocio y restauración.  ¿TE INTERESA?  En Rive tenemos la misión de hacer que cualquier transacción alrededor de una vivienda sea rápida, sencilla y segura.  Ofrecemos servicio completo en la compra, venta, reforma y financiación a medida de tu propiedad. Nuestro equipo de especialistas cualificados, respaldados con tecnología de datos e inteligencia artificial, garantiza la eficiencia y la tranquilidad en cada transacción.  Si estás interesado en visitarla, no dudes en contactar con nosotros, te ayudaremos a dar el paso hacia tu nuevo hogar.";919384252;Becerril de la Sierra;499000;5;-;RIVE;Profesional;-;Becerril de la Sierra;-;520000;1721;290;3;-;No;No;Sí;No;No;No;No;Sí;Sí
102125033;Piso en Maliciosa;Piso;"ARROYO & VILLENA vende "EN EXCLUSIVA"  En Becerril de la Sierra, un bonito dúplex de 3 habitaciones y 2 baños completos en urbanización cerrada con piscina y zonas ajardinadas. La vivienda es una primera planta desde la cual se accede por la terraza, se distribuye en: - PLANTA PRINCIPAL: hall de entrada, salón-comedor, cocina office con espacio comedor y baño completo con bañera. - PLANTA PRIMERA: 3 habitaciones con armarios empotrados, dos de ellas con balcón con vistas a la sierra y a la localidad y un baño completo con bañera. La vivienda cuenta con mejoras como reforma en el baño de la primera planta, armarios completamente vestidos y mejor distribuidos, ventanas con cristal con doble cristal climalit oscilobatientes con mosquiteras con carpintería en color marrón madera y mejoras en el mobiliario de la cocina.  La urbanización es cerrada, con amplias zonas ajardinadas, piscina y trastero.  GASTOS: - I. B. I: 370€/ANUAL - COMUNIDAD: 68€/mes.";919383030;Maliciosa;216000;3;-;Arroyo & Villena;Profesional;-;Becerril de la Sierra;-;-;1831;118;2;1;No;No;Sí;Sí;No;No;Sí;Sí;Sí
97985053;Casa independiente en Cabeza de Hierro;Chalet;"Espectacular Chalet en parcela de 2.000 mt2 en Becerril de la Sierra. La vivienda de 720 mt2 se distribuye en 3 alturas mas sótano,  Hall de entrada, salón de mas de 100 mt2 en 3 ambientes, cocina independiente, ocho habitaciones, distribuidas 2 en el ático, 4 habitaciones en la segunda planta mas 1 habitación en suite de invitados en la planta principal y por último una magnifica planta baja con sauna, bodega, sala de ocio y garaje para 3 vehículos, seis cuartos de baño y 2 aseos, cuatro chimeneas. Vivienda independiente de la principal con salón con chimenea, dormitorio y cuarto de baño. Construcción del año 1981, altísimas calidades. Ubicada en una parcela de 2.000 mt2 con jardín consolidado y piscina, porche, zona independiente de barbacoa totalmente equipada. Bien comunicada, cerca de la M615 y la Carretera de Colmenar autobuses y 724 al Intercambiador de Moncloa y Plaza Castilla. Becerril de la Sierra se encuentra a 50 kilómetros de Madrid en pleno Parque Nacional de la Sierra de Guadarrama. La localidad se sitúa al pie del Puerto de Navacerrada, coronada por el pico de la Maliciosa de 2.227 metros de altitud y rodeado de los Montes Cabeza Mediana y Alto del Hilo, tornan uno de los valles más destacados de la Sierra. En este entorno de gran valor ecológico y cultural, se fundó y desarrolló Becerril de la Sierra, acogedora localidad de gran tradición ganadera como su propio nombre indica.";919383045;Cabeza de Hierro;690000;8;-;Evalua intermediacion inmobiliaria;Profesional;-;Becerril de la Sierra;-;-;948;728;7;-;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí
97382331;Piso en Plaza del espejo;Piso;"Venta de piso céntrico con vistas en Becerril de la Sierra.  Gilmar Villalba vende precioso piso en Becerril de la Sierra de 80 m2, muy céntrico con unas preciosas vistas. Tiene una pequeña terracita. Se distribuye en salón con pequeña terraza, cocina y tres dormitorios que comparten 1 baño completo y aseo. Vivienda muy cómoda al estar en el casco urbano. Muy buena inversión por su alta demanda en alquiler este tipo de vivienda. Tiene autobuses muy cerca y se puede ir a los comercios andando. Zona muy tranquila rodeada de zonas verdes. CARACTERÍSTICAS: Calefacción: Individual Gas Propano Portero automático Estado de conservación: bien trastero. En GILMAR trabajamos para ofrecer a nuestros clientes los mejores inmuebles, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles. En más de 30 años de andadura, Gilmar ha logrado alcanzar un espacio de privilegio dentro del Sector Inmobiliario de alto standing. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Nuestros clientes cuentan con el asesoramiento necesario desde el inicio, para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Estupenda oportunidad, para conseguir su vivienda a la medida de sus sueños. casas en Torrelodones, casas en Villalba, casas en Alpedrete, casas en Moralzarzal, casas en Becerril, casas en Navacerrada, casas en Guadarrama, casas en Los Molinos, casas en El Escorial, casas en Cercedilla, casas en Galapagar, casas en la Sierra, comprar vivienda, comprar piso, comprar casa, comprar chalet, ATICO, VISTAS SIERRA.";919389955;Plaza del espejo;166000;3;-;Gilmar Villalba;Profesional;-;Becerril de la Sierra;-;-;2075;80;2;1;No;No;No;No;No;No;No;Sí;No
102115329;Piso;Piso;"Increíble piso de dos dormitorios en la emblemática Urbanización Cerro grande, en Becerril de la Sierra. Con una superficie de 110 metros. , este espacioso piso cuenta con un amplio salón de 20 mts cuadrados, perfecto para disfrutar de momentos de relax y confort, gran cocina con terraza acristalada, cuarto de baño completo y aseo, asegurando comodidad para toda la familia. La joya de este inmueble es su espaciosa terraza, ubicada sobre las bonitas y cuidadas zonas ajardinadas que te ofrecen la posibilidad de acristalarla para hacer uso de ella en los meses más fríos e incluso se puede incorporar al salón.  La urbanización Cerro Grande cuenta con una amplia oferta de zonas comunes, especialmente diseñadas para el disfrute de sus residentes. Podrás relajarte y refrescarte en la piscina olímpica situada a escasos 30 metros en una cantera natural, o practicar deporte en las diversas zonas multiusos, como las pistas de tenis, pádel y cancha polifuncional.  Parques infantiles donde los mas pequeños podrán jugar y divertirse en un entorno seguro. Asimismo, la urbanización dispone de huertos comunitarios, ideales para los amantes de la naturaleza y agricultura. No pierdas la oportunidad de vivir en un entorno privilegiado con vista a La Maliciosa, La Pedriza, El Yelmo, etc y con todas las comodidades que ofrece la urbanización Cerro Grande.  Este piso te brinda la posibilidad de disfrutar de un estilo de vida excepcional.  ¡Ven a visitarlo y descubre todo lo que esta propiedad tiene para ofrecerte!";919387010;Becerril de la Sierra;195000;2;-;RE/MAX Ágora;Profesional;-;Becerril de la Sierra;-;-;2097;93;2;1;No;No;Sí;Sí;No;No;No;No;Sí
