Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones;Subtítulo;Nombre del vendedor;Tipo de vendedor;Barrio;Municipio;Distrito;Precio antes de rebaja;Euros/m2;Metros cuadrados construidos;Baños;Planta;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
95724803;Chalet;Chalet;"Bonita vivienda unifamiliar de 206 m2 con jardín de 486 m2 en urbanización Atalaya Real, junto al embalse de Pedrezuela. Urbanización con vigilancia privada rodeada de naturaleza y a solo un paso de la A1. En la primera planta dispone de Salón comedor con chimenea, cocina independiente, dos habitaciones, 2 baños completos y dos terrazas. Planta baja con Garaje para dos vehículos, Despensa, salón con dos habitaciones y baño en la planta baja de la vivienda. Jardín muy cuidado y soleado. Solicite una visita sin compromiso llamando al 918411277.";919386229;Pedrezuela;310000;4;-;Atika inversiones inmobiliarias;Profesional;-;Pedrezuela;-;-;1505;206;3;-;No;No;No;Sí;Sí;Sí;No;No;Sí
101726924;Casa independiente en Diseminado Cr Guadalix;Chalet;"Chalet independiente en la zona de La Mina, Pedrezuela. VOhome propiedades Barajas vende chalet independiente, la vivienda dispone de 117 m² construidos y 3948 m² de parcela, cuenta con garaje, jardín privado y piscina. El chalet se distribuye en dos plantas. En la planta baja nos encontramos con una amplia y luminosa habitación con armarios empotrados, almacén/trastero, un baño y un garaje con acceso interno desde esta planta a la primera por escalera.  En la primera planta se encuentra la entrada, que da paso a un recibidor con armarios empotrados, una cocina totalmente equipada, además de dos baños, uno con bañera y otro con plato de ducha, un amplio y luminoso salón, terraza acristalada y tres dormitorios con armarios empotrados. Alarma, suelos cerámicos, calefacción individual a gas propano, ventanas climalit y puertas de madera. El jardín cuenta con piscina, pozo, depósito de agua, riego automático, barbacoa de obra y un cercado para animales. Ponemos a su disposición nuestro departamento financiero, que, sin ningún compromiso, les guiará en el proceso hipotecario para poder financiar su vivienda hasta el 100% del valor de compraventa (Según perfil). Tipo de interés fijo: desde 2.25 % Tipo de interés variable: desde Er+0.25 % Para más información, llamar al teléfono gratuito ' Pedrezuela se sitúa al norte de la región de Madrid, a 42 kilómetros, cerca de San Agustín de Guadalix y del Molar, con fácil acceso a la A1. Cuenta con todos los servicios e infraestructuras, colegios, centros de salud, supermercados, restauración, ocio, karts y múltiples actividades al aire libre, como senderos por la Sierra y el embalse. *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales/ Notaría - Gestoría / Registro / Intermediación inmobiliaria y/o Financiera). Puede contactar con nosotros en nuestra oficina de: Avda. de Logroño 146 Local Teléfono:  horario de L V de 09:30h a 14:00h / 17:00h a 20:30h y sábados de 10:00h a 14:00h. Para ver más viviendas, visita nuestra página web.";919387683;Diseminado Cr Guadalix;380000;4;-;VOhome propiedades Barajas;Profesional;-;Pedrezuela;-;-;3248;117;2;-;No;No;Sí;No;Sí;Sí;No;Sí;Sí
100628213;Casa independiente en Avenida Santander;Chalet;"Solvia presenta magnifica vivienda unifamiliar aislada, compuesta de dos plantas sobre nivel de rasante y una planta semisótano, formando parte de la Urbanización Montenebro, situada en la localidad de Pedrezuela, Madrid. Cuenta con una superficie de 403 m² y una parcela de 991 m². Se distribuye en semisótano, que consta de: Sala de juego, vestidor, garaje, despensa, baño y cuarto de calderas. Planta Baja, que consta de: Salón-comedor, estar, vestíbulo, cocina, baño y porche y planta alta, que consta de: Cuatro dormitorios, vestidor y dos baños. Buena conservación y mantenimiento de las infraestructuras existentes en el entorno, tales como: pavimentación, alcantarillado, alumbrado público, agua potable, electricidad, gas, red telefónica, zonas ajardinadas, etc. Comunicaciones por autobuses de línea regular y vehículo privado. Con los servicios de Solvia podrá encontrar la vivienda que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información.";919388079;Avenida Santander;380000;4;-;Solvia Store Boadilla del Monte;Profesional;-;Pedrezuela;-;-;943;403;2;-;No;No;Sí;Sí;Sí;Sí;No;No;Sí
99443801;Casa de pueblo en Paz, 28;Casa Rural;"Casa de pueblo reformada en el centro de Pedrezuela. La vivienda consta de dos plantas con dos patios. El acceso a la vivienda es por el patio que da a la calle, en la planta principal se halla el salón con chimenea, cocina con salida a otro patio, un dormitorio y un baño. en la planta superior hay tres dormitorios y dos baños con ventana, el dormitorio principal es tipo suite.";919383264;Paz, 28;205000;4;-;Miguel Ángel;Profesional;-;Pedrezuela;-;-;2050;100;3;-;No;No;No;No;No;No;No;No;No
99423324;Chalet en Paraje de la Mina;Chalet;"Superficie total 200 m² construidos, parcela 3333 m², 3 habitaciones, baño, armarios empotrados, calefacción gasoil, carpintería exterior, cocina (amueblada), buen estado de conservación, garaje, piscina. Muy buen acceso, cerca del embalse de Pedrezuela. Muy buenas vistas. NO COBRAMOS HONORARIOS AL COMPRADOR.";919386229;Paraje de la Mina;310000;3;-;Atika inversiones inmobiliarias;Profesional;-;Pedrezuela;-;-;1550;200;1;-;No;No;Sí;No;Sí;Sí;No;No;No
102031176;Piso;Piso;""MAYAC INMOBILIARIA" pone a la venta fantástico piso en perfecto estado con ascensor, muy luminoso en el municipio de Pedrezuela - Madrid. El pueblo cuenta con centro de salud, colegios, supermercados, comercios, polideportivo con piscina municipal, etc. Distribuido en: Hall recibidor que da paso a un amplio salón independiente, cocina completamente equipada, 1 dormitorio con armario empotrado y baño completo con plato de ducha. La vivienda cuenta con calefacción individual, AA/CC en salón, suelos de tarima. En el precio se incluye plaza de garaje y trastero. LISTO PARA ENTRAR A VIVIR! LLAMANOS Y CONCRETA TU VISITA! NO COBRAMOS HONORARIOS AL COMPRADOR! CONSULTA CONDICIONES DE FINANCIACION!";919385926;Pedrezuela;120000;1;-;Mayac;Profesional;-;Pedrezuela;-;-;1765;68;1;1;Sí;No;No;No;Sí;Sí;No;Sí;No
99262803;Chalet pareado en San Roque;Chalet;"chalet pareado con inmejorables vistas a zona de la sierra, la vivienda esta distribuida en 3 alturas, en excelentes condiciones y con calidades constructivas que aseguran una vivienda de calidad. planta baja dos jardines de 70 m2 cada uno a la entrada de la finca y en la parte posterior, entrada de garaje con espacio para 3 vehículos, y acceso al jardín. planta primera una terraza, amplia cocina amueblada con office, aseo de cortesía, armario empotrado en el recibidor, gran salón comedor con chimenea, salida a una terraza y acceso al jardín. planta segunda 3 amplios dormitorios, de origen eran 4 que se amplio al principal, 2 baños completos uno de ellos en suite y otra terraza. bajocubierta buhardilla con dos velux y un baño completo con ducha. la vivienda ha sido recientemente actualizada, suelos de gres en planta baja y parqué en planta dormitorios, calefacción por gasoil, ventanas tipo climalit oscilobatientes, vistas impresionantes, casco urbano muy cerca de parada bus, establecimientos, consultorio medico, colegios, etc.";919386771;SAN ROQUE;360000;4;-;E. TURÓN;Profesional;-;Pedrezuela;-;-;1200;300;4;-;No;No;No;Sí;Sí;Sí;No;Sí;Sí
102155979;Chalet;Chalet;"IAD vende en exclusiva chalet PAREADO 284 m2 en Pedrezuela, Madrid. Impresionante casa en urbanización cerrada.  Consta de tres plantas más el sótano. Cada estancia totalmente adaptada para disfrutar de ellas. Nos recibe un jardín que nos lleva hacia unas escaleras con barandilla. Entramos a la casa y un gran hall nos dividió cocina, aseo, sala, salón-comedor y escaleras. A mano izquierda una salida adaptada para reunión de los más pequeños. En su lado derecho la cocina de gran tamaño, armarios de gran capacidad, algunas de sus paredes decorativas, lugar para colocación de mesa con sillas. Por su gran ventanal entra mucha luz. A continuación un baño completo, aunque ahora adaptado como aseo de cortesía, increíblemente original, con ventana. Entramos en el salón-comedor con dos zonas totalmente diferenciadas, descanso y comedor, separadas dan paso al jardín.  Jardín distribuido en cenador con barbacoa, zona de piscina, (opcional hacerla de obra, terreno suficiente para ello), el resto de la parcela con césped artificial con riego automático perfectamente conservado, decorado con casita de juego. Subimos a la primera planta donde encontramos los dormitorios. El principal con baño en suite, muy espacioso y armario empotrado de mucha capacidad, en su parte central una puerta nos presenta baño completo, con plato de ducha y ventana exterior. Los otros dos dormitorios también espaciosos, ventanales que los hacen muy luminosos y grandes armarios. Comparten baño completo muy especial. Aquellas escaleras originales nos dejaron conocer la buhardilla de un atractivo inmejorable, las escaleras centrales y sus m2 diáfanos. En la planta sótano, contamos con un vestidor, cuarto de lavado y sala de reuniones, aunque este espacio es garaje para dos coches, los propietarios lo tienen adecuado a este uso. Caldera de Pellets. Pintura de acabado en liso. Tarima flotante de alta calidad. Alarma. Muy cercano al centro de Pedrezuela. Te invitamos a visItarlo!";919388493;Pedrezuela;380000;4;-;iad España;Profesional;-;Pedrezuela;-;-;1333;285;3;-;No;No;No;No;No;No;No;No;No
99081761;Piso;Piso;"REDPISO gestiona en exclusiva este magnífico apartamento ubicado en una muy buena zona en urbanización privada.  Vivienda semi-nueva del año 2006.  Consta de un dormitorio con baño en suite, y un amplio salón con grandes ventanales. La cocina es americana y está totalmente amueblada y equipada.  Entre las calidades destacamos el suelo de tarima, ventanas climalit y puertas de madera.  La finca cuenta con una amplia plaza de garaje de fácil acceso y con ascensor en planta.  El pueblo cuenta con centro de salud, colegios, supermercados, comercios, polideportivo con piscina municipal, etc. Ven a visitarlo sin compromiso, financiación a su medida. Nuestro departamento financiero Dcredit consigue el 100% del valor de la vivienda.";911960011;Pedrezuela;135000;1;-;Redpiso;Profesional;-;Pedrezuela;-;-;3375;40;1;-;Sí;No;No;No;Sí;Sí;No;No;No
101703201;Chalet pareado;Chalet;"PRECIO NEGOCIABLE Se vende Casa en Pedrezuela Chalet Pareado en Pedrezuela con excelentes calidades totalmente reformado ( suelo de barro en planta baja, bodega acondicionada con suelo porcelánico y piedra natural, buhardilla cerrada, doble puerta principal de entrada, paredes lisas, chimenea con salida de calor en habitaciones, ventanas pvc oscilobatientes, suelos de tarima en habitaciones y buhardilla, Jardín acondicionado y solado con ampliación de porche en cocina…), la orientación de la casa es Este-Oeste con mucha luminosidad y vistas al cerro de San Pedro. Distribución 4 plantas Planta Bodega(50m2aprox. ) zona multiusos y trastero. Planta Baja: (57m2) Amplia entrada con armario empotrado, salón-comedor con grandes ventanales y chimenea cassette, aseo de cortesía y cocina tipo office amueblada con electrodomésticos y salida a porche con toldo, garaje de 18m2 Planta Primera(63m2): Suit principal con baño incorporado y armario empotrado, 2 habitaciones dobles y baño completo adicional. Planta Buhardilla(43m2): Buhardilla cerrada y diáfana. Patio solado: 100m2 Superficie construida: 181m2 Año de construcción: 2004.";919386214;Pedrezuela;420000;3;-;INMOBILIARIA VIA-A1;Profesional;-;Pedrezuela;-;-;2320;181;3;-;No;No;No;No;Sí;Sí;No;Sí;Sí
